일자,공매도 수량(전체),공매도 수량(잔고수량),공매도 금액(전체),공매도 금액(잔고금액)
2021-03-31,2221,1089170,123894800,61211354000.0
2021-03-30,5491,916982,304557200,50342311800.0
2021-03-29,6744,958470,359094000,51469839000.0
2021-03-26,16247,943619,864034900,50200530800.0
2021-03-25,7789,954979,408951900,50231895400.0
2021-03-24,577,946954,29427000,48294654000.0
2021-03-23,0,935193,0,48068920200.0
2021-03-22,2038,962868,103414700,49491415200.0
2021-03-19,4632,1080285,232320100,53636150250.0
2021-03-18,2412,1080003,121454300,54324150900.0
2021-03-17,3792,1091116,191466100,55319581200.0
2021-03-16,13,1097317,669500,56182630400.0
2021-03-15,14892,1096422,762378100,56136806400.0
2021-03-12,1127,1152114,57071000,58066545600.0
2021-03-11,15868,1157749,826961500,60202948000.0
2021-03-10,2790,1130429,142828400,58330136400.0
2021-03-09,41737,1088056,2179626800,57231745600.0
2021-03-08,7996,1031450,397932750,51520927500.0
2021-03-05,22532,1123909,1050142950,52823723000.0
2021-03-04,3175,1120168,145620600,51303694400.0
2021-03-03,938,1126695,42503800,51264622500.0
2021-03-02,3046,1162681,135352250,51739304500.0
2021-02-26,2239,1158652,98377200,50748957600.0
2021-02-25,1354,1130709,60543200,50599227750.0
2021-02-24,0,1177591,0,50813051650.0
2021-02-23,447,1192611,19532450,52117100700.0
2021-02-22,306,1212668,13220100,52265990800.0
2021-02-19,20,1143317,871400,49791455350.0
2021-02-18,156,1205122,6883200,52663831400.0
2021-02-17,1336,1176841,60139450,52722476800.0
2021-02-16,1194,1080224,53709000,48664091200.0
2021-02-15,109,1031108,4937700,46709192400.0
2021-02-10,3529,1028043,160466350,46775956500.0
2021-02-09,138,1053862,6247000,47160324500.0
2021-02-08,4396,1055612,198043300,47555320600.0
2021-02-05,888,1130181,39243300,50123527350.0
2021-02-04,483,1132775,20310150,47633188750.0
2021-02-03,1211,1058114,50847300,44387882300.0
2021-02-02,1954,997940,81855700,41763789000.0
2021-02-01,5481,1021869,231632100,43020684900.0
2021-01-29,4451,1038096,180178250,41835268800.0
2021-01-28,1663,1051874,68363100,43232021400.0
2021-01-27,1324,1071199,56341750,45418837600.0
2021-01-26,16571,1090651,719042950,46897993000.0
2021-01-25,1980,1057653,87671950,46642497300.0
2021-01-22,12891,1081705,571619200,47649105250.0
2021-01-21,14085,1040205,627876700,46549173750.0
2021-01-20,2218,1030591,99427700,46531183650.0
2021-01-19,6788,956773,306364050,43246139600.0
2021-01-18,14952,971820,674907650,43974855000.0
2021-01-15,2208,985042,100003550,44523898400.0
2021-01-14,2260,941673,105776650,43834878150.0
2021-01-13,9230,942874,437724050,44597940200.0
2021-01-12,11857,971127,548442900,44866067400.0
2021-01-11,1066,948290,49354800,43526511000.0
2021-01-08,2845,815364,131547500,37914426000.0
2021-01-07,8126,827962,372610900,38086252000.0
2021-01-06,4536,870052,200497500,38282288000.0
2021-01-05,2240,842381,96270300,36685692550.0
2021-01-04,419,846607,17785100,35938467150.0
2020-12-30,6944,860397,301358900,37341229800.0
2020-12-29,4875,862200,211958850,37419480000.0
2020-12-28,2078,771227,94550600,35167951200.0
