일자,공매도 금액(전체),공매도 금액(잔고금액)
2021-03-31,123894800,61211354000.0
2021-03-30,304557200,50342311800.0
2021-03-29,359094000,51469839000.0
2021-03-26,864034900,50200530800.0
2021-03-25,408951900,50231895400.0
2021-03-24,29427000,48294654000.0
2021-03-23,0,48068920200.0
2021-03-22,103414700,49491415200.0
2021-03-19,232320100,53636150250.0
2021-03-18,121454300,54324150900.0
2021-03-17,191466100,55319581200.0
2021-03-16,669500,56182630400.0
2021-03-15,762378100,56136806400.0
2021-03-12,57071000,58066545600.0
2021-03-11,826961500,60202948000.0
2021-03-10,142828400,58330136400.0
2021-03-09,2179626800,57231745600.0
2021-03-08,397932750,51520927500.0
2021-03-05,1050142950,52823723000.0
2021-03-04,145620600,51303694400.0
2021-03-03,42503800,51264622500.0
2021-03-02,135352250,51739304500.0
2021-02-26,98377200,50748957600.0
2021-02-25,60543200,50599227750.0
2021-02-24,0,50813051650.0
2021-02-23,19532450,52117100700.0
2021-02-22,13220100,52265990800.0
2021-02-19,871400,49791455350.0
2021-02-18,6883200,52663831400.0
2021-02-17,60139450,52722476800.0
2021-02-16,53709000,48664091200.0
2021-02-15,4937700,46709192400.0
2021-02-10,160466350,46775956500.0
2021-02-09,6247000,47160324500.0
2021-02-08,198043300,47555320600.0
2021-02-05,39243300,50123527350.0
2021-02-04,20310150,47633188750.0
2021-02-03,50847300,44387882300.0
2021-02-02,81855700,41763789000.0
2021-02-01,231632100,43020684900.0
2021-01-29,180178250,41835268800.0
2021-01-28,68363100,43232021400.0
2021-01-27,56341750,45418837600.0
2021-01-26,719042950,46897993000.0
2021-01-25,87671950,46642497300.0
2021-01-22,571619200,47649105250.0
2021-01-21,627876700,46549173750.0
2021-01-20,99427700,46531183650.0
2021-01-19,306364050,43246139600.0
2021-01-18,674907650,43974855000.0
2021-01-15,100003550,44523898400.0
2021-01-14,105776650,43834878150.0
2021-01-13,437724050,44597940200.0
2021-01-12,548442900,44866067400.0
2021-01-11,49354800,43526511000.0
2021-01-08,131547500,37914426000.0
2021-01-07,372610900,38086252000.0
2021-01-06,200497500,38282288000.0
2021-01-05,96270300,36685692550.0
2021-01-04,17785100,35938467150.0
2020-12-30,301358900,37341229800.0
2020-12-29,211958850,37419480000.0
2020-12-28,94550600,35167951200.0
2020-12-24,154736550,36710692200.0
2020-12-23,5550750,37581500000.0
2020-12-22,139126950,41241004200.0
2020-12-21,123935650,41742168300.0
2020-12-18,400580150,39149157550.0
2020-12-17,16427750,42324135000.0
2020-12-16,29222250,44400212700.0
2020-12-15,68801800,46062018000.0
2020-12-14,259884000,46141028000.0
2020-12-11,193181250,44810516100.0
2020-12-10,208875650,44507065600.0
2020-12-09,0,44576192700.0
2020-12-08,1826000,44641192500.0
2020-12-07,31520950,45934143200.0
2020-12-04,78871200,45676289600.0
2020-12-03,0,46974460550.0
2020-12-02,4024800,46653609600.0
2020-12-01,0,46258341300.0
2020-11-30,0,46591002750.0
2020-11-27,527450,50589743400.0
2020-11-26,812550,52530701250.0
2020-11-25,145050,51898205100.0
2020-11-24,0,54419915200.0
2020-11-23,2353650,54925499250.0
2020-11-20,2104500,54393846650.0
2020-11-19,3205050,55179178500.0
2020-11-18,303869700,56774938250.0
2020-11-17,788800,55367082050.0
2020-11-16,16031450,54355580000.0
2020-11-13,0,54188079050.0
2020-11-12,516658900,57783988800.0
2020-11-11,624078550,57787506000.0
2020-11-10,102452400,55213082400.0
2020-11-09,14218800,51518868600.0
2020-11-06,15654300,52298112400.0
2020-11-05,4547400,52439801700.0
2020-11-04,9141000,51016585800.0
2020-11-03,15865800,53118229250.0
2020-11-02,14184600,53890872000.0
2020-10-30,36009800,51452951600.0
2020-10-29,3952500,51290057000.0
2020-10-28,3867150,52527009800.0
2020-10-27,3868250,52152972750.0
2020-10-26,34869700,54551882400.0
2020-10-23,18078950,54358892250.0
2020-10-22,24303300,52761988400.0
2020-10-21,36654950,51943730700.0
2020-10-20,0,51313867000.0
2020-10-19,45270950,51696977200.0
2020-10-16,12647400,50045722400.0
2020-10-15,2108700,49648560500.0
2020-10-14,620000,49292402500.0
2020-10-13,1168100,51115546200.0
2020-10-12,162000,55935243000.0
2020-10-08,14431400,54506192400.0
2020-10-07,65287900,53649061200.0
2020-10-06,36873800,52653354000.0
2020-10-05,93477250,52891545850.0
2020-09-29,134371100,51657610100.0
2020-09-28,126093000,52784454400.0
2020-09-25,1714250,50906848000.0
2020-09-24,11606400,49912914000.0
2020-09-23,21628800,50755959500.0
2020-09-22,3145800,50280220200.0
2020-09-21,12768350,49458395400.0
2020-09-18,18120000,50666502250.0
2020-09-17,30018450,51437202300.0
2020-09-16,33693100,52074524200.0
2020-09-15,132081850,51583664600.0
2020-09-14,52833000,51118856800.0
2020-09-11,28615550,49359384650.0
2020-09-10,281057400,49577903350.0
2020-09-09,37837500,49569750000.0
2020-09-08,18711000,50175493200.0
2020-09-07,3226900,50695211250.0
2020-09-04,0,47571388350.0
2020-09-03,7554800,48794321400.0
2020-09-02,0,49025004600.0
2020-09-01,2652000,48543778800.0
2020-08-31,294800,46746951900.0
2020-08-28,25878000,49952938000.0
2020-08-27,0,47755621050.0
2020-08-26,0,49065825900.0
2020-08-25,12409650,49820190750.0
2020-08-24,5875050,47172808700.0
2020-08-21,3344250,46559383500.0
2020-08-20,0,45890732250.0
2020-08-19,0,46762002000.0
2020-08-18,40271700,47085988950.0
2020-08-14,58625400,51046962600.0
2020-08-13,30016300,53631736500.0
2020-08-12,46886700,52176665700.0
2020-08-11,65804800,51070267200.0
2020-08-10,965900,49486697700.0
2020-08-07,0,47341425450.0
2020-08-06,42122500,52271543900.0
2020-08-05,2023500,57165046500.0
2020-08-04,816500,64854772500.0
2020-08-03,6065200,64440983250.0
2020-07-31,0,64241715000.0
2020-07-30,0,71971037200.0
2020-07-29,4054400,72493577000.0
2020-07-28,6103600,71552189100.0
2020-07-27,0,70447977050.0
2020-07-24,9593400,71256943200.0
2020-07-23,15943000,72202832100.0
2020-07-22,1520400,72743646600.0
2020-07-21,552750,73400697300.0
2020-07-20,0,74198704500.0
2020-07-17,1278850,71289946700.0
2020-07-16,12111950,71780394350.0
2020-07-15,51612450,71289946700.0
2020-07-14,70200,67294808100.0
2020-07-13,21800650,67774115850.0
2020-07-10,3777150,65172762550.0
2020-07-09,2962250,66192991300.0
2020-07-08,1021600,77074634550.0
2020-07-07,28310800,78418647000.0
2020-07-06,63209200,78047934250.0
2020-07-03,22567000,76376151600.0
2020-07-02,47539150,75206589250.0
2020-07-01,56698450,75900332000.0
2020-06-30,2341700,76126390550.0
2020-06-29,9558200,76468433400.0
2020-06-26,1705200,79174698000.0
2020-06-25,0,76149078750.0
2020-06-24,0,77203337000.0
2020-06-23,1881900,77086778700.0
2020-06-22,0,76910639250.0
2020-06-19,42139150,81203796000.0
2020-06-18,0,79052284500.0
2020-06-17,34286350,78641010000.0
2020-06-16,128439450,80583253800.0
2020-06-15,41605750,75978910000.0
2020-06-12,291501300,67504818150.0
2020-06-11,551465700,70227036800.0
2020-06-10,0,69766210250.0
2020-06-09,4539500,72695892500.0
2020-06-08,0,84418065400.0
2020-06-05,0,84130110050.0
2020-06-04,2266150,82748946000.0
2020-06-03,0,96034561200.0
2020-06-02,4979950,88566580000.0
2020-06-01,13076500,84920025600.0
2020-05-29,24966250,83782086000.0
2020-05-28,15535250,84441339000.0
2020-05-27,0,82892032100.0
2020-05-26,0,81518875400.0
2020-05-25,49703950,78779383650.0
2020-05-22,51295250,76694123900.0
2020-05-21,183950800,78401696000.0
2020-05-20,49901300,78010885850.0
2020-05-19,1192600,70792637400.0
2020-05-18,28697950,75875600000.0
2020-05-15,47882800,77209026650.0
2020-05-14,35703200,76096176950.0
2020-05-13,7196100,76639907450.0
2020-05-12,18869300,76728054050.0
2020-05-11,21058250,76339210500.0
2020-05-08,34262800,77135760000.0
2020-05-07,22850550,76932265300.0
2020-05-06,11280150,79327191600.0
2020-05-04,17956500,79810995000.0
2020-04-29,11954200,81260338250.0
2020-04-28,9836350,79406775250.0
2020-04-27,55397850,74547210600.0
2020-04-24,373200,67059748200.0
2020-04-23,23915650,69448721700.0
2020-04-22,186382000,81166018500.0
2020-04-21,352328100,69407086600.0
2020-04-20,0,69261056700.0
2020-04-17,14723750,79290270550.0
2020-04-16,11715500,78677681500.0
2020-04-14,37814800,83356700800.0
2020-04-13,93823800,79392607350.0
2020-04-10,34450400,80580073450.0
2020-04-09,80828200,79868002500.0
2020-04-08,53337600,77426740800.0
2020-04-07,33256950,77053159000.0
2020-04-06,54595250,77540683950.0
2020-04-03,41166750,74219859000.0
2020-04-02,36772000,76388599500.0
2020-04-01,66630500,76483312800.0
2020-03-31,31973700,81681382500.0
2020-03-30,10088150,81794689000.0
2020-03-27,27082100,83764109000.0
2020-03-26,9310700,77162903300.0
2020-03-25,6464000,74561664000.0
2020-03-24,85250700,67624618600.0
2020-03-23,0,65382489550.0
2020-03-20,0,72180454550.0
2020-03-19,13841700,61086208000.0
2020-03-18,0,68602940350.0
2020-03-17,325201000,71110908750.0
2020-03-16,5626282150,77073095100.0
2020-03-13,11295418550,76348496700.0
2020-03-12,6500904300,72928927650.0
2020-03-11,6905747800,77501114700.0
2020-03-10,1067329750,77341669800.0
2020-03-09,4874297950,83193828450.0
2020-03-06,5425068100,82434790200.0
2020-03-05,6708940150,84320875800.0
2020-03-04,9731906100,85330452550.0
2020-03-03,3937665800,81273510300.0
2020-03-02,6568317750,80491776000.0
2020-02-28,4255943500,82039788800.0
2020-02-27,5071702250,84692664000.0
2020-02-26,2800233150,83443289600.0
2020-02-25,3671816300,84607182250.0
2020-02-24,3652073200,83336487850.0
2020-02-21,5441563000,87964503250.0
2020-02-20,6739445750,90096198200.0
2020-02-19,2139814850,87802488400.0
2020-02-18,3026616650,87309144750.0
2020-02-17,2183992500,87671073600.0
2020-02-14,3334622500,87092907750.0
2020-02-13,9178456950,84631320000.0
2020-02-12,5848272800,81684604500.0
2020-02-11,1562577950,80551658800.0
2020-02-10,3038590250,84147416250.0
2020-02-07,5928888600,86744102400.0
2020-02-06,6666771000,88768146750.0
2020-02-05,9917874200,91103890800.0
2020-02-04,7514829350,86416317000.0
2020-02-03,5347499150,85555647300.0
2020-01-31,5212458200,85259220300.0
2020-01-30,4728056750,85155828600.0
2020-01-29,4350653800,86607471750.0
2020-01-28,8725007100,90101998000.0
2020-01-23,5480591500,97443099200.0
2020-01-22,3048913950,97592143050.0
2020-01-21,3091389500,101983000000.0
2020-01-20,6594739450,104181000000.0
2020-01-17,6037029650,108305000000.0
2020-01-16,10448398500,110918000000.0
2020-01-15,6878762850,108739000000.0
2020-01-14,7773131400,105851000000.0
2020-01-13,3449707350,102195000000.0
2020-01-10,7542528300,103946000000.0
2020-01-09,14430053150,103617000000.0
2020-01-08,5287241700,98931755000.0
2020-01-07,3816087950,99571145000.0
2020-01-06,5485186300,100621000000.0
2020-01-03,6630644950,101374000000.0
2020-01-02,2261484300,98086342900.0
2019-12-30,1383912650,100251000000.0
2019-12-27,3425453750,100372000000.0
2019-12-26,8491269300,104241000000.0
2019-12-24,4085726850,106570000000.0
2019-12-23,8555064900,107326000000.0
2019-12-20,2333972900,101533000000.0
2019-12-19,6588156350,101951000000.0
2019-12-18,13708855150,100562000000.0
2019-12-17,8456975300,95435172700.0
2019-12-16,12093624800,98197119000.0
2019-12-13,3694060850,96451800000.0
2019-12-12,2839168700,93828010000.0
2019-12-11,2054653200,92997120000.0
2019-12-10,3416989900,93638244000.0
2019-12-09,7817843400,91800678200.0
2019-12-06,4252400150,89882001000.0
2019-12-05,7576194450,89241543300.0
2019-12-04,5646718750,88062382050.0
2019-12-03,1180512300,91252458150.0
2019-12-02,1564740800,91641347450.0
2019-11-29,3789062350,92222999550.0
2019-11-28,1616607750,94534996850.0
2019-11-27,3991643950,93904639700.0
2019-11-26,1796870900,88488436750.0
2019-11-25,7528173300,88139930250.0
2019-11-22,9875401800,88933383000.0
2019-11-21,10827089100,86781517350.0
2019-11-20,7360306850,87723788300.0
2019-11-19,3324258600,86604736400.0
2019-11-18,1145126000,84832748000.0
2019-11-15,3957587750,84249535900.0
2019-11-14,1741397100,82945440500.0
2019-11-13,2222728400,82512080000.0
2019-11-12,985398350,82797260000.0
2019-11-11,1455500500,81831838000.0
2019-11-08,2238881100,80417366200.0
2019-11-07,2466118000,82499644800.0
2019-11-06,2312127050,82095074000.0
2019-11-05,3754986250,84998289150.0
2019-11-04,3226424500,76172702400.0
2019-11-01,2084865200,73123121700.0
2019-10-31,1722716900,72124425250.0
2019-10-30,3083825300,72984072750.0
2019-10-29,975216550,71713692000.0
2019-10-28,1337590700,72218718000.0
2019-10-25,3302355600,72557684400.0
2019-10-24,3730448750,74595444000.0
2019-10-23,4047097000,74425908900.0
2019-10-22,3708563450,74154635100.0
2019-10-21,4513660650,74071850950.0
2019-10-18,3502463500,72733075800.0
2019-10-17,2024935650,71874574200.0
2019-10-16,3472983100,71592357200.0
2019-10-15,1309139750,71554140700.0
2019-10-14,3047003000,72706328800.0
2019-10-11,4015831100,71900622000.0
2019-10-10,2886139300,70376012350.0
2019-10-08,1359131950,69940365900.0
2019-10-07,657161550,69276528750.0
2019-10-04,1791576800,69344126250.0
2019-10-02,1879801300,69677111250.0
2019-10-01,830713150,70218967500.0
2019-09-30,2770314950,70954034900.0
2019-09-27,2765468750,68840936800.0
2019-09-26,2172877100,71311160400.0
2019-09-25,1751489250,76105947000.0
2019-09-24,2534765050,78353396000.0
2019-09-23,1472151150,78728748000.0
2019-09-20,9695740600,81488490200.0
2019-09-19,1723679500,78600993900.0
2019-09-18,1391574250,77697976250.0
2019-09-17,2596653300,82176248700.0
2019-09-16,6078771700,81034258050.0
2019-09-11,5753378350,80757905900.0
2019-09-10,3611581250,78092560000.0
2019-09-09,2668436700,74143411600.0
2019-09-06,1948126700,72704244150.0
2019-09-05,1250089150,70999343250.0
2019-09-04,1894488050,71955632250.0
2019-09-03,1080341750,73777812000.0
2019-09-02,1284103500,74395332000.0
2019-08-30,2701496550,75215858200.0
2019-08-29,2210159200,74215116150.0
2019-08-28,2186533500,74007171000.0
2019-08-27,1383682650,74262496500.0
2019-08-26,1227746750,74149190500.0
2019-08-23,1991661950,74552322000.0
2019-08-22,4924754300,75670224300.0
2019-08-21,4054128800,75714807000.0
2019-08-20,4148750850,70205993200.0
2019-08-19,1774993350,69693752250.0
2019-08-16,5215535500,68321497400.0
2019-08-14,3134695750,68961310200.0
2019-08-13,2208171800,68159434500.0
2019-08-12,776582450,69334427600.0
2019-08-09,624611450,67730663500.0
2019-08-08,5875544100,66221775750.0
2019-08-07,6619076900,67022458300.0
2019-08-06,10281466450,67159177750.0
2019-08-05,3020467400,68088234100.0
2019-08-02,4333206750,74971202500.0
2019-08-01,2752240300,76710110400.0
2019-07-31,2372612600,72688924000.0
2019-07-30,1084551150,75726424350.0
2019-07-29,1562376300,76071797600.0
2019-07-26,7343759500,78488242200.0
2019-07-25,5554872150,75875130400.0
2019-07-24,1251010700,77133784000.0
2019-07-23,2840897750,79103174400.0
2019-07-22,1406612950,78520101750.0
2019-07-19,3435545100,77106529500.0
2019-07-18,3321264950,74174985000.0
2019-07-17,2864267350,74206589200.0
2019-07-16,730709700,73349213400.0
2019-07-15,5277102400,72613119600.0
2019-07-12,3037373150,69882561050.0
2019-07-11,4354999200,60670145700.0
2019-07-10,4631779000,56987823300.0
2019-07-09,4349902550,53252917350.0
2019-07-08,5660807450,54174656800.0
2019-07-05,8285379750,50894374700.0
2019-07-04,659128750,45332857700.0
2019-07-03,1666373800,47555861200.0
2019-07-02,7160468750,49743440250.0
2019-07-01,3880104550,50201986300.0
2019-06-28,1370821200,50188006050.0
2019-06-27,1446975100,50651975250.0
2019-06-26,3357097050,50431182600.0
2019-06-25,933182000,47648573250.0
2019-06-24,3586324800,47382328600.0
2019-06-21,2939286950,45393263900.0
2019-06-20,1185784450,46699061500.0
2019-06-19,1452899500,45001667250.0
2019-06-18,843372950,45010620300.0
