일자,공매도 수량(전체),공매도 수량(잔고수량)
2021-03-31,2221,1089170
2021-03-30,5491,916982
2021-03-29,6744,958470
2021-03-26,16247,943619
2021-03-25,7789,954979
2021-03-24,577,946954
2021-03-23,0,935193
2021-03-22,2038,962868
2021-03-19,4632,1080285
2021-03-18,2412,1080003
2021-03-17,3792,1091116
2021-03-16,13,1097317
2021-03-15,14892,1096422
2021-03-12,1127,1152114
2021-03-11,15868,1157749
2021-03-10,2790,1130429
2021-03-09,41737,1088056
2021-03-08,7996,1031450
2021-03-05,22532,1123909
2021-03-04,3175,1120168
2021-03-03,938,1126695
2021-03-02,3046,1162681
2021-02-26,2239,1158652
2021-02-25,1354,1130709
2021-02-24,0,1177591
2021-02-23,447,1192611
2021-02-22,306,1212668
2021-02-19,20,1143317
2021-02-18,156,1205122
2021-02-17,1336,1176841
2021-02-16,1194,1080224
2021-02-15,109,1031108
2021-02-10,3529,1028043
2021-02-09,138,1053862
2021-02-08,4396,1055612
2021-02-05,888,1130181
2021-02-04,483,1132775
2021-02-03,1211,1058114
2021-02-02,1954,997940
2021-02-01,5481,1021869
2021-01-29,4451,1038096
2021-01-28,1663,1051874
2021-01-27,1324,1071199
2021-01-26,16571,1090651
2021-01-25,1980,1057653
2021-01-22,12891,1081705
2021-01-21,14085,1040205
2021-01-20,2218,1030591
2021-01-19,6788,956773
2021-01-18,14952,971820
2021-01-15,2208,985042
2021-01-14,2260,941673
2021-01-13,9230,942874
2021-01-12,11857,971127
2021-01-11,1066,948290
2021-01-08,2845,815364
2021-01-07,8126,827962
2021-01-06,4536,870052
2021-01-05,2240,842381
2021-01-04,419,846607
2020-12-30,6944,860397
2020-12-29,4875,862200
2020-12-28,2078,771227
2020-12-24,3416,807716
2020-12-23,125,854125
2020-12-22,3122,925724
2020-12-21,2751,924522
2020-12-18,8914,870949
2020-12-17,363,935340
2020-12-16,635,964174
2020-12-15,1486,994860
2020-12-14,5531,981724
2020-12-11,4102,951391
2020-12-10,4502,959204
2020-12-09,0,965898
2020-12-08,40,972575
2020-12-07,670,973181
2020-12-04,1671,967718
2020-12-03,0,996277
2020-12-02,86,996872
2020-12-01,0,1007807
2020-11-30,0,1027365
2020-11-27,11,1055052
2020-11-26,17,1084225
2020-11-25,3,1074497
2020-11-24,0,1172843
2020-11-23,51,1182465
2020-11-20,46,1191541
2020-11-19,69,1186649
2020-11-18,6552,1211845
2020-11-17,17,1189411
2020-11-16,345,1189400
2020-11-13,0,1205519
2020-11-12,10994,1246688
2020-11-11,13260,1223016
2020-11-10,2292,1235192
2020-11-09,328,1199508
2020-11-06,367,1226216
2020-11-05,106,1222373
2020-11-04,220,1227836
2020-11-03,372,1245445
2020-11-02,338,1283116
2020-10-30,898,1283116
2020-10-29,96,1250977
2020-10-28,92,1249156
2020-10-27,93,1249173
2020-10-26,821,1286601
2020-10-23,425,1286601
2020-10-22,581,1259236
2020-10-21,889,1253166
2020-10-20,0,1259236
2020-10-19,1108,1270196
2020-10-16,321,1270196
2020-10-15,54,1271410
2020-10-14,16,1272062
2020-10-13,29,1271531
2020-10-12,4,1372644
2020-10-08,362,1367784
2020-10-07,1637,1344588
2020-10-06,946,1350086
2020-10-05,2384,1354457
2020-09-29,3553,1375702
2020-09-28,3300,1381792
2020-09-25,45,1332640
2020-09-24,312,1341745
2020-09-23,576,1351690
2020-09-22,84,1342596
2020-09-21,339,1313636
2020-09-18,480,1342159
2020-09-17,791,1355394
2020-09-16,889,1373998
2020-09-15,3460,1345076
2020-09-14,1387,1334696
2020-09-11,769,1328651
2020-09-10,7475,1320317
2020-09-09,1009,1321860
2020-09-08,495,1327394
2020-09-07,85,1325365
2020-09-04,0,1287453
2020-09-03,202,1304661
