일자,공매도 금액(전체),공매도 금액(잔고금액)
2021-03-31,164782000,95236200000.0
2021-03-30,150573000,95422628000.0
2021-03-29,120847000,93596220000.0
2021-03-26,83259000,92339160000.0
2021-03-25,304275000,93854115000.0
2021-03-24,177735000,94492579000.0
2021-03-23,375729000,93115855000.0
2021-03-22,392151000,94199022000.0
2021-03-19,503048000,97016898000.0
2021-03-18,293989000,101274000000.0
2021-03-17,436476000,100512000000.0
2021-03-16,259697000,103628000000.0
2021-03-15,394741000,102883000000.0
2021-03-12,250569000,100283000000.0
2021-03-11,230452000,98631150000.0
2021-03-10,31587000,94870816000.0
2021-03-09,197034000,94350432000.0
2021-03-08,152320000,96743355000.0
2021-03-05,172255000,96357981000.0
2021-03-04,156662000,95512120000.0
2021-03-03,36184000,95177599000.0
2021-03-02,80285000,97456275000.0
2021-02-26,342536000,98285993000.0
2021-02-25,234931000,100755000000.0
2021-02-24,290983000,102449000000.0
2021-02-23,254638000,105166000000.0
2021-02-22,389627000,104287000000.0
2021-02-19,373959000,106147000000.0
2021-02-18,400562000,109230000000.0
2021-02-17,224393000,108442000000.0
2021-02-16,16270000,105871000000.0
2021-02-15,25189000,107743000000.0
2021-02-10,355681000,106530000000.0
2021-02-09,484635000,106509000000.0
2021-02-08,290032000,107623000000.0
2021-02-05,258735000,109425000000.0
2021-02-04,212212000,109390000000.0
2021-02-03,345932000,105018000000.0
2021-02-02,188005000,102774000000.0
2021-02-01,334303000,100720000000.0
2021-01-29,457216000,102432000000.0
2021-01-28,317996000,103828000000.0
2021-01-27,76656000,97010712000.0
2021-01-26,21138000,97294962000.0
2021-01-25,164275000,98203544000.0
2021-01-22,166970000,96706544000.0
2021-01-21,135230000,93985440000.0
2021-01-20,540178000,93420264000.0
2021-01-19,235985000,93182529000.0
2021-01-18,452296000,92895579000.0
2021-01-15,28856000,95738520000.0
2021-01-14,9549000,94756116000.0
2021-01-13,28431000,94596806000.0
2021-01-12,22117000,93678000000.0
2021-01-11,9620000,93652920000.0
2021-01-08,60419000,92832012000.0
2021-01-07,9630000,90041249000.0
2021-01-06,11178000,90455100000.0
2021-01-05,19268000,90480390000.0
2021-01-04,267620000,93771652000.0
2020-12-30,89029000,96111360000.0
2020-12-29,3228000,95737946000.0
2020-12-28,3276000,92676402000.0
2020-12-24,3248000,92339000000.0
2020-12-23,0,92041263000.0
2020-12-22,20881000,91307524000.0
2020-12-21,0,90451960000.0
2020-12-18,3222000,86887674000.0
2020-12-17,30629000,90829464000.0
2020-12-16,0,93903954000.0
2020-12-15,38232000,91978227000.0
2020-12-14,9548000,89860440000.0
2020-12-11,64549000,87259624000.0
2020-12-10,35347000,86495376000.0
2020-12-09,26435000,88880690000.0
2020-12-08,3110000,89147422000.0
2020-12-07,15530000,93369466000.0
2020-12-04,22875000,98887384000.0
2020-12-03,7635000,101819000000.0
2020-12-02,157084000,102799000000.0
2020-12-01,83990000,102906000000.0
2020-11-30,185446000,104424000000.0
2020-11-27,50771000,106041000000.0
2020-11-26,0,105905000000.0
2020-11-25,178780000,108928000000.0
2020-11-24,41688000,108747000000.0
2020-11-23,26593000,109652000000.0
2020-11-20,178015000,109507000000.0
2020-11-19,3066000,110076000000.0
2020-11-18,30945000,109692000000.0
2020-11-17,96164000,109423000000.0
2020-11-16,178388000,112572000000.0
2020-11-13,207837000,112408000000.0
2020-11-12,422766000,114283000000.0
2020-11-11,315273000,111943000000.0
2020-11-10,240189000,109383000000.0
2020-11-09,155754000,108341000000.0
2020-11-06,140560000,110472000000.0
2020-11-05,251236000,111023000000.0
2020-11-04,264320000,110357000000.0
2020-11-03,10619000,113344000000.0
2020-11-02,78081000,115124000000.0
2020-10-30,39000000,113372000000.0
2020-10-29,49731000,113150000000.0
2020-10-28,3048000,113972000000.0
2020-10-27,1542000,115626000000.0
2020-10-26,69575000,104996000000.0
2020-10-23,96894000,105218000000.0
2020-10-22,40004000,104163000000.0
2020-10-21,82203000,105645000000.0
2020-10-20,26299000,105453000000.0
2020-10-19,4704000,106021000000.0
2020-10-16,7855000,105259000000.0
2020-10-15,23535000,103851000000.0
2020-10-14,50997000,103041000000.0
2020-10-13,0,105894000000.0
2020-10-12,68155000,114410000000.0
2020-10-08,63140000,111003000000.0
2020-10-07,125459000,113514000000.0
