일자,공매도 수량(전체),공매도 수량(잔고수량)
2021-03-31,104,60660
2021-03-30,97,60052
2021-03-29,79,61174
2021-03-26,54,60590
2021-03-25,197,60747
2021-03-24,116,61319
2021-03-23,249,61871
2021-03-22,260,62674
2021-03-19,330,63911
2021-03-18,188,65338
2021-03-17,281,64431
2021-03-16,165,65879
2021-03-15,252,65116
2021-03-12,160,63834
2021-03-11,151,63633
2021-03-10,21,63079
2021-03-09,131,62733
2021-03-08,100,63857
2021-03-05,115,63771
2021-03-04,106,63845
2021-03-03,24,63157
2021-03-02,53,64755
2021-02-26,225,64961
2021-02-25,150,64298
2021-02-24,186,65757
2021-02-23,161,66351
2021-02-22,249,66808
2021-02-19,234,66342
2021-02-18,250,68440
2021-02-17,139,67105
2021-02-16,10,65071
2021-02-15,15,64133
2021-02-10,213,63714
2021-02-09,292,64473
2021-02-08,174,64990
2021-02-05,159,67297
2021-02-04,131,67400
2021-02-03,212,64349
2021-02-02,118,64274
2021-02-01,212,64399
2021-01-29,292,65788
2021-01-28,201,65342
2021-01-27,47,60556
2021-01-26,13,59837
2021-01-25,99,58594
2021-01-22,107,61912
2021-01-21,87,60832
2021-01-20,347,60116
2021-01-19,152,60079
2021-01-18,294,60361
2021-01-15,18,60594
2021-01-14,6,59371
2021-01-13,18,59197
2021-01-12,14,60050
2021-01-11,6,58460
2021-01-08,37,56674
2021-01-07,6,55961
2021-01-06,7,56890
2021-01-05,12,56199
2021-01-04,166,58171
2020-12-30,55,59328
2020-12-29,2,59134
2020-12-28,2,56579
2020-12-24,2,56824
2020-12-23,0,57133
2020-12-22,13,56854
2020-12-21,0,55492
2020-12-18,2,53934
2020-12-17,19,56276
2020-12-16,0,56946
2020-12-15,24,57739
2020-12-14,6,56516
2020-12-11,41,55544
2020-12-10,23,56496
2020-12-09,17,57158
2020-12-08,2,57626
2020-12-07,10,60122
2020-12-04,15,64972
2020-12-03,5,66679
2020-12-02,102,66709
2020-12-01,55,66909
2020-11-30,122,68972
2020-11-27,33,69172
2020-11-26,0,68904
2020-11-25,115,70367
2020-11-24,27,70432
2020-11-23,17,70065
2020-11-20,115,70017
2020-11-19,2,71851
2020-11-18,20,71321
2020-11-17,62,70962
2020-11-16,114,72069
2020-11-13,131,71325
2020-11-12,263,71116
2020-11-11,203,71256
2020-11-10,157,71539
2020-11-09,102,70950
2020-11-06,92,72393
2020-11-05,166,72564
2020-11-04,175,73327
2020-11-03,7,74716
2020-11-02,51,75195
2020-10-30,26,75581
2020-10-29,33,75083
2020-10-28,2,74785
2020-10-27,1,74936
2020-10-26,46,69304
2020-10-23,63,68368
2020-10-22,26,67682
2020-10-21,53,68114
2020-10-20,17,68166
2020-10-19,3,67875
2020-10-16,5,67001
2020-10-15,15,66189
2020-10-14,33,66650
2020-10-13,0,68407
2020-10-12,43,72183
2020-10-08,41,72080
2020-10-07,83,75026
2020-10-06,112,74934
2020-10-05,190,74829
2020-09-29,75,73957
2020-09-28,115,75170
2020-09-25,99,75684
2020-09-24,148,76373
2020-09-23,154,76623
2020-09-22,211,77636
2020-09-21,83,74692
2020-09-18,151,75649
2020-09-17,28,75241
2020-09-16,67,76186
2020-09-15,162,75785
2020-09-14,34,76617
2020-09-11,151,75577
2020-09-10,25,76008
2020-09-09,29,77690
2020-09-08,1,77845
2020-09-07,0,78114
2020-09-04,184,76560
2020-09-03,11,79030
2020-09-02,11,80164
2020-09-01,42,79892
2020-08-31,92,79567
2020-08-28,110,81673
2020-08-27,177,80061
2020-08-26,453,80178
2020-08-25,90,83830
2020-08-24,165,83703
2020-08-21,199,83117
2020-08-20,218,82587
2020-08-19,84,87913
2020-08-18,8,90487
2020-08-14,23,102560
2020-08-13,1,102252
2020-08-12,18,103590
2020-08-11,187,105745
2020-08-10,131,106396
2020-08-07,8,105874
2020-08-06,57,105211
2020-08-05,36,104886
2020-08-04,19,107192
2020-08-03,3,108070
2020-07-31,41,108978
2020-07-30,171,109540
2020-07-29,68,111207
2020-07-28,0,111393
2020-07-27,0,110993
2020-07-24,2,111442
2020-07-23,69,112341
2020-07-22,55,111665
2020-07-21,1,104848
2020-07-20,32,111712
2020-07-17,30,111164
2020-07-16,14,109939
2020-07-15,1,109817
2020-07-14,30,108303
2020-07-13,22,114939
2020-07-10,3,111656
2020-07-09,1,111776
2020-07-08,10,114035
2020-07-07,1,113642
2020-07-06,0,113903
2020-07-03,5,114364
2020-07-02,7,113148
2020-07-01,9,114867
2020-06-30,45,116697
2020-06-29,24,119681
2020-06-26,18,119875
2020-06-25,63,117020
2020-06-24,75,112293
2020-06-23,41,107622
2020-06-22,0,105146
2020-06-19,1,102998
2020-06-18,48,101168
2020-06-17,54,101703
2020-06-16,18,106595
2020-06-15,45,105050
2020-06-12,491,107949
2020-06-11,118,108926
2020-06-10,5,107975
2020-06-09,4,108288
2020-06-08,0,109129
2020-06-05,8,110281
2020-06-04,8,110688
2020-06-03,6,113335
2020-06-02,31,113049
2020-06-01,126,111588
2020-05-29,156,113645
2020-05-28,113,114128
2020-05-27,30,110551
2020-05-26,0,109157
2020-05-25,11,108249
2020-05-22,22,108116
2020-05-21,19,107662
2020-05-20,1,112407
2020-05-19,21,108891
2020-05-18,53,115411
2020-05-15,192,119595
2020-05-14,58,120979
2020-05-13,47,119669
2020-05-12,104,119848
2020-05-11,372,117672
2020-05-08,54,117244
2020-05-07,28,111995
2020-05-06,49,112776
2020-05-04,15,112616
2020-04-29,0,111237
2020-04-28,16,108711
2020-04-27,0,110834
2020-04-24,26,111800
2020-04-23,10,119565
2020-04-22,5,124089
2020-04-21,36,115201
2020-04-20,29,120332
2020-04-17,35,119046
2020-04-16,21,120890
2020-04-14,49,122164
2020-04-13,47,129408
2020-04-10,38,131023
2020-04-09,33,130553
2020-04-08,40,126772
2020-04-07,34,123184
2020-04-06,33,122361
2020-04-03,117,126125
2020-04-02,168,125478
2020-04-01,239,123463
2020-03-31,2,130541
2020-03-30,31,128527
2020-03-27,68,128518
2020-03-26,4,126931
2020-03-25,50,124194
2020-03-24,113,123778
2020-03-23,28,124976
2020-03-20,104,124968
2020-03-19,5,131986
2020-03-18,150,135822
2020-03-17,186,144138
2020-03-16,4688,150560
2020-03-13,25905,148335
2020-03-12,12981,133825
2020-03-11,6328,143613
2020-03-10,4081,143528
2020-03-09,7292,147466
2020-03-06,4951,142778
2020-03-05,6412,145298
2020-03-04,6871,151353
2020-03-03,8339,151753
2020-03-02,4594,153847
2020-02-28,13217,157227
2020-02-27,9139,152649
2020-02-26,4903,148312
2020-02-25,7338,149792
2020-02-24,13255,149104
2020-02-21,15680,149777
2020-02-20,8867,139511
2020-02-19,2999,138729
2020-02-18,3457,136956
2020-02-17,1098,136113
2020-02-14,4840,137642
2020-02-13,6914,138465
2020-02-12,4164,133414
2020-02-11,3928,134091
2020-02-10,3099,135893
2020-02-07,6039,135517
2020-02-06,9583,133840
2020-02-05,11586,135047
2020-02-04,9169,128904
2020-02-03,6076,126936
2020-01-31,11972,126083
2020-01-30,10797,123833
2020-01-29,18440,122629
2020-01-28,10472,115489
2020-01-23,3869,118830
2020-01-22,1979,118810
2020-01-21,3293,123045
2020-01-20,5079,123171
2020-01-17,1600,125860
2020-01-16,2711,126586
2020-01-15,3329,128956
2020-01-14,3237,128495
2020-01-13,5077,127853
2020-01-10,1595,127800
2020-01-09,2474,129048
2020-01-08,4912,130734
2020-01-07,4275,127630
2020-01-06,2020,130788
2020-01-03,4322,129622
2020-01-02,1919,129219
2019-12-30,611,131304
2019-12-27,4589,132116
2019-12-26,1869,130122
2019-12-24,1469,129477
2019-12-23,3617,126773
2019-12-20,6278,119014
2019-12-19,5270,111158
2019-12-18,5925,108151
2019-12-17,6408,104490
2019-12-16,8286,97707
2019-12-13,6832,89655
2019-12-12,4245,84604
2019-12-11,3068,84191
2019-12-10,1738,86400
2019-12-09,4072,84844
2019-12-06,2472,84225
2019-12-05,1995,83180
2019-12-04,1899,82553
2019-12-03,1919,83433
2019-12-02,3222,84332
2019-11-29,2647,85621
2019-11-28,3800,86685
2019-11-27,2911,85471
2019-11-26,7651,82568
2019-11-25,3512,77779
2019-11-22,6820,74733
2019-11-21,6912,69834
2019-11-20,6552,69144
2019-11-19,7204,60535
2019-11-18,5656,55335
2019-11-15,5649,52018
2019-11-14,8763,47931
2019-11-13,4846,45787
2019-11-12,4436,45052
2019-11-11,9785,45060
2019-11-08,3389,44607
2019-11-07,2157,45015
2019-11-06,2051,46363
2019-11-05,1659,49024
2019-11-04,2001,52830
2019-11-01,1266,58085
2019-10-31,2993,60255
2019-10-30,2569,62530
2019-10-29,2878,66446
2019-10-28,2703,72042
2019-10-25,4256,72958
2019-10-24,4278,78039
2019-10-23,2517,88433
2019-10-22,2599,87358
2019-10-21,1123,87859
2019-10-18,2238,89301
2019-10-17,2358,90573
2019-10-16,3280,91557
2019-10-15,2758,93749
2019-10-14,3026,96136
2019-10-11,5292,97906
2019-10-10,6971,98225
2019-10-08,4067,99497
2019-10-07,2138,101265
2019-10-04,2303,102931
2019-10-02,2341,108605
2019-10-01,1840,112905
2019-09-30,4063,113636
2019-09-27,5295,113575
2019-09-26,2818,113488
2019-09-25,5340,114156
2019-09-24,4803,111739
2019-09-23,2536,110244
2019-09-20,5822,111250
2019-09-19,3319,115584
2019-09-18,1959,118808
2019-09-17,5793,121489
2019-09-16,5434,120450
2019-09-11,6601,120207
2019-09-10,6837,123741
2019-09-09,2254,122802
2019-09-06,2944,124984
2019-09-05,5630,125021
2019-09-04,6864,123061
2019-09-03,9946,121389
2019-09-02,3135,123078
2019-08-30,5145,123699
2019-08-29,7277,128724
2019-08-28,3588,126538
2019-08-27,6280,126277
2019-08-26,3674,128439
2019-08-23,4634,128473
2019-08-22,5878,126505
2019-08-21,6186,127702
2019-08-20,8468,127391
2019-08-19,7068,125287
2019-08-16,5428,115396
2019-08-14,4748,114106
2019-08-13,5948,112845
2019-08-12,6487,111281
2019-08-09,13222,105690
2019-08-08,17429,95828
2019-08-07,13139,90135
2019-08-06,13832,82160
2019-08-05,9818,80025
2019-08-02,5747,78788
2019-08-01,7554,78291
2019-07-31,5848,76455
2019-07-30,4755,77981
2019-07-29,7786,77963
2019-07-26,16001,76076
2019-07-25,6818,68553
2019-07-24,3076,66089
2019-07-23,2979,66514
2019-07-22,3320,66090
2019-07-19,4027,66943
2019-07-18,4271,65845
2019-07-17,2548,64641
2019-07-16,8268,64272
2019-07-15,2502,60463
2019-07-12,4065,60233
2019-07-11,3842,57904
2019-07-10,1781,58334
2019-07-09,2007,59651
2019-07-08,2370,58930
2019-07-05,2295,57974
2019-07-04,1051,57779
2019-07-03,1683,57445
2019-07-02,4738,59458
2019-07-01,1820,57945
2019-06-28,1384,58847
2019-06-27,3094,59228
2019-06-26,1383,60090
2019-06-25,2360,59678
2019-06-24,2043,59231
2019-06-21,7554,59743
2019-06-20,3176,58706
2019-06-19,3836,58309
2019-06-18,3181,60898
2019-06-17,5663,60954
2019-06-14,4146,58571
2019-06-13,4087,57736
2019-06-12,6937,58680
2019-06-11,4419,58284
2019-06-10,3196,61747
2019-06-07,2865,63389
2019-06-05,3163,64264
2019-06-04,5864,65722
2019-06-03,6910,62155
