일자,공매도 금액(전체),공매도 금액(잔고금액)
2021-03-31,215989000,145855000000.0
2021-03-30,29761000,142740000000.0
2021-03-29,293997000,143991000000.0
2021-03-26,0,142966000000.0
2021-03-25,5592000,141718000000.0
2021-03-24,117600000,142211000000.0
2021-03-23,71300000,142052000000.0
2021-03-22,208395000,149060000000.0
2021-03-19,1059076000,152381000000.0
2021-03-18,116034000,152998000000.0
2021-03-17,396672000,151324000000.0
2021-03-16,4455000,158262000000.0
2021-03-15,292507000,171105000000.0
2021-03-12,84132000,162676000000.0
2021-03-11,92488000,164211000000.0
2021-03-10,10818000,152788000000.0
2021-03-09,83141000,145412000000.0
2021-03-08,0,150066000000.0
2021-03-05,230884000,152348000000.0
2021-03-04,128644000,144518000000.0
2021-03-03,870000,140159000000.0
2021-03-02,272911000,144799000000.0
2021-02-26,190012000,138897000000.0
2021-02-25,397715000,149288000000.0
2021-02-24,27824000,145396000000.0
2021-02-23,0,148961000000.0
2021-02-22,0,161156000000.0
2021-02-19,4705000,163217000000.0
2021-02-18,18780000,168859000000.0
2021-02-17,10527000,164914000000.0
2021-02-16,9780000,154694000000.0
2021-02-15,98010000,153640000000.0
2021-02-10,3920000,152842000000.0
2021-02-09,0,160974000000.0
2021-02-08,8946000,163949000000.0
2021-02-05,1028000,175002000000.0
2021-02-04,21916000,170816000000.0
2021-02-03,51742000,162891000000.0
2021-02-02,402596000,161838000000.0
2021-02-01,17950000,160654000000.0
2021-01-29,10154000,157305000000.0
2021-01-28,11223000,159355000000.0
2021-01-27,39445000,154486000000.0
2021-01-26,49245000,158646000000.0
2021-01-25,26554000,152273000000.0
2021-01-22,442340000,151953000000.0
2021-01-21,34362000,153574000000.0
2021-01-20,27976000,155292000000.0
2021-01-19,2948000,152688000000.0
2021-01-18,13500000,150470000000.0
2021-01-15,4924000,160753000000.0
2021-01-14,86282000,160077000000.0
2021-01-13,24823000,155241000000.0
2021-01-12,1970000,152891000000.0
2021-01-11,102905000,155001000000.0
2021-01-08,2994000,153952000000.0
2021-01-07,5575000,151618000000.0
2021-01-06,20714000,145579000000.0
2021-01-05,80313000,142992000000.0
2021-01-04,150835000,142520000000.0
2020-12-30,97600000,132914000000.0
2020-12-29,353434000,146919000000.0
2020-12-28,29304000,136425000000.0
2020-12-24,0,141408000000.0
2020-12-23,4734000,196047000000.0
2020-12-22,8795000,232211000000.0
2020-12-21,26895000,226462000000.0
2020-12-18,25984000,220316000000.0
2020-12-17,112393000,221158000000.0
2020-12-16,1165198000,217338000000.0
2020-12-15,86514000,205235000000.0
2020-12-14,142738000,162133000000.0
2020-12-11,26026000,162987000000.0
2020-12-10,1569714000,197148000000.0
2020-12-09,1553185000,162658000000.0
2020-12-08,1410758000,152519000000.0
2020-12-07,2015682000,162787000000.0
2020-12-04,1534826000,177436000000.0
2020-12-03,27441000,174761000000.0
2020-12-02,77354000,171662000000.0
2020-12-01,11245000,166384000000.0
2020-11-30,386822000,170780000000.0
2020-11-27,4860000,172201000000.0
2020-11-26,23375000,171080000000.0
2020-11-25,6456000,162261000000.0
2020-11-24,375415000,156722000000.0
2020-11-23,70965000,142326000000.0
2020-11-20,0,137297000000.0
2020-11-19,5762000,136040000000.0
2020-11-18,3545000,133760000000.0
2020-11-17,12312000,128692000000.0
2020-11-16,0,127733000000.0
2020-11-13,56403000,132552000000.0
2020-11-12,0,129327000000.0
2020-11-11,0,128772000000.0
2020-11-10,64825000,130858000000.0
2020-11-09,101788000,138169000000.0
2020-11-06,415870000,133212000000.0
2020-11-05,143277000,121375000000.0
2020-11-04,97331000,122121000000.0
2020-11-03,293400000,122309000000.0
2020-11-02,14329000,122500000000.0
2020-10-30,73688000,120140000000.0
2020-10-29,0,124421000000.0
2020-10-28,15359000,124218000000.0
2020-10-27,1263000,123237000000.0
2020-10-26,52815000,125071000000.0
2020-10-23,18200000,126605000000.0
2020-10-22,0,121368000000.0
2020-10-21,3702000,116702000000.0
2020-10-20,2488000,120185000000.0
2020-10-19,3690000,119922000000.0
