일자,공매도 수량(전체),공매도 수량(잔고수량)
2021-03-31,266,181186
2021-03-30,37,176658
2021-03-29,367,180214
2021-03-26,0,178262
2021-03-25,7,179845
2021-03-24,150,181391
2021-03-23,92,183293
2021-03-22,258,185168
2021-03-19,1272,183592
2021-03-18,135,177698
2021-03-17,458,176574
2021-03-16,5,177623
2021-03-15,303,177127
2021-03-12,88,172326
2021-03-11,100,174879
2021-03-10,12,171479
2021-03-09,96,168887
2021-03-08,0,168613
2021-03-05,260,168527
2021-03-04,149,167073
2021-03-03,1,161102
2021-03-02,309,162513
2021-02-26,228,167145
2021-02-25,447,167739
2021-02-24,32,169065
2021-02-23,0,168317
2021-02-22,0,175935
2021-02-19,5,173451
2021-02-18,20,179829
2021-02-17,11,172324
2021-02-16,10,158174
2021-02-15,99,155192
2021-02-10,4,159210
2021-02-09,0,165441
2021-02-08,9,165605
2021-02-05,1,170235
2021-02-04,22,170816
2021-02-03,52,163054
2021-02-02,419,167708
2021-02-01,19,169109
2021-01-29,11,171543
2021-01-28,12,169888
2021-01-27,42,166472
2021-01-26,51,166121
2021-01-25,27,153811
2021-01-22,450,155849
2021-01-21,34,155439
2021-01-20,28,155292
2021-01-19,3,153147
2021-01-18,14,156089
2021-01-15,5,164201
2021-01-14,85,158492
2021-01-13,25,155241
2021-01-12,2,158930
2021-01-11,100,155312
2021-01-08,3,154106
2021-01-07,6,157607
2021-01-06,23,163572
2021-01-05,91,160125
2021-01-04,170,160315
2020-12-30,119,161304
2020-12-29,435,180712
2020-12-28,36,167598
2020-12-24,0,172870
2020-12-23,6,243235
2020-12-22,11,291356
2020-12-21,33,277867
2020-12-18,32,270659
2020-12-17,137,266456
2020-12-16,1424,265370
2020-12-15,108,256224
2020-12-14,180,204455
2020-12-11,32,201717
2020-12-10,1916,241307
2020-12-09,1889,194567
2020-12-08,1730,188063
2020-12-07,2461,199494
2020-12-04,1807,209735
2020-12-03,33,206573
2020-12-02,92,204116
2020-12-01,14,205666
2020-11-30,481,213475
2020-11-27,6,212594
2020-11-26,29,209657
2020-11-25,8,205915
2020-11-24,478,196148
2020-11-23,95,190276
2020-11-20,0,189637
2020-11-19,8,188683
2020-11-18,5,188660
2020-11-17,18,187598
2020-11-16,0,188675
2020-11-13,80,188017
2020-11-12,0,186889
2020-11-11,0,186087
2020-11-10,92,186407
2020-11-09,139,188241
2020-11-06,587,185017
2020-11-05,215,179284
2020-11-04,149,187879
2020-11-03,449,186447
2020-11-02,23,196629
2020-10-30,120,196629
2020-10-29,0,191123
2020-10-28,24,193486
2020-10-27,2,194995
2020-10-26,82,193608
2020-10-23,28,194777
2020-10-22,0,189934
2020-10-21,6,189144
2020-10-20,4,193534
2020-10-19,6,194995
2020-10-16,0,196400
2020-10-15,0,196058
2020-10-14,0,196817
2020-10-13,34,193949
2020-10-12,0,202246
2020-10-08,30,199398
2020-10-07,143,192721
2020-10-06,14,199055
2020-10-05,466,202613
2020-09-29,2656,210030
2020-09-28,723,213200
2020-09-25,745,218949
2020-09-24,3020,228414
2020-09-23,5534,228081
2020-09-22,4520,222897
2020-09-21,4653,232767
2020-09-18,7391,240395
2020-09-17,10799,278322
2020-09-16,3275,270416
2020-09-15,2091,268371
2020-09-14,1483,264828
2020-09-11,2237,262791
2020-09-10,169,263194
2020-09-09,82,255738
2020-09-08,26,252689
2020-09-07,0,255409
2020-09-04,0,258258
2020-09-03,49,256424
2020-09-02,166,264540
2020-09-01,0,259605
2020-08-31,8,260380
2020-08-28,4,261913
2020-08-27,361,262769
2020-08-26,296,286298
2020-08-25,182,279573
2020-08-24,307,277210
2020-08-21,110,278411
2020-08-20,2246,294612
2020-08-19,2550,282452
2020-08-18,2862,280686
2020-08-14,5338,294325
2020-08-13,879,276512
2020-08-12,3034,270646
2020-08-11,5073,273945
2020-08-10,1431,275206
2020-08-07,31,266525
2020-08-06,0,246461
2020-08-05,0,243056
2020-08-04,24,230324
2020-08-03,153,226419
2020-07-31,82,185363
2020-07-30,0,189072
2020-07-29,198,189151
2020-07-28,206,189266
2020-07-27,1,187923
2020-07-24,13,190761
2020-07-23,150,190295
2020-07-22,405,190938
2020-07-21,61,194617
2020-07-20,0,195779
2020-07-17,0,196098
2020-07-16,15,195760
2020-07-15,9,195152
2020-07-14,0,194100
2020-07-13,0,194843
2020-07-10,0,194599
2020-07-09,56,194080
2020-07-08,0,209956
2020-07-07,273,212270
2020-07-06,329,243505
2020-07-03,453,247123
2020-07-02,411,248315
2020-07-01,204,256431
2020-06-30,0,264804
2020-06-29,37,270447
2020-06-26,18,273684
2020-06-25,119,263054
2020-06-24,153,248360
2020-06-23,0,230785
2020-06-22,5,221439
2020-06-19,131,208386
2020-06-18,152,209721
2020-06-17,202,207791
2020-06-16,263,217577
2020-06-15,74,222013
2020-06-12,243,214060
2020-06-11,264,211180
2020-06-10,8,205104
2020-06-09,0,213626
2020-06-08,3,215015
2020-06-05,39,222232
2020-06-04,90,241615
2020-06-03,0,287072
2020-06-02,120,291428
2020-06-01,71,291791
2020-05-29,149,284929
2020-05-28,95,284795
2020-05-27,0,303118
2020-05-26,143,301224
2020-05-25,156,306315
2020-05-22,381,296401
2020-05-21,119,294521
2020-05-20,0,301611
2020-05-19,3,230831
2020-05-18,17,302364
2020-05-15,173,315886
2020-05-14,25,316542
2020-05-13,114,316674
2020-05-12,215,316084
2020-05-11,176,317217
2020-05-08,247,311446
2020-05-07,59,314336
2020-05-06,64,331125
2020-05-04,13,335424
2020-04-29,24,320809
2020-04-28,5,337079
2020-04-27,0,335113
2020-04-24,280,336457
2020-04-23,68,351533
2020-04-22,0,341123
2020-04-21,72,271430
2020-04-20,2,355432
2020-04-17,18,346366
2020-04-16,65,344800
2020-04-14,51,372572
2020-04-13,227,359465
2020-04-10,192,359777
2020-04-09,0,365163
2020-04-08,267,363025
2020-04-07,300,359434
2020-04-06,106,357119
2020-04-03,67,388784
2020-04-02,55,387722
2020-04-01,1380,385478
2020-03-31,1019,370415
2020-03-30,29,377899
2020-03-27,20,376896
2020-03-26,97,398342
2020-03-25,112,400689
2020-03-24,230,402562
2020-03-23,0,407178
2020-03-20,0,408882
2020-03-19,384,393933
2020-03-18,1662,415783
2020-03-17,779,420015
2020-03-16,23658,426305
2020-03-13,37208,412036
2020-03-12,31971,406283
2020-03-11,18948,428194
2020-03-10,27342,442544
2020-03-09,86757,471633
2020-03-06,42220,450745
2020-03-05,70109,454971
2020-03-04,23599,460734
2020-03-03,38236,450702
2020-03-02,14321,448471
2020-02-28,43516,456035
2020-02-27,28793,447309
2020-02-26,23396,430858
2020-02-25,27176,447120
2020-02-24,28877,464197
2020-02-21,33716,476215
2020-02-20,43478,487544
2020-02-19,25364,496194
2020-02-18,19738,552184
2020-02-17,12282,551471
2020-02-14,25421,553452
2020-02-13,45161,542590
2020-02-12,40177,540563
2020-02-11,66647,553038
2020-02-10,24535,582036
2020-02-07,47525,584798
2020-02-06,100938,595631
2020-02-05,110097,578773
2020-02-04,127130,620866
2020-02-03,102991,697285
2020-01-31,98285,789266
2020-01-30,173923,797920
2020-01-29,31264,746408
2020-01-28,57657,767517
2020-01-23,48664,789391
2020-01-22,58341,795114
2020-01-21,36621,782313
2020-01-20,27366,766317
2020-01-17,32662,779963
2020-01-16,30369,793811
2020-01-15,43146,779422
2020-01-14,64531,760217
2020-01-13,43549,744436
2020-01-10,51726,726459
2020-01-09,41223,718782
2020-01-08,39453,690924
2020-01-07,11441,659593
2020-01-06,16297,669819
2020-01-03,17123,661383
2020-01-02,19372,658414
2019-12-30,3784,639313
2019-12-27,8268,635762
2019-12-26,9777,642265
2019-12-24,31058,640474
2019-12-23,5230,625193
2019-12-20,20745,601973
2019-12-19,5132,553108
2019-12-18,33109,577488
2019-12-17,13403,575008
2019-12-16,7346,575955
2019-12-13,46406,591963
2019-12-12,10774,575411
2019-12-11,19746,585657
2019-12-10,15999,590281
2019-12-09,7535,613657
2019-12-06,19062,618156
2019-12-05,14690,611000
2019-12-04,69927,607370
2019-12-03,11157,557770
2019-12-02,9970,550015
2019-11-29,16900,542414
2019-11-28,3411,530662
2019-11-27,4607,529372
2019-11-26,6979,528425
2019-11-25,23847,559926
2019-11-22,32322,584176
2019-11-21,17631,600772
2019-11-20,26789,602180
2019-11-19,18279,596996
2019-11-18,7971,597548
2019-11-15,18515,598069
2019-11-14,17278,587461
2019-11-13,20441,590408
2019-11-12,7026,597034
2019-11-11,16248,599039
2019-11-08,16338,598508
2019-11-07,9701,603732
2019-11-06,22741,599055
2019-11-05,19505,599881
2019-11-04,29432,600753
2019-11-01,13425,597787
2019-10-31,17477,597603
2019-10-30,14823,615495
2019-10-29,9572,625128
2019-10-28,12352,638784
2019-10-25,27442,651880
2019-10-24,18529,643557
2019-10-23,9828,654217
2019-10-22,21932,672428
2019-10-21,20146,682037
2019-10-18,34243,695451
2019-10-17,17773,687817
2019-10-16,8666,681962
