일자,공매도 수량(전체),공매도 수량(잔고수량),공매도 금액(전체),공매도 금액(잔고금액)
2021-03-31,266,181186,215989000,145855000000.0
2021-03-30,37,176658,29761000,142740000000.0
2021-03-29,367,180214,293997000,143991000000.0
2021-03-26,0,178262,0,142966000000.0
2021-03-25,7,179845,5592000,141718000000.0
2021-03-24,150,181391,117600000,142211000000.0
2021-03-23,92,183293,71300000,142052000000.0
2021-03-22,258,185168,208395000,149060000000.0
2021-03-19,1272,183592,1059076000,152381000000.0
2021-03-18,135,177698,116034000,152998000000.0
2021-03-17,458,176574,396672000,151324000000.0
2021-03-16,5,177623,4455000,158262000000.0
2021-03-15,303,177127,292507000,171105000000.0
2021-03-12,88,172326,84132000,162676000000.0
2021-03-11,100,174879,92488000,164211000000.0
2021-03-10,12,171479,10818000,152788000000.0
2021-03-09,96,168887,83141000,145412000000.0
2021-03-08,0,168613,0,150066000000.0
2021-03-05,260,168527,230884000,152348000000.0
2021-03-04,149,167073,128644000,144518000000.0
2021-03-03,1,161102,870000,140159000000.0
2021-03-02,309,162513,272911000,144799000000.0
2021-02-26,228,167145,190012000,138897000000.0
2021-02-25,447,167739,397715000,149288000000.0
2021-02-24,32,169065,27824000,145396000000.0
2021-02-23,0,168317,0,148961000000.0
2021-02-22,0,175935,0,161156000000.0
2021-02-19,5,173451,4705000,163217000000.0
2021-02-18,20,179829,18780000,168859000000.0
2021-02-17,11,172324,10527000,164914000000.0
2021-02-16,10,158174,9780000,154694000000.0
2021-02-15,99,155192,98010000,153640000000.0
2021-02-10,4,159210,3920000,152842000000.0
2021-02-09,0,165441,0,160974000000.0
2021-02-08,9,165605,8946000,163949000000.0
2021-02-05,1,170235,1028000,175002000000.0
2021-02-04,22,170816,21916000,170816000000.0
2021-02-03,52,163054,51742000,162891000000.0
2021-02-02,419,167708,402596000,161838000000.0
2021-02-01,19,169109,17950000,160654000000.0
2021-01-29,11,171543,10154000,157305000000.0
2021-01-28,12,169888,11223000,159355000000.0
2021-01-27,42,166472,39445000,154486000000.0
2021-01-26,51,166121,49245000,158646000000.0
2021-01-25,27,153811,26554000,152273000000.0
2021-01-22,450,155849,442340000,151953000000.0
2021-01-21,34,155439,34362000,153574000000.0
2021-01-20,28,155292,27976000,155292000000.0
2021-01-19,3,153147,2948000,152688000000.0
2021-01-18,14,156089,13500000,150470000000.0
2021-01-15,5,164201,4924000,160753000000.0
2021-01-14,85,158492,86282000,160077000000.0
2021-01-13,25,155241,24823000,155241000000.0
2021-01-12,2,158930,1970000,152891000000.0
2021-01-11,100,155312,102905000,155001000000.0
