일자,공매도 수량(전체),공매도 수량(잔고수량),공매도 금액(전체),공매도 금액(잔고금액)
2021-03-31,738,318817,279794000,120194000000.0
2021-03-30,114,259982,42908500,97883223000.0
2021-03-29,920,278829,345276000,103724000000.0
2021-03-26,81,262909,30861000,100694000000.0
2021-03-25,200,267930,76000000,101813000000.0
2021-03-24,0,266724,0,103222000000.0
2021-03-23,48,271698,18552000,104875000000.0
2021-03-22,575,282531,228263500,112024000000.0
2021-03-19,1472,342595,588248000,137723000000.0
2021-03-18,583,336653,235782500,135839000000.0
2021-03-17,1642,339020,635349000,130014000000.0
2021-03-16,222,348656,85575500,134407000000.0
2021-03-15,787,348377,300405000,133428000000.0
2021-03-12,41,339008,15600500,128993000000.0
2021-03-11,146,342980,54531000,128103000000.0
2021-03-10,14,336162,5208000,125052000000.0
2021-03-09,4,330992,1448000,119654000000.0
2021-03-08,46,335343,17166000,123574000000.0
2021-03-05,736,343983,276000000,129854000000.0
2021-03-04,368,317827,144900000,124429000000.0
2021-03-03,30,301605,11969000,120491000000.0
2021-03-02,385,318030,146865500,120056000000.0
2021-02-26,616,321243,229062000,120466000000.0
2021-02-25,41,304339,15703000,116562000000.0
2021-02-24,0,323224,0,120886000000.0
2021-02-23,0,331781,0,129560000000.0
2021-02-22,9,340527,3478500,131614000000.0
2021-02-19,39,332603,15522000,132376000000.0
2021-02-18,0,358734,0,139189000000.0
2021-02-17,0,346766,0,135932000000.0
2021-02-16,0,312210,0,123011000000.0
2021-02-15,82,301595,31611000,116265000000.0
2021-02-10,0,294419,0,107905000000.0
2021-02-09,43,306074,15415500,109728000000.0
2021-02-08,325,308183,116317000,110175000000.0
2021-02-05,299,334219,108387500,121154000000.0
2021-02-04,18,340365,6444000,121851000000.0
2021-02-03,32,303064,11856000,112285000000.0
2021-02-02,343,305179,125596000,110627000000.0
2021-02-01,29,312484,10080000,108744000000.0
2021-01-29,32,326925,11390000,112135000000.0
2021-01-28,71,330948,25220000,117487000000.0
2021-01-27,86,306369,29901000,104625000000.0
2021-01-26,118,307593,40356000,105197000000.0
2021-01-25,38,302865,13232000,105700000000.0
2021-01-22,202,299806,68538000,102983000000.0
2021-01-21,63,300884,20263500,97035090000.0
2021-01-20,23,294785,7070000,90793780000.0
2021-01-19,153,293209,47090500,90308372000.0
2021-01-18,88,298367,26505000,89659283500.0
2021-01-15,59,302685,18086500,92621610000.0
2021-01-14,208,303584,65645000,96539712000.0
2021-01-13,0,311552,0,97827328000.0
2021-01-12,54,325888,16416000,99069952000.0
2021-01-11,41,319380,12654000,98688420000.0
2021-01-08,314,297943,96734500,92958216000.0
2021-01-07,15,304015,4332500,88012342500.0
2021-01-06,362,318010,105092500,92222900000.0
2021-01-05,252,306913,73710000,89772052500.0
2021-01-04,16009,310249,4654261500,90902957000.0
2020-12-30,1512,315902,441866000,92401335000.0
2020-12-29,1886,317421,533675500,89830143000.0
2020-12-28,348,269027,97788000,75596587000.0
2020-12-24,68,282164,19176000,79570248000.0
2020-12-23,53,297624,15064000,84525216000.0
2020-12-22,19,318047,5418000,90325348000.0
2020-12-21,31,318266,8789000,90387544000.0
2020-12-18,50,298326,14125000,84277095000.0
2020-12-17,190,328238,53865000,93547830000.0
2020-12-16,1083,338775,308993000,96720262500.0
2020-12-15,336,349724,95088000,98971892000.0
2020-12-14,180,310744,51492000,88872784000.0
2020-12-11,131,268237,37939000,77788730000.0
2020-12-10,240,271139,68910000,77545754000.0
2020-12-09,91,286255,26207500,82441440000.0
2020-12-08,12,292786,3451000,83444010000.0
2020-12-07,36,326999,10404000,94666210500.0
2020-12-04,1369,362565,401101500,106594000000.0
2020-12-03,169,396121,48177500,113687000000.0
2020-12-02,1117,396355,316330500,112367000000.0
2020-12-01,44,404631,12452000,115522000000.0
2020-11-30,0,425948,0,118201000000.0
2020-11-27,6,429737,1707000,122260000000.0
2020-11-26,208,429576,58865000,122644000000.0
2020-11-25,153,427252,42691500,118990000000.0
2020-11-24,193,430653,54540000,121659000000.0
2020-11-23,260,430297,73190000,121129000000.0
2020-11-20,198,432607,55698500,121563000000.0
2020-11-19,213,432207,59688500,121234000000.0
2020-11-18,764,437344,214694500,122894000000.0
2020-11-17,1370,435387,377201500,119731000000.0
2020-11-16,237,438953,65886000,122029000000.0
2020-11-13,402,439054,112962000,123374000000.0
2020-11-12,1000,445033,279353000,124164000000.0
2020-11-11,792,436543,222060500,122232000000.0
2020-11-10,828,440979,234397500,124797000000.0
2020-11-09,0,436094,0,129956000000.0
2020-11-06,143,448029,43012000,134857000000.0
2020-11-05,174,446805,51452500,133595000000.0
2020-11-04,196,454666,58503000,135718000000.0
2020-11-03,0,465250,0,131666000000.0
2020-11-02,127,476028,36258500,135906000000.0
2020-10-30,515,476428,149350000,138164000000.0
2020-10-29,86,459618,25671000,137196000000.0
2020-10-28,36,455782,10704500,136051000000.0
2020-10-27,475,455460,135502500,129123000000.0
2020-10-26,1103,460562,311211500,129648000000.0
2020-10-23,557,460512,159687000,131937000000.0
2020-10-22,63,459210,18459000,134549000000.0
2020-10-21,31,457040,9284500,135969000000.0
2020-10-20,24,459260,6960000,133185000000.0
2020-10-19,150,463092,42900000,132444000000.0
2020-10-16,0,463010,0,135893000000.0
2020-10-15,0,462934,0,135408000000.0
2020-10-14,96,463180,28656000,138259000000.0
2020-10-13,303,453974,89318000,133922000000.0
2020-10-12,159,490124,47330000,143116000000.0
2020-10-08,64,484215,19324000,145749000000.0
2020-10-07,33,473497,10065000,144417000000.0
2020-10-06,654,472002,199381500,143961000000.0
2020-10-05,225,473038,67116000,141202000000.0
2020-09-29,0,469649,0,139251000000.0
2020-09-28,310,466199,92535000,139160000000.0
2020-09-25,19,448943,5605000,132438000000.0
2020-09-24,234,454479,68601000,133617000000.0
2020-09-23,358,457809,106169500,135740000000.0
2020-09-22,182,449807,51779000,127970000000.0
2020-09-21,255,438995,74955000,128187000000.0
2020-09-18,0,449395,0,133920000000.0
2020-09-17,0,455256,0,136804000000.0
2020-09-16,114,446099,34998000,136952000000.0
2020-09-15,213,447401,66366000,139589000000.0
2020-09-14,156,440501,47009500,133472000000.0
2020-09-11,1948,437674,596131000,133928000000.0
2020-09-10,66,425917,20295000,130969000000.0
2020-09-09,0,442469,0,134732000000.0
2020-09-08,91,438424,28392000,136350000000.0
2020-09-07,0,446840,0,140531000000.0
2020-09-04,98,459211,32193000,150851000000.0
2020-09-03,19,456149,6441000,154635000000.0
2020-09-02,0,459357,0,152736000000.0
2020-09-01,0,438040,0,142144000000.0
2020-08-31,0,441836,0,142492000000.0
2020-08-28,63,465053,20979000,154863000000.0
2020-08-27,546,466917,184798000,157351000000.0
2020-08-26,157,464257,52384500,155062000000.0
2020-08-25,1,475429,325000,154514000000.0
2020-08-24,93,465177,29760000,148857000000.0
2020-08-21,0,461345,0,144170000000.0
2020-08-20,3,455673,916500,139208000000.0
2020-08-19,55,445959,17325000,140477000000.0
2020-08-18,984,440201,302920000,135362000000.0
2020-08-14,1413,457319,429965000,139482000000.0
2020-08-13,505,464519,154745000,142607000000.0
2020-08-12,106,470050,32330000,143365000000.0
2020-08-11,248,486702,77252000,151608000000.0
2020-08-10,62,492376,19437000,154360000000.0
2020-08-07,0,483444,0,151801000000.0
2020-08-06,0,485035,0,156181000000.0
2020-08-05,8,508879,2504000,159534000000.0
2020-08-04,7,508462,2191000,158132000000.0
2020-08-03,122,508644,38149000,159969000000.0
2020-07-31,208,502850,62548000,151358000000.0
2020-07-30,6,502553,1764000,147751000000.0
2020-07-29,40,502271,11680000,146663000000.0
2020-07-28,51,502302,14622000,144663000000.0
2020-07-27,5,500546,1422500,142405000000.0
2020-07-24,8,508067,2248000,142767000000.0
2020-07-23,0,507073,0,144009000000.0
2020-07-22,4000,504987,1077000000,136346000000.0
2020-07-21,18,500409,4914000,135110000000.0
2020-07-20,39,505605,10257000,132974000000.0
2020-07-17,163,503681,44984000,139016000000.0
2020-07-16,485,500035,132603500,136510000000.0
2020-07-15,1002,499615,286485500,143140000000.0
2020-07-14,16,452007,4584500,129726000000.0
2020-07-13,30,522919,8932500,155307000000.0
2020-07-10,29,519924,8685500,155457000000.0
2020-07-09,0,515295,0,148147000000.0
2020-07-08,14,635776,3871000,179607000000.0
2020-07-07,0,632833,0,176877000000.0
2020-07-06,3,639084,849000,179902000000.0
2020-07-03,253,635478,70209500,176345000000.0
2020-07-02,161,639968,44346500,177271000000.0
2020-07-01,157,654939,42217500,176179000000.0
2020-06-30,598,678635,160317000,181196000000.0
2020-06-29,482,702974,127781000,185585000000.0
2020-06-26,377,711113,100847500,191289000000.0
2020-06-25,7356,675373,1993103500,182013000000.0
2020-06-24,9,622553,2511000,173692000000.0
2020-06-23,4,566548,1104000,156367000000.0
2020-06-22,285,548002,76222500,147961000000.0
2020-06-19,349,514183,86630000,128289000000.0
2020-06-18,677,509342,168218000,126062000000.0
2020-06-17,3146,504876,778446000,126724000000.0
2020-06-16,764,520210,185636500,126671000000.0
2020-06-15,8,526717,1852000,121935000000.0
2020-06-12,4455,390031,1076859000,94387502000.0
2020-06-11,213,384945,51226500,92579272500.0
2020-06-10,600,363026,146421000,88578344000.0
2020-06-09,1072,364350,254600000,86533125000.0
2020-06-08,1624,368206,390141500,88553543000.0
2020-06-05,1563,374781,360469500,86574411000.0
2020-06-04,828,444918,192538000,103443000000.0
2020-06-03,372,516366,83910500,116441000000.0
2020-06-02,0,542517,0,126949000000.0
2020-06-01,131,544111,30595000,128954000000.0
2020-05-29,492,551343,115593000,124604000000.0
2020-05-28,1436,617233,339873000,148445000000.0
2020-05-27,0,598731,0,136810000000.0
2020-05-26,0,609071,0,145568000000.0
2020-05-25,0,614767,0,148159000000.0
2020-05-22,0,596407,0,137472000000.0
2020-05-21,88,569710,19800000,128185000000.0
2020-05-20,839,542650,186622000,120468000000.0
2020-05-19,3353,327194,714993500,69855919000.0
2020-05-18,21,566532,4515000,121804000000.0
2020-05-15,106,571703,22578000,121773000000.0
2020-05-14,61,582146,13359000,127490000000.0
2020-05-13,108,569446,23577000,124424000000.0
2020-05-12,358,551993,78593000,121162000000.0
2020-05-11,77,545025,16516500,116908000000.0
2020-05-08,39,537559,8453500,115038000000.0
2020-05-07,294,542701,63336500,116952000000.0
2020-05-06,423,562458,89676000,119241000000.0
2020-05-04,119,561426,23681000,111724000000.0
2020-04-29,13,543635,2593500,107368000000.0
2020-04-28,388,548346,76754500,108573000000.0
2020-04-27,25,545382,4937500,107713000000.0
2020-04-24,66,557606,12705000,107339000000.0
2020-04-23,197,568430,37430000,108002000000.0
2020-04-22,0,583026,0,106111000000.0
2020-04-21,489,362602,88078500,64724457000.0
2020-04-20,141,566622,25376000,101992000000.0
2020-04-17,234,554813,41832500,99311527000.0
2020-04-16,282,564186,48157000,96193713000.0
2020-04-14,963,584059,162494500,98413941500.0
2020-04-13,1116,544536,184971000,90392976000.0
2020-04-10,1018,533972,169138000,88906338000.0
2020-04-09,3090,538060,516560000,90125050000.0
2020-04-08,489,559334,81461500,93129111000.0
2020-04-07,1041,537282,176336000,91069299000.0
2020-04-06,20,537716,3465000,93024868000.0
2020-04-03,0,567338,0,97582136000.0
2020-04-02,598,569331,103753000,98778928500.0
2020-04-01,977,578988,161701000,94375044000.0
2020-03-31,3295,562417,555696000,95610890000.0
2020-03-30,1466,563031,238159500,91492537500.0
2020-03-27,4302,567486,693186500,93067704000.0
2020-03-26,2524,561328,392018000,85602520000.0
2020-03-25,4783,556653,741803000,86837868000.0
2020-03-24,3510,547466,541179500,85404696000.0
2020-03-23,2781,525394,405317500,75131342000.0
2020-03-20,1349,471061,202042500,72543394000.0
2020-03-19,52,480729,7533000,69224976000.0
2020-03-18,0,489946,0,71532116000.0
2020-03-17,2003,479139,299992000,72349989000.0
2020-03-16,63585,497284,10185487500,77079020000.0
2020-03-13,62227,475086,9964678000,78864276000.0
2020-03-12,120349,491898,19955953000,81901017000.0
2020-03-11,67057,483390,11442789000,82176300000.0
2020-03-10,22437,467677,3841596000,80440444000.0
2020-03-09,53963,459778,9176003000,77242704000.0
2020-03-06,62330,451058,11145896500,80964911000.0
2020-03-05,79146,451258,14244082000,81677698000.0
2020-03-04,27895,420496,4960643500,75058536000.0
2020-03-03,38224,423233,6746922000,74065775000.0
2020-03-02,37813,385582,6596263000,67476850000.0
2020-02-28,28132,357051,4933534500,62126874000.0
2020-02-27,60040,374365,10961538500,68134430000.0
2020-02-26,44492,327731,8350818500,61285697000.0
