일자,공매도 금액(전체),공매도 금액(잔고금액)
2021-03-31,279794000,120194000000.0
2021-03-30,42908500,97883223000.0
2021-03-29,345276000,103724000000.0
2021-03-26,30861000,100694000000.0
2021-03-25,76000000,101813000000.0
2021-03-24,0,103222000000.0
2021-03-23,18552000,104875000000.0
2021-03-22,228263500,112024000000.0
2021-03-19,588248000,137723000000.0
2021-03-18,235782500,135839000000.0
2021-03-17,635349000,130014000000.0
2021-03-16,85575500,134407000000.0
2021-03-15,300405000,133428000000.0
2021-03-12,15600500,128993000000.0
2021-03-11,54531000,128103000000.0
2021-03-10,5208000,125052000000.0
2021-03-09,1448000,119654000000.0
2021-03-08,17166000,123574000000.0
2021-03-05,276000000,129854000000.0
2021-03-04,144900000,124429000000.0
2021-03-03,11969000,120491000000.0
2021-03-02,146865500,120056000000.0
2021-02-26,229062000,120466000000.0
2021-02-25,15703000,116562000000.0
2021-02-24,0,120886000000.0
2021-02-23,0,129560000000.0
2021-02-22,3478500,131614000000.0
2021-02-19,15522000,132376000000.0
2021-02-18,0,139189000000.0
2021-02-17,0,135932000000.0
2021-02-16,0,123011000000.0
2021-02-15,31611000,116265000000.0
2021-02-10,0,107905000000.0
2021-02-09,15415500,109728000000.0
2021-02-08,116317000,110175000000.0
2021-02-05,108387500,121154000000.0
2021-02-04,6444000,121851000000.0
2021-02-03,11856000,112285000000.0
2021-02-02,125596000,110627000000.0
2021-02-01,10080000,108744000000.0
2021-01-29,11390000,112135000000.0
2021-01-28,25220000,117487000000.0
2021-01-27,29901000,104625000000.0
2021-01-26,40356000,105197000000.0
2021-01-25,13232000,105700000000.0
2021-01-22,68538000,102983000000.0
2021-01-21,20263500,97035090000.0
2021-01-20,7070000,90793780000.0
2021-01-19,47090500,90308372000.0
2021-01-18,26505000,89659283500.0
2021-01-15,18086500,92621610000.0
2021-01-14,65645000,96539712000.0
2021-01-13,0,97827328000.0
2021-01-12,16416000,99069952000.0
2021-01-11,12654000,98688420000.0
2021-01-08,96734500,92958216000.0
2021-01-07,4332500,88012342500.0
2021-01-06,105092500,92222900000.0
2021-01-05,73710000,89772052500.0
2021-01-04,4654261500,90902957000.0
2020-12-30,441866000,92401335000.0
2020-12-29,533675500,89830143000.0
2020-12-28,97788000,75596587000.0
2020-12-24,19176000,79570248000.0
2020-12-23,15064000,84525216000.0
2020-12-22,5418000,90325348000.0
2020-12-21,8789000,90387544000.0
2020-12-18,14125000,84277095000.0
2020-12-17,53865000,93547830000.0
2020-12-16,308993000,96720262500.0
2020-12-15,95088000,98971892000.0
2020-12-14,51492000,88872784000.0
2020-12-11,37939000,77788730000.0
2020-12-10,68910000,77545754000.0
2020-12-09,26207500,82441440000.0
2020-12-08,3451000,83444010000.0
2020-12-07,10404000,94666210500.0
2020-12-04,401101500,106594000000.0
2020-12-03,48177500,113687000000.0
2020-12-02,316330500,112367000000.0
2020-12-01,12452000,115522000000.0
2020-11-30,0,118201000000.0
2020-11-27,1707000,122260000000.0
2020-11-26,58865000,122644000000.0
2020-11-25,42691500,118990000000.0
2020-11-24,54540000,121659000000.0
2020-11-23,73190000,121129000000.0
2020-11-20,55698500,121563000000.0
2020-11-19,59688500,121234000000.0
2020-11-18,214694500,122894000000.0
2020-11-17,377201500,119731000000.0
2020-11-16,65886000,122029000000.0
2020-11-13,112962000,123374000000.0
2020-11-12,279353000,124164000000.0
2020-11-11,222060500,122232000000.0
2020-11-10,234397500,124797000000.0
2020-11-09,0,129956000000.0
2020-11-06,43012000,134857000000.0
2020-11-05,51452500,133595000000.0
2020-11-04,58503000,135718000000.0
2020-11-03,0,131666000000.0
2020-11-02,36258500,135906000000.0
2020-10-30,149350000,138164000000.0
2020-10-29,25671000,137196000000.0
2020-10-28,10704500,136051000000.0
2020-10-27,135502500,129123000000.0
2020-10-26,311211500,129648000000.0
2020-10-23,159687000,131937000000.0
2020-10-22,18459000,134549000000.0
2020-10-21,9284500,135969000000.0
2020-10-20,6960000,133185000000.0
2020-10-19,42900000,132444000000.0
2020-10-16,0,135893000000.0
2020-10-15,0,135408000000.0
2020-10-14,28656000,138259000000.0
2020-10-13,89318000,133922000000.0
2020-10-12,47330000,143116000000.0
2020-10-08,19324000,145749000000.0
2020-10-07,10065000,144417000000.0
2020-10-06,199381500,143961000000.0
2020-10-05,67116000,141202000000.0
2020-09-29,0,139251000000.0
2020-09-28,92535000,139160000000.0
2020-09-25,5605000,132438000000.0
2020-09-24,68601000,133617000000.0
2020-09-23,106169500,135740000000.0
2020-09-22,51779000,127970000000.0
2020-09-21,74955000,128187000000.0
2020-09-18,0,133920000000.0
2020-09-17,0,136804000000.0
2020-09-16,34998000,136952000000.0
2020-09-15,66366000,139589000000.0
2020-09-14,47009500,133472000000.0
2020-09-11,596131000,133928000000.0
2020-09-10,20295000,130969000000.0
2020-09-09,0,134732000000.0
2020-09-08,28392000,136350000000.0
2020-09-07,0,140531000000.0
2020-09-04,32193000,150851000000.0
2020-09-03,6441000,154635000000.0
2020-09-02,0,152736000000.0
2020-09-01,0,142144000000.0
2020-08-31,0,142492000000.0
2020-08-28,20979000,154863000000.0
2020-08-27,184798000,157351000000.0
2020-08-26,52384500,155062000000.0
2020-08-25,325000,154514000000.0
2020-08-24,29760000,148857000000.0
2020-08-21,0,144170000000.0
2020-08-20,916500,139208000000.0
2020-08-19,17325000,140477000000.0
2020-08-18,302920000,135362000000.0
2020-08-14,429965000,139482000000.0
2020-08-13,154745000,142607000000.0
2020-08-12,32330000,143365000000.0
2020-08-11,77252000,151608000000.0
2020-08-10,19437000,154360000000.0
2020-08-07,0,151801000000.0
2020-08-06,0,156181000000.0
2020-08-05,2504000,159534000000.0
2020-08-04,2191000,158132000000.0
2020-08-03,38149000,159969000000.0
2020-07-31,62548000,151358000000.0
2020-07-30,1764000,147751000000.0
2020-07-29,11680000,146663000000.0
2020-07-28,14622000,144663000000.0
2020-07-27,1422500,142405000000.0
2020-07-24,2248000,142767000000.0
2020-07-23,0,144009000000.0
