일자,공매도 수량(전체),공매도 수량(잔고수량)
2021-03-31,738,318817
2021-03-30,114,259982
2021-03-29,920,278829
2021-03-26,81,262909
2021-03-25,200,267930
2021-03-24,0,266724
2021-03-23,48,271698
2021-03-22,575,282531
2021-03-19,1472,342595
2021-03-18,583,336653
2021-03-17,1642,339020
2021-03-16,222,348656
2021-03-15,787,348377
2021-03-12,41,339008
2021-03-11,146,342980
2021-03-10,14,336162
2021-03-09,4,330992
2021-03-08,46,335343
2021-03-05,736,343983
2021-03-04,368,317827
2021-03-03,30,301605
2021-03-02,385,318030
2021-02-26,616,321243
2021-02-25,41,304339
2021-02-24,0,323224
2021-02-23,0,331781
2021-02-22,9,340527
2021-02-19,39,332603
2021-02-18,0,358734
2021-02-17,0,346766
2021-02-16,0,312210
2021-02-15,82,301595
2021-02-10,0,294419
2021-02-09,43,306074
2021-02-08,325,308183
2021-02-05,299,334219
2021-02-04,18,340365
2021-02-03,32,303064
2021-02-02,343,305179
2021-02-01,29,312484
2021-01-29,32,326925
2021-01-28,71,330948
2021-01-27,86,306369
2021-01-26,118,307593
2021-01-25,38,302865
2021-01-22,202,299806
2021-01-21,63,300884
2021-01-20,23,294785
2021-01-19,153,293209
2021-01-18,88,298367
2021-01-15,59,302685
2021-01-14,208,303584
2021-01-13,0,311552
2021-01-12,54,325888
2021-01-11,41,319380
2021-01-08,314,297943
2021-01-07,15,304015
2021-01-06,362,318010
2021-01-05,252,306913
2021-01-04,16009,310249
2020-12-30,1512,315902
2020-12-29,1886,317421
2020-12-28,348,269027
2020-12-24,68,282164
2020-12-23,53,297624
2020-12-22,19,318047
2020-12-21,31,318266
2020-12-18,50,298326
2020-12-17,190,328238
2020-12-16,1083,338775
2020-12-15,336,349724
2020-12-14,180,310744
2020-12-11,131,268237
2020-12-10,240,271139
2020-12-09,91,286255
2020-12-08,12,292786
2020-12-07,36,326999
2020-12-04,1369,362565
2020-12-03,169,396121
2020-12-02,1117,396355
2020-12-01,44,404631
2020-11-30,0,425948
2020-11-27,6,429737
2020-11-26,208,429576
2020-11-25,153,427252
2020-11-24,193,430653
2020-11-23,260,430297
2020-11-20,198,432607
2020-11-19,213,432207
2020-11-18,764,437344
2020-11-17,1370,435387
2020-11-16,237,438953
2020-11-13,402,439054
2020-11-12,1000,445033
2020-11-11,792,436543
2020-11-10,828,440979
2020-11-09,0,436094
2020-11-06,143,448029
2020-11-05,174,446805
2020-11-04,196,454666
2020-11-03,0,465250
2020-11-02,127,476028
2020-10-30,515,476428
2020-10-29,86,459618
2020-10-28,36,455782
2020-10-27,475,455460
2020-10-26,1103,460562
2020-10-23,557,460512
2020-10-22,63,459210
2020-10-21,31,457040
2020-10-20,24,459260
2020-10-19,150,463092
2020-10-16,0,463010
2020-10-15,0,462934
2020-10-14,96,463180
2020-10-13,303,453974
2020-10-12,159,490124
2020-10-08,64,484215
2020-10-07,33,473497
2020-10-06,654,472002
2020-10-05,225,473038
2020-09-29,0,469649
2020-09-28,310,466199
2020-09-25,19,448943
2020-09-24,234,454479
2020-09-23,358,457809
2020-09-22,182,449807
2020-09-21,255,438995
2020-09-18,0,449395
2020-09-17,0,455256
2020-09-16,114,446099
2020-09-15,213,447401
2020-09-14,156,440501
2020-09-11,1948,437674
2020-09-10,66,425917
2020-09-09,0,442469
2020-09-08,91,438424
2020-09-07,0,446840
2020-09-04,98,459211
2020-09-03,19,456149
2020-09-02,0,459357
2020-09-01,0,438040
2020-08-31,0,441836
2020-08-28,63,465053
2020-08-27,546,466917
2020-08-26,157,464257
2020-08-25,1,475429
2020-08-24,93,465177
2020-08-21,0,461345
2020-08-20,3,455673
2020-08-19,55,445959
2020-08-18,984,440201
2020-08-14,1413,457319
2020-08-13,505,464519
2020-08-12,106,470050
2020-08-11,248,486702
2020-08-10,62,492376
2020-08-07,0,483444
2020-08-06,0,485035
2020-08-05,8,508879
2020-08-04,7,508462
2020-08-03,122,508644
2020-07-31,208,502850
2020-07-30,6,502553
2020-07-29,40,502271
2020-07-28,51,502302
2020-07-27,5,500546
2020-07-24,8,508067
2020-07-23,0,507073
2020-07-22,4000,504987
2020-07-21,18,500409
2020-07-20,39,505605
2020-07-17,163,503681
2020-07-16,485,500035
2020-07-15,1002,499615
2020-07-14,16,452007
2020-07-13,30,522919
2020-07-10,29,519924
2020-07-09,0,515295
2020-07-08,14,635776
2020-07-07,0,632833
2020-07-06,3,639084
2020-07-03,253,635478
2020-07-02,161,639968
2020-07-01,157,654939
2020-06-30,598,678635
2020-06-29,482,702974
2020-06-26,377,711113
2020-06-25,7356,675373
2020-06-24,9,622553
2020-06-23,4,566548
2020-06-22,285,548002
2020-06-19,349,514183
2020-06-18,677,509342
2020-06-17,3146,504876
2020-06-16,764,520210
2020-06-15,8,526717
2020-06-12,4455,390031
2020-06-11,213,384945
2020-06-10,600,363026
2020-06-09,1072,364350
2020-06-08,1624,368206
2020-06-05,1563,374781
2020-06-04,828,444918
2020-06-03,372,516366
2020-06-02,0,542517
2020-06-01,131,544111
2020-05-29,492,551343
2020-05-28,1436,617233
2020-05-27,0,598731
2020-05-26,0,609071
2020-05-25,0,614767
2020-05-22,0,596407
2020-05-21,88,569710
2020-05-20,839,542650
2020-05-19,3353,327194
2020-05-18,21,566532
2020-05-15,106,571703
2020-05-14,61,582146
2020-05-13,108,569446
2020-05-12,358,551993
2020-05-11,77,545025
2020-05-08,39,537559
2020-05-07,294,542701
2020-05-06,423,562458
2020-05-04,119,561426
2020-04-29,13,543635
2020-04-28,388,548346
2020-04-27,25,545382
2020-04-24,66,557606
2020-04-23,197,568430
2020-04-22,0,583026
2020-04-21,489,362602
2020-04-20,141,566622
2020-04-17,234,554813
2020-04-16,282,564186
2020-04-14,963,584059
2020-04-13,1116,544536
2020-04-10,1018,533972
2020-04-09,3090,538060
2020-04-08,489,559334
2020-04-07,1041,537282
2020-04-06,20,537716
2020-04-03,0,567338
2020-04-02,598,569331
2020-04-01,977,578988
2020-03-31,3295,562417
2020-03-30,1466,563031
2020-03-27,4302,567486
2020-03-26,2524,561328
2020-03-25,4783,556653
2020-03-24,3510,547466
2020-03-23,2781,525394
2020-03-20,1349,471061
2020-03-19,52,480729
2020-03-18,0,489946
2020-03-17,2003,479139
2020-03-16,63585,497284
2020-03-13,62227,475086
2020-03-12,120349,491898
2020-03-11,67057,483390
2020-03-10,22437,467677
2020-03-09,53963,459778
2020-03-06,62330,451058
2020-03-05,79146,451258
2020-03-04,27895,420496
2020-03-03,38224,423233
2020-03-02,37813,385582
2020-02-28,28132,357051
2020-02-27,60040,374365
2020-02-26,44492,327731
2020-02-25,42815,323378
2020-02-24,67111,349818
2020-02-21,42254,353822
2020-02-20,35290,345687
2020-02-19,12859,331727
2020-02-18,29008,341593
2020-02-17,9459,331038
2020-02-14,12761,338885
2020-02-13,12571,331532
2020-02-12,9460,308544
2020-02-11,15352,315257
2020-02-10,16614,373643
2020-02-07,27954,365210
2020-02-06,13290,378790
2020-02-05,59386,410315
2020-02-04,50384,375909
2020-02-03,21364,354864
2020-01-31,48345,346887
2020-01-30,57996,347574
2020-01-29,32058,357575
2020-01-28,30157,350857
2020-01-23,21328,362602
2020-01-22,12815,347551
2020-01-21,15974,379718
2020-01-20,20653,383383
2020-01-17,35680,409919
2020-01-16,25446,413181
2020-01-15,38881,410276
2020-01-14,40116,411837
2020-01-13,16951,418185
2020-01-10,13134,422041
2020-01-09,21508,377267
2020-01-08,38669,381330
2020-01-07,5126,348110
2020-01-06,19077,367091
2020-01-03,24069,337915
2020-01-02,22995,324324
2019-12-30,5999,321814
2019-12-27,37949,331068
2019-12-26,5369,319134
2019-12-24,20265,320598
2019-12-23,17659,317881
2019-12-20,14908,265232
2019-12-19,24650,318201
2019-12-18,7748,307388
2019-12-17,2174,314325
2019-12-16,2769,319344
2019-12-13,5905,323619
2019-12-12,7566,328319
2019-12-11,2630,345446
2019-12-10,4038,346585
2019-12-09,1753,407918
2019-12-06,16951,399362
