일자,공매도 수량(전체),공매도 수량(잔고수량),공매도 금액(전체),공매도 금액(잔고금액)
2021-03-31,324,100313,89403500,27586075000
2021-03-30,1000,95499,271540000,25641481500
2021-03-29,370,101382,100344000,27271758000
2021-03-26,1706,99316,455344500,27212584000
2021-03-25,319,100606,80196000,25503621000
2021-03-24,579,102554,144730000,25535946000
2021-03-23,900,104450,228305000,26164725000
2021-03-22,815,108538,206582500,27785728000
2021-03-19,1574,111381,400712000,28346464500
2021-03-18,719,109076,185672000,28032532000
2021-03-17,1088,110022,279880000,28330665000
2021-03-16,305,112436,77991000,28839834000
2021-03-15,333,113033,85211000,29049481000
2021-03-12,112,108921,28560000,27774855000
2021-03-11,118,112016,29795000,28284040000
2021-03-10,3,112808,751500,28258404000
2021-03-09,24,110520,5937000,27408960000
2021-03-08,118,112799,28899000,27579355500
2021-03-05,296,113457,72187000,27683508000
2021-03-04,187,109022,46428500,26873923000
2021-03-03,6,102551,1503000,25894127500
2021-03-02,151,109080,37824000,26997300000
2021-02-26,641,110362,158277500,27314595000
2021-02-25,20,103913,4974000,26186076000
2021-02-24,127,111588,30924500,27171678000
2021-02-23,15,111421,3712000,27520987000
2021-02-22,19,114117,4777000,28301016000
2021-02-19,8,110341,2028000,27971443500
2021-02-18,378,119232,95772000,30165696000
2021-02-17,81,115356,20493000,29185068000
2021-02-16,129,103688,32379000,26025688000
2021-02-15,62,98958,15252000,24343668000
2021-02-10,161,95672,39604000,23535312000
2021-02-09,459,97909,114330500,24232477500
2021-02-08,485,98447,122288500,24808644000
2021-02-05,616,108959,158747000,28165901500
2021-02-04,974,111371,241409500,27508637000
2021-02-03,48,98857,11801000,24219965000
2021-02-02,99,97407,24278500,23864715000
2021-02-01,460,102507,112784500,25165468500
2021-01-29,422,108259,102914500,26415196000
2021-01-28,280,105765,69507500,26229720000
2021-01-27,415,95001,104911500,23845251000
2021-01-26,228,96022,58182500,24389588000
2021-01-25,176,89633,45883000,23573479000
2021-01-22,365,100500,92769500,25527000000
2021-01-21,763,99643,195393000,25508608000
2021-01-20,396,96731,98274500,24037653500
2021-01-19,233,92625,57063000,22693125000
2021-01-18,433,97382,105573500,23761208000
2021-01-15,709,97812,178543500,24599718000
2021-01-14,438,98348,111924500,25127914000
2021-01-13,1574,96941,404555500,24719955000
2021-01-12,945,102244,240118000,25918854000
2021-01-11,511,98142,131634000,25271565000
2021-01-08,1739,81019,471358000,21470035000
2021-01-07,866,79890,231884500,21570300000
2021-01-06,603,87974,150727500,22037487000
2021-01-05,1356,88530,332557000,21778380000
2021-01-04,1723,90161,408436000,21368157000
2020-12-30,1368,91701,325584000,21824838000
2020-12-29,324,94362,76959500,22410975000
2020-12-28,198,67319,48886000,16627793000
2020-12-24,165,80960,40749500,19997120000
2020-12-23,73,87209,17884500,21366205000
2020-12-22,697,91119,170141500,22233036000
2020-12-21,698,89313,173880000,22238937000
2020-12-18,178,81639,43877000,20124013500
2020-12-17,474,94948,116603000,23357208000
2020-12-16,142,99507,35059000,24578229000
2020-12-15,520,100135,127920000,24633210000
2020-12-14,2185,98949,544055500,24638301000
2020-12-11,1670,96540,412147500,23845380000
2020-12-10,2033,105188,483964500,25034744000
2020-12-09,377,111766,90447500,26823840000
2020-12-08,791,114507,189743000,27481680000
2020-12-07,490,114578,117167000,27384142000
2020-12-04,520,116117,124540000,27810021500
2020-12-03,216,121167,51445500,28898329500
2020-12-02,48,121255,11472000,28979945000
2020-12-01,487,122827,115175500,29048585500
2020-11-30,1345,130966,318791000,31104425000
2020-11-27,907,130309,213175000,30622615000
2020-11-26,509,122408,118088000,28398656000
