일자,공매도 금액(전체),공매도 금액(잔고금액)
2021-03-31,89403500,27586075000
2021-03-30,271540000,25641481500
2021-03-29,100344000,27271758000
2021-03-26,455344500,27212584000
2021-03-25,80196000,25503621000
2021-03-24,144730000,25535946000
2021-03-23,228305000,26164725000
2021-03-22,206582500,27785728000
2021-03-19,400712000,28346464500
2021-03-18,185672000,28032532000
2021-03-17,279880000,28330665000
2021-03-16,77991000,28839834000
2021-03-15,85211000,29049481000
2021-03-12,28560000,27774855000
2021-03-11,29795000,28284040000
2021-03-10,751500,28258404000
2021-03-09,5937000,27408960000
2021-03-08,28899000,27579355500
2021-03-05,72187000,27683508000
2021-03-04,46428500,26873923000
2021-03-03,1503000,25894127500
2021-03-02,37824000,26997300000
2021-02-26,158277500,27314595000
2021-02-25,4974000,26186076000
2021-02-24,30924500,27171678000
2021-02-23,3712000,27520987000
2021-02-22,4777000,28301016000
2021-02-19,2028000,27971443500
2021-02-18,95772000,30165696000
2021-02-17,20493000,29185068000
2021-02-16,32379000,26025688000
2021-02-15,15252000,24343668000
2021-02-10,39604000,23535312000
2021-02-09,114330500,24232477500
2021-02-08,122288500,24808644000
2021-02-05,158747000,28165901500
2021-02-04,241409500,27508637000
2021-02-03,11801000,24219965000
2021-02-02,24278500,23864715000
2021-02-01,112784500,25165468500
2021-01-29,102914500,26415196000
2021-01-28,69507500,26229720000
2021-01-27,104911500,23845251000
2021-01-26,58182500,24389588000
2021-01-25,45883000,23573479000
2021-01-22,92769500,25527000000
2021-01-21,195393000,25508608000
2021-01-20,98274500,24037653500
2021-01-19,57063000,22693125000
2021-01-18,105573500,23761208000
2021-01-15,178543500,24599718000
2021-01-14,111924500,25127914000
2021-01-13,404555500,24719955000
2021-01-12,240118000,25918854000
2021-01-11,131634000,25271565000
2021-01-08,471358000,21470035000
2021-01-07,231884500,21570300000
2021-01-06,150727500,22037487000
2021-01-05,332557000,21778380000
2021-01-04,408436000,21368157000
2020-12-30,325584000,21824838000
2020-12-29,76959500,22410975000
2020-12-28,48886000,16627793000
2020-12-24,40749500,19997120000
2020-12-23,17884500,21366205000
2020-12-22,170141500,22233036000
2020-12-21,173880000,22238937000
2020-12-18,43877000,20124013500
2020-12-17,116603000,23357208000
2020-12-16,35059000,24578229000
2020-12-15,127920000,24633210000
2020-12-14,544055500,24638301000
2020-12-11,412147500,23845380000
2020-12-10,483964500,25034744000
2020-12-09,90447500,26823840000
2020-12-08,189743000,27481680000
2020-12-07,117167000,27384142000
2020-12-04,124540000,27810021500
2020-12-03,51445500,28898329500
2020-12-02,11472000,28979945000
2020-12-01,115175500,29048585500
2020-11-30,318791000,31104425000
2020-11-27,213175000,30622615000
2020-11-26,118088000,28398656000
2020-11-25,40075000,27772204000
2020-11-24,9512000,28069448000
2020-11-23,21030000,28353864000
2020-11-20,111051000,28740187000
2020-11-19,63089500,29751921000
2020-11-18,21483000,31526418000
2020-11-17,26040000,32774130000
2020-11-16,0,32948176000
2020-11-13,7803000,33044328000
2020-11-12,100970000,34919980000
2020-11-11,83331500,36873546000
2020-11-10,3859000,36699090000
2020-11-09,15890000,36101197000
2020-11-06,46081500,38315557000
2020-11-05,72475000,38079926000
2020-11-04,3496000,37937718000
2020-11-03,116946000,38692044000
2020-11-02,136410000,38814380000
2020-10-30,389448500,38729720000
2020-10-29,124163000,39010035000
2020-10-28,457000,40250398500
2020-10-27,111606000,40778407500
2020-10-26,1656500,42368508000
2020-10-23,0,44158513500
2020-10-22,41737500,43992279000
2020-10-21,32591500,43646582000
2020-10-20,0,41856353000
2020-10-19,120728000,41130412500
2020-10-16,37760000,42580510000
2020-10-15,456633000,42584027500
2020-10-14,112423000,40660200000
2020-10-13,3637500,43623567500
2020-10-12,5987500,45907360000
2020-10-08,127172500,46112160000
2020-10-07,64032000,47525441000
2020-10-06,177294500,47970327000
2020-10-05,183541500,47776527500
2020-09-29,96990000,47659024000
2020-09-28,85561000,46648464000
2020-09-25,139191500,45544191000
2020-09-24,136486500,45647989500
2020-09-23,227958000,47076718000
2020-09-22,118750000,47463425000
2020-09-21,180997500,46755364500
2020-09-18,85607000,48307364000
2020-09-17,210154000,48855144000
2020-09-16,197530000,48987585000
2020-09-15,187156500,48489306000
2020-09-14,329153500,48768456000
2020-09-11,26696000,46893654000
2020-09-10,14399000,46576080000
2020-09-09,0,47426736000
2020-09-08,90136000,48210645000
2020-09-07,3390000,48292381000
2020-09-04,0,46776100000
2020-09-03,195258500,47071638000
2020-09-02,259775000,47688595000
2020-09-01,610805000,48788410000
2020-08-31,3840457500,49549904000
2020-08-28,965310000,46702832500
2020-08-27,114772500,47453431500
2020-08-26,70331500,48077046500
2020-08-25,121275000,48975547500
2020-08-24,6227000,47543562000
2020-08-21,0,46005631500
2020-08-20,1365000,44182547500
2020-08-19,0,43909173000
2020-08-18,125655000,43649919000
2020-08-14,83661000,46766025000
2020-08-13,218377000,48453724000
2020-08-12,0,48584245500
2020-08-11,13452000,49332024000
2020-08-10,18515000,50104474000
2020-08-07,9160000,47497348000
2020-08-06,4630500,45402714000
2020-08-05,2475000,47079346000
2020-08-04,84209000,46768249000
2020-08-03,63081500,45514989000
2020-07-31,217552000,48414744000
2020-07-30,220060000,47361600000
2020-07-29,241964000,44879800500
2020-07-28,218969000,44422548000
2020-07-27,250238500,42968931000
2020-07-24,624000,43634448000
2020-07-23,8248500,44273083500
2020-07-22,3003000,44863318500
2020-07-21,8029000,45686862000
2020-07-20,169288000,46260854000
2020-07-17,198978500,46092102000
2020-07-16,50055000,46208588000
2020-07-15,111443500,46675108000
2020-07-14,0,46795560000
2020-07-13,39295500,46363101000
2020-07-10,22902000,45933890000
2020-07-09,35360000,46152780000
2020-07-08,19810500,45862276000
2020-07-07,0,45415504000
2020-07-06,76839000,46777500000
2020-07-03,80734000,45961370000
2020-07-02,74889000,46687050000
2020-07-01,53540500,48039468000
2020-06-30,17891500,46764352000
2020-06-29,2691000,46475640000
2020-06-26,3544500,47269035000
2020-06-25,41211000,44331952000
2020-06-24,11097000,42689748000
2020-06-23,148676000,42118458000
2020-06-22,216144000,40507453000
2020-06-19,18775500,40003140000
2020-06-18,206000,39797130000
2020-06-17,347539000,39666996000
2020-06-16,553919500,41335602000
2020-06-15,7203000,39751167000
2020-06-12,203897000,39871246500
2020-06-11,109220000,40605975000
2020-06-10,1314000,40742541000
2020-06-09,2210000,41387333000
2020-06-08,0,42002882500
