일자,공매도 수량(전체),공매도 수량(잔고수량),공매도 금액(전체),공매도 금액(잔고금액)
2021-03-31,820,41940,102522000,5221530000.0
2021-03-30,63,32534,7938000,4099284000.0
2021-03-29,1027,36398,125503000,4458755000.0
2021-03-26,397,32374,48926000,3982002000.0
2021-03-25,232,42749,28652000,5279501500.0
2021-03-24,0,46505,0,5510842500.0
2021-03-23,455,50205,54600000,6024600000.0
2021-03-22,363,58793,43776500,7055160000.0
2021-03-19,1997,64337,242131500,7816945500.0
2021-03-18,328,59623,40010000,7244194500.0
2021-03-17,1034,60301,126148000,7356722000.0
2021-03-16,542,44629,67042500,5533996000.0
2021-03-15,934,45302,114415000,5549495000.0
2021-03-12,1025,36892,126577500,4556162000.0
2021-03-11,790,42939,94809500,5152680000.0
2021-03-10,204,41931,24072000,4947858000.0
2021-03-09,9,48369,1075500,5780095500.0
2021-03-08,0,72499,0,8663630500.0
2021-03-05,1219,55351,146136000,6642120000.0
2021-03-04,568,49028,69224000,5981416000.0
2021-03-03,36,36004,4457000,4464496000.0
2021-03-02,711,50571,87249000,6194947500.0
2021-02-26,1474,75358,178875000,9155997000.0
2021-02-25,611,59679,76680500,7489714500.0
2021-02-24,275,77085,33550000,9404370000.0
2021-02-23,465,80758,57892500,10054371000.0
2021-02-22,670,85970,83080000,10660280000.0
2021-02-19,361,57932,45486000,7299432000.0
2021-02-18,562,96484,71453000,12253468000.0
2021-02-17,239,90147,31309000,11809257000.0
2021-02-16,160,68282,21280000,9081506000.0
2021-02-15,86,59048,11352000,7794336000.0
2021-02-10,891,49669,116615500,6506639000.0
2021-02-09,1036,57031,135716000,7471061000.0
2021-02-08,739,57535,97794000,7594620000.0
2021-02-05,864,78192,116149500,10516824000.0
2021-02-04,1122,79038,149621000,10551573000.0
2021-02-03,0,62943,0,8591719500.0
2021-02-02,76,63587,10036000,8393484000.0
2021-02-01,808,46432,105360000,6059376000.0
2021-01-29,596,50968,77474000,6625840000.0
2021-01-28,740,77622,99148000,10401348000.0
2021-01-27,240,64200,34213000,9116400000.0
2021-01-26,1175,66099,166460500,9353008500.0
