일자,공매도 금액(전체),공매도 금액(잔고금액)
2021-03-31,102522000,5221530000.0
2021-03-30,7938000,4099284000.0
2021-03-29,125503000,4458755000.0
2021-03-26,48926000,3982002000.0
2021-03-25,28652000,5279501500.0
2021-03-24,0,5510842500.0
2021-03-23,54600000,6024600000.0
2021-03-22,43776500,7055160000.0
2021-03-19,242131500,7816945500.0
2021-03-18,40010000,7244194500.0
2021-03-17,126148000,7356722000.0
2021-03-16,67042500,5533996000.0
2021-03-15,114415000,5549495000.0
2021-03-12,126577500,4556162000.0
2021-03-11,94809500,5152680000.0
2021-03-10,24072000,4947858000.0
2021-03-09,1075500,5780095500.0
2021-03-08,0,8663630500.0
2021-03-05,146136000,6642120000.0
2021-03-04,69224000,5981416000.0
2021-03-03,4457000,4464496000.0
2021-03-02,87249000,6194947500.0
2021-02-26,178875000,9155997000.0
2021-02-25,76680500,7489714500.0
2021-02-24,33550000,9404370000.0
2021-02-23,57892500,10054371000.0
2021-02-22,83080000,10660280000.0
2021-02-19,45486000,7299432000.0
2021-02-18,71453000,12253468000.0
2021-02-17,31309000,11809257000.0
2021-02-16,21280000,9081506000.0
2021-02-15,11352000,7794336000.0
2021-02-10,116615500,6506639000.0
2021-02-09,135716000,7471061000.0
2021-02-08,97794000,7594620000.0
2021-02-05,116149500,10516824000.0
2021-02-04,149621000,10551573000.0
2021-02-03,0,8591719500.0
2021-02-02,10036000,8393484000.0
2021-02-01,105360000,6059376000.0
2021-01-29,77474000,6625840000.0
2021-01-28,99148000,10401348000.0
2021-01-27,34213000,9116400000.0
2021-01-26,166460500,9353008500.0
2021-01-25,163004000,8737370000.0
2021-01-22,123704000,9378018000.0
2021-01-21,95716000,9409716000.0
2021-01-20,568000,8593840000.0
2021-01-19,1273000,8082576000.0
2021-01-18,0,8391240000.0
2021-01-15,65316500,6533420500.0
2021-01-14,12516000,6518307500.0
2021-01-13,409678000,5058900000.0
2021-01-12,188159500,5437044000.0
2021-01-11,41540000,2376395000.0
2021-01-08,610000,2384290000.0
2021-01-07,1012500,2289550000.0
2021-01-06,17273500,5324296500.0
2021-01-05,103540500,5757458000.0
2021-01-04,0,5996160000.0
2020-12-30,4968000,5768262000.0
2020-12-29,28785500,5740507500.0
2020-12-28,8677000,5791380000.0
2020-12-24,10981000,5710954000.0
2020-12-23,1772000,5525210000.0
2020-12-22,42007500,6362120000.0
2020-12-21,20527500,8136285000.0
2020-12-18,19479000,6451806000.0
2020-12-17,161415000,8712075000.0
2020-12-16,257000,9829350500.0
2020-12-15,22744500,10097530000.0
2020-12-14,38350000,9852570000.0
2020-12-11,9599500,11914031500.0
2020-12-10,306875000,11813750000.0
2020-12-09,0,10235518500.0
2020-12-08,5434000,10754768000.0
2020-12-07,38632000,10530768000.0
2020-12-04,55822000,8208427500.0
2020-12-03,0,8392746000.0
2020-12-02,24400000,8414584000.0
2020-12-01,25515000,8749701000.0
2020-11-30,10965500,24826494500.0
2020-11-27,1102500,25172035000.0
2020-11-26,33075000,30219157500.0
2020-11-25,2840500,30193280000.0
2020-11-24,36897000,30951061000.0
2020-11-23,4165000,30231897500.0
2020-11-20,0,30085440000.0
2020-11-19,2562000,30458400000.0
2020-11-18,12177000,30625647000.0
2020-11-17,5456000,30874636000.0
2020-11-16,2480000,30834708000.0
2020-11-13,120500,29781575000.0
2020-11-12,40126500,30252971000.0
2020-11-11,23985000,30069933000.0
2020-11-10,42727000,28874641500.0
2020-11-09,0,28055860000.0
2020-11-06,1610000,29126050000.0
2020-11-05,0,29328758500.0
2020-11-04,30719500,29335164000.0
2020-11-03,46800000,29500875000.0
2020-11-02,20496000,30317728000.0
2020-10-30,9945000,29911687000.0
2020-10-29,65490000,29091102000.0
2020-10-28,132233500,29557975000.0
2020-10-27,96324500,30218149500.0
2020-10-26,722000,30593034000.0
2020-10-23,60424000,26786552000.0
2020-10-22,25393500,26809370500.0
2020-10-21,54184000,26505336000.0
2020-10-20,86817500,26296272500.0
2020-10-19,41715000,26738594000.0
2020-10-16,43452000,26458596000.0
2020-10-15,14965000,26622940000.0
