일자,공매도 수량(전체),공매도 수량(잔고수량)
2021-03-31,820,41940
2021-03-30,63,32534
2021-03-29,1027,36398
2021-03-26,397,32374
2021-03-25,232,42749
2021-03-24,0,46505
2021-03-23,455,50205
2021-03-22,363,58793
2021-03-19,1997,64337
2021-03-18,328,59623
2021-03-17,1034,60301
2021-03-16,542,44629
2021-03-15,934,45302
2021-03-12,1025,36892
2021-03-11,790,42939
2021-03-10,204,41931
2021-03-09,9,48369
2021-03-08,0,72499
2021-03-05,1219,55351
2021-03-04,568,49028
2021-03-03,36,36004
2021-03-02,711,50571
2021-02-26,1474,75358
2021-02-25,611,59679
2021-02-24,275,77085
2021-02-23,465,80758
2021-02-22,670,85970
2021-02-19,361,57932
2021-02-18,562,96484
2021-02-17,239,90147
2021-02-16,160,68282
2021-02-15,86,59048
2021-02-10,891,49669
2021-02-09,1036,57031
2021-02-08,739,57535
2021-02-05,864,78192
2021-02-04,1122,79038
2021-02-03,0,62943
2021-02-02,76,63587
2021-02-01,808,46432
2021-01-29,596,50968
2021-01-28,740,77622
2021-01-27,240,64200
2021-01-26,1175,66099
2021-01-25,1111,59845
2021-01-22,847,64233
2021-01-21,641,62316
2021-01-20,4,60520
2021-01-19,9,56129
2021-01-18,0,58680
2021-01-15,425,42563
2021-01-14,82,42743
2021-01-13,2778,34650
2021-01-12,1297,37368
2021-01-11,276,15790
2021-01-08,4,15790
2021-01-07,7,15790
2021-01-06,122,38167
2021-01-05,717,39844
2021-01-04,0,41640
2020-12-30,36,41799
2020-12-29,210,42055
2020-12-28,62,41367
2020-12-24,79,41086
2020-12-23,13,40330
2020-12-22,317,48016
2020-12-21,161,63814
2020-12-18,151,50014
2020-12-17,1266,68330
2020-12-16,2,76493
2020-12-15,177,78580
2020-12-14,295,75789
2020-12-11,73,90601
2020-12-10,2455,94510
2020-12-09,0,82213
2020-12-08,44,86732
2020-12-07,314,85616
2020-12-04,452,66465
2020-12-03,0,68793
2020-12-02,200,68972
2020-12-01,210,72014
2020-11-30,91,206029
2020-11-27,9,205486
2020-11-26,270,246687
2020-11-25,23,244480
2020-11-24,294,246622
