일자,공매도 수량(전체),공매도 수량(잔고수량),공매도 금액(전체),공매도 금액(잔고금액)
2021-03-31,150,336232,112316000,251502000000.0
2021-03-30,0,347592,0,259651000000.0
2021-03-29,232,353646,171442000,264527000000.0
2021-03-26,103,375314,74748000,272103000000.0
2021-03-25,86,375648,61775000,269715000000.0
2021-03-24,6,376118,4284000,269300000000.0
2021-03-23,124,376532,88436000,268467000000.0
2021-03-22,115,375611,82054000,268562000000.0
2021-03-19,347,376439,246227000,266519000000.0
2021-03-18,71,375706,51582000,271260000000.0
2021-03-17,157,376108,113387000,270422000000.0
2021-03-16,101,377599,74253000,276780000000.0
2021-03-15,122,377963,89641000,277803000000.0
2021-03-12,251,376525,186638000,279758000000.0
2021-03-11,67,373693,47962000,267190000000.0
2021-03-10,114,372033,78207000,254843000000.0
2021-03-09,13,371795,8955000,255423000000.0
2021-03-08,0,372040,0,258940000000.0
2021-03-05,121,370964,86957000,266723000000.0
2021-03-04,66,364806,49410000,272875000000.0
2021-03-03,111,362441,84043000,275818000000.0
2021-03-02,103,362753,77971000,273153000000.0
2021-02-26,176,365072,132064000,273804000000.0
2021-02-25,152,362384,117800000,280848000000.0
2021-02-24,10,363109,7533000,271242000000.0
2021-02-23,11,362010,8362000,275128000000.0
2021-02-22,7,361722,5460000,282143000000.0
2021-02-19,78,359743,61756000,285276000000.0
2021-02-18,15,360890,11779000,282577000000.0
2021-02-17,20,357959,15720000,281356000000.0
2021-02-16,80,349155,63736000,277927000000.0
2021-02-15,153,347409,122400000,277927000000.0
2021-02-10,0,346905,0,277177000000.0
2021-02-09,14,350257,11270000,280906000000.0
2021-02-08,28,350603,22904000,281885000000.0
2021-02-05,199,352078,161652000,285887000000.0
2021-02-04,75,353217,60842000,287165000000.0
2021-02-03,4,353431,3300000,291581000000.0
2021-02-02,340,356966,280305000,294854000000.0
2021-02-01,29,360437,23574000,293035000000.0
2021-01-29,5,375473,4030000,297750000000.0
2021-01-28,2,370251,1662000,310270000000.0
