일자,공매도 금액(전체),공매도 금액(잔고금액)
2021-03-31,112316000,251502000000.0
2021-03-30,0,259651000000.0
2021-03-29,171442000,264527000000.0
2021-03-26,74748000,272103000000.0
2021-03-25,61775000,269715000000.0
2021-03-24,4284000,269300000000.0
2021-03-23,88436000,268467000000.0
2021-03-22,82054000,268562000000.0
2021-03-19,246227000,266519000000.0
2021-03-18,51582000,271260000000.0
2021-03-17,113387000,270422000000.0
2021-03-16,74253000,276780000000.0
2021-03-15,89641000,277803000000.0
2021-03-12,186638000,279758000000.0
2021-03-11,47962000,267190000000.0
2021-03-10,78207000,254843000000.0
2021-03-09,8955000,255423000000.0
2021-03-08,0,258940000000.0
2021-03-05,86957000,266723000000.0
2021-03-04,49410000,272875000000.0
2021-03-03,84043000,275818000000.0
2021-03-02,77971000,273153000000.0
2021-02-26,132064000,273804000000.0
2021-02-25,117800000,280848000000.0
2021-02-24,7533000,271242000000.0
2021-02-23,8362000,275128000000.0
2021-02-22,5460000,282143000000.0
2021-02-19,61756000,285276000000.0
2021-02-18,11779000,282577000000.0
2021-02-17,15720000,281356000000.0
2021-02-16,63736000,277927000000.0
2021-02-15,122400000,277927000000.0
2021-02-10,0,277177000000.0
2021-02-09,11270000,280906000000.0
2021-02-08,22904000,281885000000.0
2021-02-05,161652000,285887000000.0
2021-02-04,60842000,287165000000.0
2021-02-03,3300000,291581000000.0
2021-02-02,280305000,294854000000.0
2021-02-01,23574000,293035000000.0
2021-01-29,4030000,297750000000.0
2021-01-28,1662000,310270000000.0
2021-01-27,21385000,326285000000.0
2021-01-26,457184000,322681000000.0
2021-01-25,44430000,318759000000.0
2021-01-22,130989000,321514000000.0
2021-01-21,0,322775000000.0
2021-01-20,6384000,324469000000.0
2021-01-19,0,323638000000.0
2021-01-18,18936000,320841000000.0
2021-01-15,380538000,327407000000.0
2021-01-14,2457000,330981000000.0
2021-01-13,15704000,338172000000.0
2021-01-12,91616000,333295000000.0
2021-01-11,33012000,338615000000.0
2021-01-08,22609000,329715000000.0
2021-01-07,21295000,326733000000.0
2021-01-06,32005000,327928000000.0
2021-01-05,461736000,332688000000.0
2021-01-04,694364000,331352000000.0
2020-12-30,97486000,330999000000.0
2020-12-29,60828000,329908000000.0
2020-12-28,15232000,313016000000.0
2020-12-24,11214000,318497000000.0
2020-12-23,44940000,321193000000.0
2020-12-22,12258000,324471000000.0
2020-12-21,823000,332658000000.0
2020-12-18,161002000,332242000000.0
2020-12-17,48984000,334790000000.0
2020-12-16,51672000,336807000000.0
2020-12-15,54442000,335704000000.0
2020-12-14,107191000,339605000000.0
2020-12-11,195848000,345020000000.0
2020-12-10,36036000,345158000000.0
2020-12-09,27476000,346061000000.0
2020-12-08,2496000,348594000000.0
2020-12-07,45471000,370868000000.0
2020-12-04,128069000,395761000000.0
2020-12-03,8665000,439738000000.0
2020-12-02,84514000,433882000000.0
2020-12-01,19032000,435056000000.0
2020-11-30,335700000,447868000000.0
2020-11-27,20070000,461097000000.0
2020-11-26,58649000,466903000000.0
2020-11-25,107581000,468228000000.0
2020-11-24,0,473556000000.0
2020-11-23,4025000,483346000000.0
2020-11-20,235308000,483767000000.0
2020-11-19,183519000,490167000000.0
2020-11-18,13818000,494374000000.0
2020-11-17,0,472787000000.0
2020-11-16,3790000,461736000000.0
2020-11-13,24234000,459282000000.0
2020-11-12,753000,457632000000.0
2020-11-11,72295000,461865000000.0
2020-11-10,63499000,457272000000.0
2020-11-09,0,462807000000.0
2020-11-06,122761000,473289000000.0
2020-11-05,177162000,474912000000.0
2020-11-04,235155000,446169000000.0
2020-11-03,119529000,427511000000.0
2020-11-02,18023000,427575000000.0
2020-10-30,50600000,417337000000.0
2020-10-29,165687000,427754000000.0
2020-10-28,122987000,393771000000.0
2020-10-27,158685000,392981000000.0
2020-10-26,83235000,398755000000.0
2020-10-23,59775000,403008000000.0
2020-10-22,7238000,417167000000.0
2020-10-21,12384000,436199000000.0
2020-10-20,102300000,432434000000.0
2020-10-19,20592000,435136000000.0
2020-10-16,46716000,435905000000.0
2020-10-15,0,446701000000.0
2020-10-14,28987000,448710000000.0
2020-10-13,0,457462000000.0
2020-10-12,0,463246000000.0
2020-10-08,34320000,459208000000.0
2020-10-07,57680000,458950000000.0
2020-10-06,96818000,449933000000.0
2020-10-05,2055000,430517000000.0
2020-09-29,125576000,432163000000.0
2020-09-28,19963000,429316000000.0
2020-09-25,11591000,424225000000.0
2020-09-24,33830000,421359000000.0
2020-09-23,2823000,444443000000.0
2020-09-22,15428000,460677000000.0
2020-09-21,100014000,463677000000.0
2020-09-18,39248000,476793000000.0
2020-09-17,6813000,478959000000.0
2020-09-16,183509000,487846000000.0
2020-09-15,61056000,483956000000.0
2020-09-14,236484000,477437000000.0
2020-09-11,445613000,472509000000.0
2020-09-10,9932000,474551000000.0
2020-09-09,66046000,471416000000.0
2020-09-08,92040000,479204000000.0
2020-09-07,0,483373000000.0
2020-09-04,102003000,488135000000.0
2020-09-03,263173000,491235000000.0
2020-09-02,113267000,491527000000.0
2020-09-01,101993000,476488000000.0
2020-08-31,168048000,472166000000.0
2020-08-28,109463000,486131000000.0
2020-08-27,61677000,487625000000.0
2020-08-26,5685000,494722000000.0
2020-08-25,176855000,495206000000.0
2020-08-24,28700000,499772000000.0
2020-08-21,5593000,487004000000.0
2020-08-20,62750000,490784000000.0
2020-08-19,32360000,500045000000.0
2020-08-18,103048000,495279000000.0
2020-08-14,134036000,495433000000.0
2020-08-13,152046000,512156000000.0
2020-08-12,315741000,532655000000.0
2020-08-11,416826000,555531000000.0
2020-08-10,122687000,540112000000.0
2020-08-07,74496000,537856000000.0
2020-08-06,154035000,543780000000.0
2020-08-05,247325000,552320000000.0
2020-08-04,96464000,523556000000.0
