일자,공매도 수량(전체),공매도 수량(잔고수량)
2021-03-31,150,336232
2021-03-30,0,347592
2021-03-29,232,353646
2021-03-26,103,375314
2021-03-25,86,375648
2021-03-24,6,376118
2021-03-23,124,376532
2021-03-22,115,375611
2021-03-19,347,376439
2021-03-18,71,375706
2021-03-17,157,376108
2021-03-16,101,377599
2021-03-15,122,377963
2021-03-12,251,376525
2021-03-11,67,373693
2021-03-10,114,372033
2021-03-09,13,371795
2021-03-08,0,372040
2021-03-05,121,370964
2021-03-04,66,364806
2021-03-03,111,362441
2021-03-02,103,362753
2021-02-26,176,365072
2021-02-25,152,362384
2021-02-24,10,363109
2021-02-23,11,362010
2021-02-22,7,361722
2021-02-19,78,359743
2021-02-18,15,360890
2021-02-17,20,357959
2021-02-16,80,349155
2021-02-15,153,347409
2021-02-10,0,346905
2021-02-09,14,350257
2021-02-08,28,350603
2021-02-05,199,352078
2021-02-04,75,353217
2021-02-03,4,353431
2021-02-02,340,356966
2021-02-01,29,360437
2021-01-29,5,375473
2021-01-28,2,370251
2021-01-27,26,384317
2021-01-26,567,402346
2021-01-25,56,403492
2021-01-22,165,404930
2021-01-21,0,405496
2021-01-20,8,408137
2021-01-19,0,406580
2021-01-18,24,407158
2021-01-15,473,407223
2021-01-14,3,405614
2021-01-13,19,407436
2021-01-12,112,407451
2021-01-11,39,400254
2021-01-08,27,393925
2021-01-07,26,398942
2021-01-06,39,401381
2021-01-05,555,399865
2021-01-04,839,399701
2020-12-30,118,400725
2020-12-29,74,401348
2020-12-28,19,396725
2020-12-24,14,401130
2020-12-23,56,403509
2020-12-22,15,404074
2020-12-21,1,404202
2020-12-18,201,414267
2020-12-17,61,416405
2020-12-16,64,417357
2020-12-15,68,419630
2020-12-14,132,418233
2020-12-11,239,420756
2020-12-10,44,421438
2020-12-09,33,420999
2020-12-08,3,421007
2020-12-07,54,421441
2020-12-04,156,479710
2020-12-03,11,546259
2020-12-02,107,549218
2020-12-01,24,548621
2020-11-30,425,569807
2020-11-27,25,577092
2020-11-26,73,584359
2020-11-25,134,583099
2020-11-24,0,590469
2020-11-23,5,601177
2020-11-20,294,605465
2020-11-19,227,606642
2020-11-18,17,608835
2020-11-17,0,610836
2020-11-16,5,609151
2020-11-13,32,606714
2020-11-12,1,607745
2020-11-11,95,606919
2020-11-10,84,608075
2020-11-09,0,608157
2020-11-06,158,609123
2020-11-05,227,608082
2020-11-04,321,608689
2020-11-03,171,611604
2020-11-02,26,612572
2020-10-30,74,611931
2020-10-29,238,613708
2020-10-28,193,618165
2020-10-27,249,618867
2020-10-26,130,632944
2020-10-23,94,633660
2020-10-22,11,633992
2020-10-21,18,634010
2020-10-20,150,634067
2020-10-19,30,634309
2020-10-16,68,634505
2020-10-15,0,634518
2020-10-14,41,634668
2020-10-13,0,632727
2020-10-12,0,644292
2020-10-08,48,642249
2020-10-07,80,636547
2020-10-06,136,631929
2020-10-05,3,628492
2020-09-29,182,626323
2020-09-28,29,626739
2020-09-25,17,628481
2020-09-24,49,626090
2020-09-23,4,630415
2020-09-22,21,630201
2020-09-21,135,626590
2020-09-18,52,629015
2020-09-17,9,632707
2020-09-16,237,628667
2020-09-15,79,626075
2020-09-14,310,625736
2020-09-11,586,620905
2020-09-10,13,621140
2020-09-09,87,621102
2020-09-08,119,619127
2020-09-07,0,622903
2020-09-04,132,631481
2020-09-03,338,630597
2020-09-02,147,638347
2020-09-01,130,610100
2020-08-31,216,606897
2020-08-28,137,608424
2020-08-27,77,608770
2020-08-26,7,609263
2020-08-25,217,607615
2020-08-24,35,609478
2020-08-21,7,609517
2020-08-20,78,618116
2020-08-19,40,618103
2020-08-18,128,617555
2020-08-14,167,619291
2020-08-13,184,624580
