일자,공매도 수량(전체),공매도 수량(잔고수량),공매도 금액(전체),공매도 금액(잔고금액)
2021-03-31,32664,2717328,2675328800.0,221190000000.0
2021-03-30,981,2032987,80601700.0,167112000000.0
2021-03-29,34606,2114185,2807369900.0,172517000000.0
2021-03-26,2311,2122029,188346500.0,172945000000.0
2021-03-25,3066,2201609,248959200.0,178771000000.0
2021-03-24,199,2305713,16119000.0,186763000000.0
2021-03-23,1019,2480419,83354200.0,202898000000.0
2021-03-22,18303,2990809,1501532800.0,245246000000.0
2021-03-19,69379,3515758,5688978100.0,287941000000.0
2021-03-18,15993,3276817,1327877900.0,271648000000.0
2021-03-17,50998,3380921,4196481200.0,278250000000.0
2021-03-16,22,3556992,1812600.0,294519000000.0
2021-03-15,30365,3589047,2494056900.0,293584000000.0
2021-03-12,883,3188876,73112400.0,264039000000.0
2021-03-11,3965,3182715,325130000.0,260983000000.0
2021-03-10,81,3422955,6666300.0,276917000000.0
2021-03-09,15,3270803,1222500.0,266243000000.0
2021-03-08,0,3403259,0.0,279067000000.0
2021-03-05,27352,3403259,2238761200.0,279408000000.0
2021-03-04,13676,3210285,1128270000.0,264527000000.0
2021-03-03,531,3114189,44565200.0,261592000000.0
2021-03-02,13980,3260446,1175930800.0,272573000000.0
2021-02-26,20902,3373956,1721680000.0,278351000000.0
2021-02-25,0,3120546,0.0,266183000000.0
2021-02-24,0,3340874,0.0,273952000000.0
2021-02-23,0,3463593,0.0,284015000000.0
2021-02-22,626,3616748,51458400.0,297297000000.0
2021-02-19,42,3496143,3469200.0,288781000000.0
2021-02-18,208,4302543,17225300.0,353239000000.0
2021-02-17,409,4039332,34028800.0,336072000000.0
2021-02-16,0,2876534,0.0,244218000000.0
2021-02-15,108,2564276,9093600.0,215912000000.0
2021-02-10,3,2522895,244800.0,205868000000.0
2021-02-09,260,2866951,21502100.0,237097000000.0
2021-02-08,4775,2893826,396325000.0,240188000000.0
2021-02-05,5063,3937858,422760500.0,328811000000.0
2021-02-04,3924,3999507,322657200.0,329959000000.0
2021-02-03,421,3233521,35616600.0,273556000000.0
2021-02-02,1185,3257599,100733100.0,274941000000.0
2021-02-01,298,3496827,24711800.0,290237000000.0
2021-01-29,856,3713043,71606700.0,304470000000.0
2021-01-28,8,3746126,669600.0,313551000000.0
2021-01-27,659,3331566,57373800.0,285182000000.0
2021-01-26,1618,3371579,140280600.0,292316000000.0
2021-01-25,89,3240465,7956600.0,289698000000.0
2021-01-22,0,3410659,0.0,296045000000.0
2021-01-21,233,3341902,20527300.0,294422000000.0
