일자,공매도 수량(전체),공매도 수량(잔고수량)
2021-03-31,32664,2717328
2021-03-30,981,2032987
2021-03-29,34606,2114185
2021-03-26,2311,2122029
2021-03-25,3066,2201609
2021-03-24,199,2305713
2021-03-23,1019,2480419
2021-03-22,18303,2990809
2021-03-19,69379,3515758
2021-03-18,15993,3276817
2021-03-17,50998,3380921
2021-03-16,22,3556992
2021-03-15,30365,3589047
2021-03-12,883,3188876
2021-03-11,3965,3182715
2021-03-10,81,3422955
2021-03-09,15,3270803
2021-03-08,0,3403259
2021-03-05,27352,3403259
2021-03-04,13676,3210285
2021-03-03,531,3114189
2021-03-02,13980,3260446
2021-02-26,20902,3373956
2021-02-25,0,3120546
2021-02-24,0,3340874
2021-02-23,0,3463593
2021-02-22,626,3616748
2021-02-19,42,3496143
2021-02-18,208,4302543
2021-02-17,409,4039332
2021-02-16,0,2876534
2021-02-15,108,2564276
2021-02-10,3,2522895
2021-02-09,260,2866951
2021-02-08,4775,2893826
2021-02-05,5063,3937858
2021-02-04,3924,3999507
2021-02-03,421,3233521
2021-02-02,1185,3257599
2021-02-01,298,3496827
2021-01-29,856,3713043
2021-01-28,8,3746126
2021-01-27,659,3331566
2021-01-26,1618,3371579
2021-01-25,89,3240465
2021-01-22,0,3410659
2021-01-21,233,3341902
2021-01-20,1033,3275279
2021-01-19,2738,2989086
2021-01-18,206,3189808
2021-01-15,0,3365984
2021-01-14,1432,3374585
2021-01-13,228,3268098
2021-01-12,5144,3659530
2021-01-11,204,3152160
2021-01-08,6,2319328
2021-01-07,763,2447030
2021-01-06,967,3002548
2021-01-05,169,2676924
2021-01-04,9279,2722585
2020-12-30,2978,2758459
2020-12-29,15834,2705903
2020-12-28,6924,1928270
2020-12-24,1583,1929880
2020-12-23,1056,2981498
2020-12-22,806,3101618
2020-12-21,1000,3085602
2020-12-18,4473,2370890
2020-12-17,13,3402050
2020-12-16,608,3786357
2020-12-15,689,3826391
2020-12-14,16925,3380910
2020-12-11,3000,2918834
2020-12-10,26061,3022728
2020-12-09,0,3101313
2020-12-08,1249,3190204
2020-12-07,4826,3536030
2020-12-04,2046,4070992
2020-12-03,660,4326844
2020-12-02,120,4334915
2020-12-01,2323,4479705
2020-11-30,96,5864090
2020-11-27,330,6011276
2020-11-26,1437,6231923
2020-11-25,0,6104838
2020-11-24,1207,6284975
2020-11-23,6,6292456
2020-11-20,450,6395482
2020-11-19,2536,6404382
2020-11-18,2315,6421021
2020-11-17,286,6420641
2020-11-16,2000,6405792
2020-11-13,7158,6412660
2020-11-12,5740,6700870
2020-11-11,542,6386011
2020-11-10,1902,6544681
2020-11-09,1432,6358318
2020-11-06,515,6801875
2020-11-05,2075,6727146
2020-11-04,12233,6993819
2020-11-03,70000,7264026
2020-11-02,6455,7839960
2020-10-30,15772,7812293
2020-10-29,6213,7213505
2020-10-28,7121,7191711
2020-10-27,959,7194398
2020-10-26,568,7375828
2020-10-23,8953,7374978
2020-10-22,4745,7326892
2020-10-21,10339,7247182
2020-10-20,1170,7328636
2020-10-19,0,7474807
2020-10-16,15055,7475005
2020-10-15,8962,7483921
2020-10-14,6753,7492900
2020-10-13,49,7226786
2020-10-12,9982,8510484
2020-10-08,5852,8102854
2020-10-07,5567,7820306
2020-10-06,3813,7495925
2020-10-05,8876,7404600
2020-09-29,1048,7283385
2020-09-28,4700,7283885
2020-09-25,1416,7525746
2020-09-24,814,7692807
2020-09-23,6336,7774450
2020-09-22,15349,7475520
2020-09-21,6941,6984700
2020-09-18,6207,7517402
2020-09-17,316,7658700
2020-09-16,5572,7603685
2020-09-15,8649,7575456
2020-09-14,3899,7163150
2020-09-11,16881,7007325
2020-09-10,14189,6545576
2020-09-09,1089,7137535
2020-09-08,1636,7181894
2020-09-07,262,7582993
2020-09-04,3094,8047769
2020-09-03,0,7943585
2020-09-02,478,8083669
2020-09-01,2693,8245942
2020-08-31,10319,8353852
2020-08-28,794,9090899
2020-08-27,9450,9177265
2020-08-26,226,9187982
2020-08-25,0,9528161
2020-08-24,382,9145350
2020-08-21,512,9012542
2020-08-20,59,8799504
2020-08-19,44,8416580
2020-08-18,46,8205642
2020-08-14,3525,8870681
2020-08-13,834,9141998
2020-08-12,5595,9289429
2020-08-11,992,9918419
2020-08-10,760,10151136
2020-08-07,1874,9834762
2020-08-06,20328,9696844
2020-08-05,678,9814758
2020-08-04,1528,9806502
2020-08-03,1145,9846570
2020-07-31,0,9757641
2020-07-30,0,9773023
2020-07-29,4228,9796286
2020-07-28,408,9798741
2020-07-27,134,9602463
2020-07-24,629,9963989
2020-07-23,5881,9914037
2020-07-22,6277,9920443
2020-07-21,252,9821676
2020-07-20,284,9974281
2020-07-17,16648,9869649
2020-07-16,508,9852196
2020-07-15,0,9439059
2020-07-14,12001,9145785
2020-07-13,11022,9678065
2020-07-10,3771,9537146
2020-07-09,189,9329291
2020-07-08,940,10153054
2020-07-07,104,10033329
2020-07-06,156,10078825
2020-07-03,0,10087012
2020-07-02,5036,10172850
2020-07-01,2020,10813068
2020-06-30,1451,11694711
2020-06-29,4264,11903327
2020-06-26,8261,12172860
2020-06-25,6179,11426833
2020-06-24,7920,10292103
2020-06-23,2287,9509616
2020-06-22,551,9181275
2020-06-19,2577,9239377
2020-06-18,1340,8914120
2020-06-17,5948,8719563
2020-06-16,446,9213501
2020-06-15,4045,9530131
2020-06-12,17185,7525812
2020-06-11,2508,7287113
2020-06-10,334,6330648
2020-06-09,1228,6378102
2020-06-08,0,7550752
2020-06-05,793,7983931
2020-06-04,1096,8368252
2020-06-03,4380,9087216
2020-06-02,9464,9977788
2020-06-01,1575,10126924
2020-05-29,6772,10301190
2020-05-28,0,10102885
2020-05-27,5032,10006359
2020-05-26,5191,9969751
2020-05-25,7274,10132824
2020-05-22,6626,10075679
2020-05-21,148,9844791
2020-05-20,1862,9625910
2020-05-19,6840,6599819
2020-05-18,22328,9861792
2020-05-15,14198,9995779
2020-05-14,93671,10130530
2020-05-13,39641,9679157
2020-05-12,74820,9621515
2020-05-11,27677,9257668
2020-05-08,34068,8957304
2020-05-07,29076,9150415
2020-05-06,75134,9998332
2020-05-04,115390,9778830
2020-04-29,35291,9031380
2020-04-28,44411,9233685
2020-04-27,24172,9196062
2020-04-24,62527,9924489
2020-04-23,57179,10861230
2020-04-22,39206,11312053
2020-04-21,128034,7980412
2020-04-20,86871,10121461
2020-04-17,12749,9706563
2020-04-16,84673,10115171
2020-04-14,47002,11595847
2020-04-13,103023,12011824
2020-04-10,97423,11638155
2020-04-09,115433,11990143
2020-04-08,127459,10517941
2020-04-07,22471,9166888
2020-04-06,19777,9327374
2020-04-03,61365,10759358
2020-04-02,77774,11613662
2020-04-01,134617,11913353
2020-03-31,78730,11885644
2020-03-30,66021,11795046
2020-03-27,12335,11791222
2020-03-26,187400,10512376
2020-03-25,112492,9901904
2020-03-24,32808,9853393
2020-03-23,139983,10562312
2020-03-20,58170,10055040
2020-03-19,42644,10113424
2020-03-18,169440,10511344
2020-03-17,72483,10583011
2020-03-16,3075165,12201611
2020-03-13,3790257,10333836
2020-03-12,1959497,9629815
2020-03-11,3067990,9321255
2020-03-10,754357,9117118
2020-03-09,3159715,9165522
2020-03-06,2089101,8265394
2020-03-05,2357457,7799873
2020-03-04,1415496,7297562
2020-03-03,1858836,7151597
2020-03-02,1825888,6600861
2020-02-28,1249064,5752965
2020-02-27,1480771,6439802
2020-02-26,967444,6478462
2020-02-25,894795,6413069
2020-02-24,613295,6237259
2020-02-21,1034615,6570038
2020-02-20,1106897,6564380
2020-02-19,321592,6239640
2020-02-18,527466,6255108
2020-02-17,364452,6082723
2020-02-14,484665,5887760
2020-02-13,446398,5817393
2020-02-12,335679,5535764
2020-02-11,150037,5987198
2020-02-10,520682,6584816
2020-02-07,1132150,6427310
2020-02-06,782366,6440244
2020-02-05,2537743,6724510
2020-02-04,1765497,5286118
2020-02-03,275145,5263147
2020-01-31,845845,5245802
2020-01-30,947461,5237674
2020-01-29,897259,5045446
2020-01-28,733955,4694166
2020-01-23,844651,4810228
2020-01-22,204718,4740830
2020-01-21,503668,5646605
2020-01-20,603788,5593321
2020-01-17,828438,5918668
2020-01-16,787040,5855948
2020-01-15,446097,5744344
2020-01-14,592804,5704996
2020-01-13,359364,5571703
2020-01-10,804530,5489240
2020-01-09,923731,5387073
2020-01-08,642430,5224233
2020-01-07,142717,5169745
2020-01-06,167348,5630893
2020-01-03,218704,5410429
2020-01-02,39485,4936413
2019-12-30,291675,4866219
2019-12-27,976837,4988529
2019-12-26,101188,4850101
2019-12-24,22169,4896307
2019-12-23,287111,4994833
2019-12-20,183551,4152034
2019-12-19,623243,4394875
2019-12-18,305829,4085193
2019-12-17,93657,4161467
2019-12-16,42553,4744518
2019-12-13,333998,4751218
2019-12-12,118675,4878290
2019-12-11,368673,5304651
2019-12-10,48396,5277012
2019-12-09,121265,5286315
2019-12-06,36307,5207230
2019-12-05,54068,5233827
2019-12-04,68167,5349872
2019-12-03,70103,5411052
2019-12-02,33356,5443644
2019-11-29,68146,5473636
2019-11-28,93705,5814534
2019-11-27,24540,5871391
2019-11-26,197131,5507115
2019-11-25,576575,5645068
2019-11-22,274349,5579715
2019-11-21,959709,5551762
2019-11-20,42550,5734097
2019-11-19,415985,5768720
2019-11-18,461766,5813522
2019-11-15,530507,5844460
2019-11-14,154340,5887830
2019-11-13,505778,6030524
2019-11-12,364823,5742315
2019-11-11,448912,5642442
2019-11-08,643543,5087115
2019-11-07,409422,5658659
2019-11-06,1314777,5702464
2019-11-05,504321,5560163
2019-11-04,242274,4973432
2019-11-01,295753,4866309
2019-10-31,80058,4753823
2019-10-30,445297,4741865
2019-10-29,287277,4743483
2019-10-28,144598,4746303
2019-10-25,12014,4783758
