일자,공매도 수량(전체),공매도 수량(잔고수량),공매도 금액(전체),공매도 금액(잔고금액)
2021-03-31,156,187125,24063000,29004375000.0
2021-03-30,2642,198685,408181000,30696832500.0
2021-03-29,955,221312,139466500,32311552000.0
2021-03-26,461,218983,66804500,31971518000.0
2021-03-25,596,219253,87985000,32120564500.0
2021-03-24,747,232809,108468000,34455732000.0
2021-03-23,1600,236830,229100000,33866690000.0
2021-03-22,1563,238069,229103500,34758074000.0
2021-03-19,1940,240875,286424000,36010812500.0
2021-03-18,1552,236156,230493500,34951088000.0
2021-03-17,3142,229551,461364000,33743997000.0
2021-03-16,2350,243752,361702000,37294056000.0
2021-03-15,969,244540,153843000,38515050000.0
2021-03-12,1144,192837,181881500,30371827500.0
2021-03-11,5810,180496,887511500,27615888000.0
2021-03-10,3,169115,436500,24521675000.0
2021-03-09,7573,174488,1063776500,24777296000.0
2021-03-08,880,183867,135689000,27763917000.0
2021-03-05,525,185382,84267000,29846502000.0
2021-03-04,17380,180507,2936609000,28700613000.0
2021-03-03,730,183088,112975000,28653272000.0
2021-03-02,4725,186211,757046000,28862705000.0
2021-02-26,118,198332,18722000,31336456000.0
2021-02-25,3017,193999,482122000,31524837500.0
2021-02-24,5298,200590,875558000,31693220000.0
2021-02-23,6053,205759,1012438000,34979030000.0
2021-02-22,8471,205039,1502819500,34344032500.0
2021-02-19,6287,210268,1055902000,36481498000.0
2021-02-18,2818,210304,453171000,34174400000.0
2021-02-17,4195,184991,664398000,29691055500.0
2021-02-16,751,176863,113056500,27148470500.0
2021-02-15,7452,173194,1120407500,25979100000.0
2021-02-10,853,165496,121618000,24327912000.0
2021-02-09,1614,132049,233417000,18750958000.0
2021-02-08,2931,148684,408748000,20741418000.0
2021-02-05,17,111534,2338500,15558993000.0
2021-02-04,1358,124468,186942000,16927648000.0
2021-02-03,1106,107755,150745500,15085700000.0
2021-02-02,2597,170995,350896500,23084325000.0
2021-02-01,2400,203429,320673000,27361200500.0
2021-01-29,2201,206096,302043000,27719912000.0
2021-01-28,2040,204980,282103000,28697200000.0
2021-01-27,3088,203506,438273500,28897852000.0
2021-01-26,1974,209439,272422500,29007301500.0
2021-01-25,2065,192346,288653000,26928440000.0
2021-01-22,6407,197237,901545000,27514561500.0
2021-01-21,3881,221835,510777500,29282220000.0
2021-01-20,2449,207843,319857000,27539197500.0
2021-01-19,398,260231,50699500,33309568000.0
2021-01-18,465,298875,58019500,36911062500.0
2021-01-15,726,478799,93534500,61765071000.0
2021-01-14,1926,455751,250219500,59931256500.0
