일자,공매도 금액(전체),공매도 금액(잔고금액)
2021-03-31,24063000,29004375000.0
2021-03-30,408181000,30696832500.0
2021-03-29,139466500,32311552000.0
2021-03-26,66804500,31971518000.0
2021-03-25,87985000,32120564500.0
2021-03-24,108468000,34455732000.0
2021-03-23,229100000,33866690000.0
2021-03-22,229103500,34758074000.0
2021-03-19,286424000,36010812500.0
2021-03-18,230493500,34951088000.0
2021-03-17,461364000,33743997000.0
2021-03-16,361702000,37294056000.0
2021-03-15,153843000,38515050000.0
2021-03-12,181881500,30371827500.0
2021-03-11,887511500,27615888000.0
2021-03-10,436500,24521675000.0
2021-03-09,1063776500,24777296000.0
2021-03-08,135689000,27763917000.0
2021-03-05,84267000,29846502000.0
2021-03-04,2936609000,28700613000.0
2021-03-03,112975000,28653272000.0
2021-03-02,757046000,28862705000.0
2021-02-26,18722000,31336456000.0
2021-02-25,482122000,31524837500.0
2021-02-24,875558000,31693220000.0
2021-02-23,1012438000,34979030000.0
2021-02-22,1502819500,34344032500.0
2021-02-19,1055902000,36481498000.0
2021-02-18,453171000,34174400000.0
2021-02-17,664398000,29691055500.0
2021-02-16,113056500,27148470500.0
2021-02-15,1120407500,25979100000.0
2021-02-10,121618000,24327912000.0
2021-02-09,233417000,18750958000.0
2021-02-08,408748000,20741418000.0
2021-02-05,2338500,15558993000.0
2021-02-04,186942000,16927648000.0
2021-02-03,150745500,15085700000.0
2021-02-02,350896500,23084325000.0
2021-02-01,320673000,27361200500.0
2021-01-29,302043000,27719912000.0
2021-01-28,282103000,28697200000.0
2021-01-27,438273500,28897852000.0
2021-01-26,272422500,29007301500.0
2021-01-25,288653000,26928440000.0
2021-01-22,901545000,27514561500.0
2021-01-21,510777500,29282220000.0
2021-01-20,319857000,27539197500.0
2021-01-19,50699500,33309568000.0
2021-01-18,58019500,36911062500.0
2021-01-15,93534500,61765071000.0
2021-01-14,250219500,59931256500.0
2021-01-13,19912000,58659578500.0
2021-01-12,8161000,60087052500.0
2021-01-11,294340000,62327737500.0
2021-01-08,185009000,64872463500.0
2021-01-07,407587000,65074953000.0
2021-01-06,844811500,64194616500.0
2021-01-05,305683500,61886292000.0
2021-01-04,868685000,58946782000.0
2020-12-30,180036000,49323664000.0
2020-12-29,449021500,50064105000.0
2020-12-28,206864000,47332102500.0
2020-12-24,106037500,48147225500.0
2020-12-23,42010000,47920669500.0
2020-12-22,237161500,47935296500.0
2020-12-21,292727500,50353237000.0
2020-12-18,90289500,48821425000.0
2020-12-17,363653500,51213855000.0
2020-12-16,1636788500,53124864000.0
2020-12-15,211565000,53335712500.0
2020-12-14,298415000,56213460000.0
2020-12-11,498644000,58056877500.0
2020-12-10,1363266500,57039660000.0
2020-12-09,2798961300,50296070000.0
2020-12-08,29764600,42320278000.0
2020-12-07,2949000,46022872000.0
2020-12-04,99516900,48460815400.0
2020-12-03,0,49572456400.0
2020-12-02,104956200,49001942400.0
2020-12-01,23083200,46388988000.0
2020-11-30,358164100,46635811500.0
2020-11-27,127161900,47325544700.0
2020-11-26,35709000,46191845600.0
2020-11-25,248669700,46016728600.0
2020-11-24,404962000,45120564000.0
2020-11-23,110509600,41933842600.0
2020-11-20,69280000,41522320000.0
2020-11-19,80345200,41431168300.0
2020-11-18,62614000,41665777200.0
2020-11-17,21106800,42404000000.0
2020-11-16,124617500,42227004000.0
2020-11-13,3376800,42662812800.0
2020-11-12,81322100,43015576800.0
2020-11-11,103120600,49277046600.0
2020-11-10,133284300,50875408700.0
2020-11-09,470634400,50866757400.0
2020-11-06,532449800,53309472700.0
2020-11-05,117886600,52165380000.0
2020-11-04,45935600,49809840300.0
2020-11-03,313447400,49474631800.0
2020-11-02,62644000,47957064000.0
2020-10-30,73168000,47118031400.0
2020-10-29,60098100,48093708800.0
2020-10-28,37551700,48052116000.0
2020-10-27,67763500,46320909000.0
2020-10-26,97501900,45988416000.0
2020-10-23,132339700,47813057000.0
2020-10-22,101257400,48839880000.0
2020-10-21,51172000,49809446500.0
2020-10-20,108688800,48813222000.0
2020-10-19,125660800,48045892300.0
2020-10-16,90956000,49885440000.0
2020-10-15,113959000,49398624000.0
2020-10-14,156731000,50604993000.0
2020-10-13,104068000,51769970400.0
2020-10-12,108417100,52739396400.0
2020-10-08,288637300,53143700000.0
2020-10-07,61502600,52293968700.0
2020-10-06,58806000,52223638900.0
2020-10-05,67761200,52168014000.0
2020-09-29,193883600,51781612200.0
2020-09-28,14076600,49859479000.0
2020-09-25,156312400,48067188000.0
2020-09-24,412396900,47962811400.0
2020-09-23,0,53191350200.0
2020-09-22,1420800,54350040000.0
2020-09-21,10032000,56031184000.0
2020-09-18,131419200,57623808000.0
2020-09-17,0,56128799700.0
2020-09-16,0,56652400000.0
2020-09-15,12640400,57088157500.0
2020-09-14,225124500,56679114400.0
