일자,공매도 수량(전체),공매도 수량(잔고수량)
2021-03-31,156,187125
2021-03-30,2642,198685
2021-03-29,955,221312
2021-03-26,461,218983
2021-03-25,596,219253
2021-03-24,747,232809
2021-03-23,1600,236830
2021-03-22,1563,238069
2021-03-19,1940,240875
2021-03-18,1552,236156
2021-03-17,3142,229551
2021-03-16,2350,243752
2021-03-15,969,244540
2021-03-12,1144,192837
2021-03-11,5810,180496
2021-03-10,3,169115
2021-03-09,7573,174488
2021-03-08,880,183867
2021-03-05,525,185382
2021-03-04,17380,180507
2021-03-03,730,183088
2021-03-02,4725,186211
2021-02-26,118,198332
2021-02-25,3017,193999
2021-02-24,5298,200590
2021-02-23,6053,205759
2021-02-22,8471,205039
2021-02-19,6287,210268
2021-02-18,2818,210304
2021-02-17,4195,184991
2021-02-16,751,176863
2021-02-15,7452,173194
2021-02-10,853,165496
2021-02-09,1614,132049
2021-02-08,2931,148684
2021-02-05,17,111534
2021-02-04,1358,124468
2021-02-03,1106,107755
2021-02-02,2597,170995
2021-02-01,2400,203429
2021-01-29,2201,206096
2021-01-28,2040,204980
2021-01-27,3088,203506
2021-01-26,1974,209439
2021-01-25,2065,192346
2021-01-22,6407,197237
2021-01-21,3881,221835
2021-01-20,2449,207843
2021-01-19,398,260231
2021-01-18,465,298875
2021-01-15,726,478799
2021-01-14,1926,455751
2021-01-13,155,467407
2021-01-12,66,471271
2021-01-11,2200,488845
2021-01-08,1407,497107
2021-01-07,3124,504457
2021-01-06,6511,499569
2021-01-05,2509,499083
2021-01-04,7394,499549
2020-12-30,1732,474266
2020-12-29,4304,476801
2020-12-28,2009,457315
2020-12-24,1011,460739
2020-12-23,397,458571
2020-12-22,2219,454363
2020-12-21,2722,470591
2020-12-18,849,456275
2020-12-17,3491,487751
2020-12-16,15832,510816
2020-12-15,2090,525475
2020-12-14,2906,548424
2020-12-11,4774,545135
2020-12-10,12983,538110
2020-12-09,27278,476740
2020-12-08,311,465058
2020-12-07,30,455672
2020-12-04,1005,491489
2020-12-03,0,496718
2020-12-02,1093,505696
2020-12-01,252,506430
2020-11-30,3862,509681
2020-11-27,1393,516091
2020-11-26,410,529723
2020-11-25,2884,531371
2020-11-24,4877,533340
2020-11-23,1370,520271
2020-11-20,866,519029
2020-11-19,1007,519839
2020-11-18,780,520172
2020-11-17,264,530050
2020-11-16,1570,530490
2020-11-13,42,530632
2020-11-12,1010,532371
2020-11-11,1290,616734
2020-11-10,1637,627317
2020-11-09,5749,621843
2020-11-06,6300,635393
2020-11-05,1436,633075
2020-11-04,582,636141
2020-11-03,4021,633478
2020-11-02,840,636880
2020-10-30,980,639322
2020-10-29,816,639544
2020-10-28,503,635610
2020-10-27,923,634533
2020-10-26,1343,638728
2020-10-23,1780,641786
2020-10-22,1313,642630
2020-10-21,660,637765
2020-10-20,1414,624210
2020-10-19,1619,621551
2020-10-16,1140,623568
2020-10-15,1440,623720
2020-10-14,1940,624753
2020-10-13,1250,622984
2020-10-12,1263,619007
2020-10-08,3379,617950
2020-10-07,736,621807
2020-10-06,700,622451
2020-10-05,818,622530
2020-09-29,2330,617919
2020-09-28,174,616310
2020-09-25,2010,616246
2020-09-24,5223,617282
2020-09-23,0,616354
2020-09-22,16,612050
2020-09-21,114,636718
2020-09-18,1441,631840
2020-09-17,0,647391
2020-09-16,0,647456
2020-09-15,143,646525
2020-09-14,2568,645548
2020-09-11,845,645891
2020-09-10,796,647176
2020-09-09,0,651647
2020-09-08,13,651612
2020-09-07,0,652612
2020-09-04,119,647022
2020-09-03,0,651577
2020-09-02,0,653127
2020-09-01,0,659101
2020-08-31,0,651039
2020-08-28,11,654648
2020-08-27,0,658478
2020-08-26,354,660921
2020-08-25,33,656953
2020-08-24,175,650269
2020-08-21,300,651528
2020-08-20,298,621806
2020-08-19,1000,627146
2020-08-18,113,627347
2020-08-14,1016,642233
2020-08-13,3470,650898
2020-08-12,1630,643815
2020-08-11,160,661757
2020-08-10,1190,688324
2020-08-07,3120,686039
2020-08-06,0,688878
2020-08-05,0,693086
2020-08-04,413,701445
2020-08-03,4019,719388
2020-07-31,1030,719220
2020-07-30,170,727336
2020-07-29,1020,731047
2020-07-28,1173,741638
2020-07-27,2666,742060
2020-07-24,4620,747972
2020-07-23,3570,742715
2020-07-22,5470,739930
2020-07-21,1623,744772
2020-07-20,440,743156
2020-07-17,2370,742526
2020-07-16,2227,738592
2020-07-15,175,737028
2020-07-14,2640,739498
2020-07-13,909,739649
2020-07-10,58,742209
2020-07-09,843,721967
2020-07-08,1050,729143
2020-07-07,1358,733220
2020-07-06,2259,723128
2020-07-03,2347,722966
2020-07-02,681,729044
2020-07-01,538,744998
2020-06-30,0,761667
2020-06-29,32,771023
2020-06-26,504,788416
2020-06-25,778,797669
2020-06-24,370,791221
2020-06-23,128,793064
2020-06-22,404,793000
2020-06-19,0,809623
2020-06-18,72,812210
2020-06-17,2968,827703
2020-06-16,4902,852758
2020-06-15,7829,855379
2020-06-12,47207,799680
2020-06-11,42864,787643
2020-06-10,201,686190
2020-06-09,519,690403
2020-06-08,987,692393
2020-06-05,1539,711428
2020-06-04,945,725683
2020-06-03,75,766060
2020-06-02,1640,777483
2020-06-01,1840,790091
2020-05-29,330,804909
2020-05-28,2677,954496
2020-05-27,4302,991143
2020-05-26,7921,940143
2020-05-25,9763,951211
2020-05-22,10926,947909
2020-05-21,6016,908541
2020-05-20,699,990945
2020-05-19,713,1009350
2020-05-18,7013,973723
2020-05-15,741,1033637
2020-05-14,1817,1052598
2020-05-13,917,1036196
2020-05-12,597,1115262
2020-05-11,861,1132343
2020-05-08,1461,1136951
2020-05-07,72,1149308
2020-05-06,0,1169298
2020-05-04,0,1166811
2020-04-29,0,1182224
2020-04-28,0,1213689
2020-04-27,0,1198915
2020-04-24,48,1208869
2020-04-23,672,1224995
2020-04-22,284,1219143
2020-04-21,512,1234068
2020-04-20,896,1279397
2020-04-17,120,1302207
2020-04-16,443,1323473
2020-04-14,0,1377199
2020-04-13,0,1409099
2020-04-10,300,1464964
2020-04-09,750,1468712
2020-04-08,97,1465082
2020-04-07,211,1458753
2020-04-06,256,1453743
2020-04-03,260,1457558
2020-04-02,157,1466724
2020-04-01,526,1461210
2020-03-31,2845,1444540
2020-03-30,290,1445709
2020-03-27,111,1493880
2020-03-26,16,1519144
2020-03-25,1374,1513334
2020-03-24,59,1504710
2020-03-23,0,1522723
2020-03-20,1160,1594401
2020-03-19,2373,1614739
2020-03-18,2062,1788992
2020-03-17,6121,1924604
2020-03-16,6977,2007578
2020-03-13,161459,1982179
2020-03-12,81441,1940769
2020-03-11,51136,2070502
2020-03-10,44406,2126376
2020-03-09,140453,2217730
2020-03-06,21170,2138561
2020-03-05,40450,2149506
2020-03-04,41874,2133393
2020-03-03,51593,2133446
2020-03-02,36433,2200592
2020-02-28,47184,2279415
2020-02-27,22789,2383595
2020-02-26,58451,2396518
2020-02-25,102245,2355956
2020-02-24,52882,2303786
2020-02-21,77937,2340817
2020-02-20,83268,2307071
2020-02-19,66512,2297704
2020-02-18,46339,2292114
2020-02-17,34924,2295850
2020-02-14,37131,2276219
2020-02-13,26591,2253983
2020-02-12,66541,2235397
2020-02-11,35226,2223665
2020-02-10,45564,2306001
2020-02-07,57880,2301837
2020-02-06,56347,2401705
2020-02-05,144799,2337943
2020-02-04,100410,2194455
2020-02-03,303717,2179452
2020-01-31,44374,2076261
2020-01-30,105141,2115087
2020-01-29,111493,2105749
2020-01-28,116441,1982469
2020-01-23,75700,1876998
2020-01-22,72244,1881294
2020-01-21,203046,1847235
2020-01-20,59327,1769229
2020-01-17,58834,1806084
2020-01-16,73386,1723602
2020-01-15,26342,1699136
2020-01-14,198757,1729841
2020-01-13,46205,1563557
2020-01-10,83517,1550417
2020-01-09,24411,1896158
2020-01-08,83281,2015628
2020-01-07,31432,1982419
2020-01-06,40750,1981742
2020-01-03,55773,2004111
2020-01-02,12896,2030969
2019-12-30,25755,2042859
2019-12-27,40299,2124979
2019-12-26,26243,2136126
2019-12-24,42875,2114829
2019-12-23,23610,2088482
2019-12-20,16365,2074909
2019-12-19,16721,2076104
2019-12-18,14251,2064361
2019-12-17,57192,2044580
2019-12-16,9320,2115751
2019-12-13,24457,2081544
2019-12-12,12512,2120758
2019-12-11,11657,2151756
2019-12-10,12336,2155702
2019-12-09,871,2152932
2019-12-06,2759,2159018
2019-12-05,24600,2162221
2019-12-04,62795,2152437
2019-12-03,12398,2144626
2019-12-02,3058,2155188
2019-11-29,21544,2164075
2019-11-28,5233,2154133
2019-11-27,3182,2155157
2019-11-26,27318,2154658
2019-11-25,39340,2134754
2019-11-22,40390,2121595
2019-11-21,6404,2111743
2019-11-20,36947,2119423
2019-11-19,35732,2116503
2019-11-18,29551,2160615
2019-11-15,2705,2151062
2019-11-14,11486,2159539
2019-11-13,10594,2213438
2019-11-12,12739,2218517
2019-11-11,23571,2226051
2019-11-08,30765,2208236
2019-11-07,30366,2218334
2019-11-06,4454,2254066
2019-11-05,14611,2274084
2019-11-04,71710,2304671
2019-11-01,34603,2285905
2019-10-31,14735,2354955
2019-10-30,19686,2350527
2019-10-29,39277,2370734
2019-10-28,30687,2371874
2019-10-25,43583,2420435
2019-10-24,64832,2449122
2019-10-23,11386,2536620
2019-10-22,11365,2606774
2019-10-21,14247,2662240
2019-10-18,41579,2691506
2019-10-17,241269,2748913
2019-10-16,58912,2662769
2019-10-15,27528,2709428
2019-10-14,26715,2724768
2019-10-11,6891,2721572
2019-10-10,9372,2717490
2019-10-08,12254,2803492
2019-10-07,54261,2846242
2019-10-04,74394,2893505
2019-10-02,23187,2945542
2019-10-01,24853,3191297
2019-09-30,42121,3207264
2019-09-27,21417,3181991
2019-09-26,31024,3159374
2019-09-25,102247,3160117
2019-09-24,24195,3099953
2019-09-23,3905,3101889
2019-09-20,44033,3108290
2019-09-19,29716,3108323
2019-09-18,52247,3099525
2019-09-17,1333,3072618
2019-09-16,7485,3104914
2019-09-11,32249,3115229
2019-09-10,15265,3095717
2019-09-09,34463,3090293
2019-09-06,8039,3071002
2019-09-05,10916,3072173
2019-09-04,47752,3066189
2019-09-03,15152,3041801
2019-09-02,61117,3025892
2019-08-30,48408,3003702
2019-08-29,47156,2959910
2019-08-28,39544,2994969
2019-08-27,103953,2964568
2019-08-26,95678,2905744
2019-08-23,69677,2862372
2019-08-22,27579,2871791
2019-08-21,38481,2861434
2019-08-20,37991,2843462
2019-08-19,35604,2897415
2019-08-16,27454,2872654
2019-08-14,12375,2862259
2019-08-13,78411,2849857
2019-08-12,38762,2789835
2019-08-09,16085,2795448
2019-08-08,72202,2798156
2019-08-07,25933,2780238
2019-08-06,10931,2798903
2019-08-05,6585,2916316
2019-08-02,17531,2965166
2019-08-01,20359,3008758
2019-07-31,36425,3018897
2019-07-30,13481,3047917
2019-07-29,39422,3123694
2019-07-26,29591,3124420
2019-07-25,12652,3055407
2019-07-24,38136,3033881
2019-07-23,31736,2997431
2019-07-22,37118,2978145
2019-07-19,31819,3108954
2019-07-18,33631,3092919
