일자,공매도 수량(전체),공매도 수량(잔고수량),공매도 금액(전체),공매도 금액(잔고금액)
2021-03-31,1929,1000662,44518950,23165325300
2021-03-30,100,960226,2324000,22325254500
2021-03-29,3404,966769,79208600,22574056150
2021-03-26,95,982392,2204700,22840614000
2021-03-25,92,979622,2121050,22629268200
2021-03-24,115,961700,2627750,21926760000
2021-03-23,1896,979246,43134000,22277846500
2021-03-22,980,1018230,23423000,23419290000
2021-03-19,5788,840931,139345100,20308483650
2021-03-18,1122,857404,27088450,20663436400
2021-03-17,4779,813265,117929800,20006319000
2021-03-16,1869,813222,46202150,20127244500
2021-03-15,3051,1153381,70752550,26816108250
2021-03-12,4301,1132892,99781800,26283094400
2021-03-11,211,1179306,4840300,27006107400
2021-03-10,181,1141562,4163000,26255926000
2021-03-09,0,1111129,0,25555967000
2021-03-08,88,1137605,2019600,26108034750
2021-03-05,2200,1114521,50577100,25633983000
2021-03-04,916,1049679,21297000,24510004650
2021-03-03,373,1035081,8797800,24427911600
2021-03-02,1089,1127676,25098400,25823780400
2021-02-26,4022,1144817,91368100,25987345900
2021-02-25,756,1103693,17652600,25771231550
2021-02-24,735,1151062,17015250,26647085300
2021-02-23,1738,1149016,41077800,27174228400
2021-02-22,2201,1136820,52523050,27113157000
2021-02-19,1385,1107971,33014350,26314311250
2021-02-18,3991,1197189,94901750,28433238750
2021-02-17,3509,1148080,83441300,27324304000
2021-02-16,244,1051619,5746200,24765627450
2021-02-15,610,1008290,14487500,23946887500
2021-02-10,1183,963065,28332850,23065406750
2021-02-09,4053,876049,98505150,21287990700
2021-02-08,4739,875754,113901700,21061883700
2021-02-05,1731,944735,40764750,22248509250
2021-02-04,3892,1001590,91971450,23687603500
2021-02-03,2,924999,46800,21644976600
2021-02-02,1505,914183,35397900,21391882200
2021-02-01,1692,931569,38692350,21286351650
2021-01-29,502,895754,11492300,20467978900
2021-01-28,1133,904642,26625500,21259087000
2021-01-27,2234,834457,53953700,20152136550
2021-01-26,2593,813457,63744300,19807677950
2021-01-25,4537,769113,110755400,18804812850
2021-01-22,2229,808509,53830350,19525492350
2021-01-21,2372,818315,58469800,20171464750
2021-01-20,647,803105,16077950,19957159250
2021-01-19,824,786785,20542500,19630285750
2021-01-18,1572,831854,38985600,20629979200
2021-01-15,603,938726,15738300,23749767800
2021-01-14,45,909347,1161000,23597554650
2021-01-13,301,877448,7750750,22594286000
2021-01-12,575,951809,15094250,24937395800
2021-01-11,18,903718,474300,23812969300
2021-01-08,1322,772877,35910750,20867679000
2021-01-07,54,735695,1464450,19900549750
2021-01-06,39,740142,1064050,20094855300
2021-01-05,1644,703157,44223600,18914923300
2021-01-04,5057,714616,135891900,19223170400
2020-12-30,527,716868,14437050,19642183200
2020-12-29,806,809633,21291250,21374311200
2020-12-28,3340,674413,89707800,18242871650
2020-12-24,0,716132,0,19335564000
2020-12-23,157,798452,4241350,21398513600
2020-12-22,1026,827157,27560000,22167807600
2020-12-21,0,818371,0,22955306550
2020-12-18,7,861621,198100,24383874300
2020-12-17,3,968559,75750,25182534000
2020-12-16,460,1065115,10855800,25136714000
2020-12-15,227,1061791,5448000,25482984000
2020-12-14,320,1058369,7594500,25295019100
2020-12-11,4691,1064754,111854600,25341145200
2020-12-10,11535,1072594,274590600,25527737200
2020-12-09,681,915847,14943600,20514972800
2020-12-08,2045,1023972,43968300,22015398000
2020-12-07,722,1029352,15811800,22542808800
2020-12-04,1987,906645,43860600,20036854500
