일자,공매도 금액(전체),공매도 금액(잔고금액)
2021-03-31,44518950,23165325300
2021-03-30,2324000,22325254500
2021-03-29,79208600,22574056150
2021-03-26,2204700,22840614000
2021-03-25,2121050,22629268200
2021-03-24,2627750,21926760000
2021-03-23,43134000,22277846500
2021-03-22,23423000,23419290000
2021-03-19,139345100,20308483650
2021-03-18,27088450,20663436400
2021-03-17,117929800,20006319000
2021-03-16,46202150,20127244500
2021-03-15,70752550,26816108250
2021-03-12,99781800,26283094400
2021-03-11,4840300,27006107400
2021-03-10,4163000,26255926000
2021-03-09,0,25555967000
2021-03-08,2019600,26108034750
2021-03-05,50577100,25633983000
2021-03-04,21297000,24510004650
2021-03-03,8797800,24427911600
2021-03-02,25098400,25823780400
2021-02-26,91368100,25987345900
2021-02-25,17652600,25771231550
2021-02-24,17015250,26647085300
2021-02-23,41077800,27174228400
2021-02-22,52523050,27113157000
2021-02-19,33014350,26314311250
2021-02-18,94901750,28433238750
2021-02-17,83441300,27324304000
2021-02-16,5746200,24765627450
2021-02-15,14487500,23946887500
2021-02-10,28332850,23065406750
2021-02-09,98505150,21287990700
2021-02-08,113901700,21061883700
2021-02-05,40764750,22248509250
2021-02-04,91971450,23687603500
2021-02-03,46800,21644976600
2021-02-02,35397900,21391882200
2021-02-01,38692350,21286351650
2021-01-29,11492300,20467978900
2021-01-28,26625500,21259087000
2021-01-27,53953700,20152136550
2021-01-26,63744300,19807677950
2021-01-25,110755400,18804812850
2021-01-22,53830350,19525492350
2021-01-21,58469800,20171464750
2021-01-20,16077950,19957159250
2021-01-19,20542500,19630285750
2021-01-18,38985600,20629979200
2021-01-15,15738300,23749767800
2021-01-14,1161000,23597554650
2021-01-13,7750750,22594286000
2021-01-12,15094250,24937395800
2021-01-11,474300,23812969300
2021-01-08,35910750,20867679000
2021-01-07,1464450,19900549750
2021-01-06,1064050,20094855300
2021-01-05,44223600,18914923300
2021-01-04,135891900,19223170400
2020-12-30,14437050,19642183200
2020-12-29,21291250,21374311200
2020-12-28,89707800,18242871650
2020-12-24,0,19335564000
2020-12-23,4241350,21398513600
2020-12-22,27560000,22167807600
2020-12-21,0,22955306550
2020-12-18,198100,24383874300
2020-12-17,75750,25182534000
2020-12-16,10855800,25136714000
2020-12-15,5448000,25482984000
2020-12-14,7594500,25295019100
2020-12-11,111854600,25341145200
2020-12-10,274590600,25527737200
2020-12-09,14943600,20514972800
2020-12-08,43968300,22015398000
2020-12-07,15811800,22542808800
2020-12-04,43860600,20036854500
2020-12-03,40577150,19587785850
2020-12-02,102033900,19409586700
2020-12-01,60350400,20160813600
2020-11-30,44047950,16575937950
2020-11-27,58911000,15763685700
2020-11-26,4829000,15919742350
2020-11-25,13416750,16377179250
2020-11-24,17927250,15751468150
2020-11-23,17148200,15215442150
2020-11-20,79736000,14998003600
2020-11-19,1512000,15118804650
2020-11-18,19666600,16470531400
2020-11-17,18532400,15672240150
2020-11-16,0,16852591100
2020-11-13,4547550,17189376050
2020-11-12,11124450,16816334550
2020-11-11,24820000,16001228750
2020-11-10,14022350,16394379300
2020-11-09,0,16244641550
2020-11-06,1484300,17546991000
2020-11-05,13933200,17241468000
2020-11-04,37135100,17844918000
2020-11-03,13415200,18169886350
2020-11-02,50544650,18258040350
2020-10-30,4029900,18205990950
2020-10-29,14737800,17403920800
2020-10-28,11343600,17781832800
2020-10-27,1296950,17772505800
2020-10-26,4069750,17966299050
2020-10-23,148400,18648000900
2020-10-22,150850,17976429500
2020-10-21,44826750,19217451750
2020-10-20,0,20813058000
2020-10-19,2257500,21790764000
2020-10-16,13376250,21996819000
2020-10-15,25943400,21004100400
2020-10-14,23414800,21376770300
2020-10-13,5565000,20972301000
2020-10-12,16099500,23488161300
2020-10-08,26522700,23544034100
2020-10-07,0,20827273000
2020-10-06,21030800,20249696600
2020-10-05,24960400,19045771200
2020-09-29,488700,18998356800
2020-09-28,13251200,18577172400
2020-09-25,8924100,18024160400
2020-09-24,18492650,17941176500
2020-09-23,26029500,17469291900
2020-09-22,19541250,17332704000
2020-09-21,4409100,18717250500
2020-09-18,22447500,19843631000
2020-09-17,15439750,20344927900
2020-09-16,45607500,20305967500
2020-09-15,103011900,20932725600
2020-09-14,60170450,21846526600
2020-09-11,74980300,21913159800
2020-09-10,38929550,21860315950
2020-09-09,33901000,19251281700
2020-09-08,81979500,20718140500
2020-09-07,4357150,19940466000
2020-09-04,55915950,19539413100
2020-09-03,31249250,19218292150
2020-09-02,37456650,19515612600
2020-09-01,35771500,19773982800
2020-08-31,22441100,19063011500
2020-08-28,31733100,20482712100
2020-08-27,18808800,20275274400
2020-08-26,4578350,20307095400
2020-08-25,11725550,20840484000
2020-08-24,4847850,19887436800
2020-08-21,2500000,19715660000
2020-08-20,279300,19511598750
2020-08-19,1497600,19572321600
2020-08-18,4438800,18890443650
2020-08-14,17560000,20486264250
2020-08-13,23437500,17599647950
2020-08-12,45219200,22190979600
2020-08-11,59952900,23409162000
2020-08-10,7527150,25709768550
2020-08-07,11211200,25773333600
2020-08-06,10797300,24376375350
2020-08-05,17018550,24556185600
2020-08-04,3513600,24685459200
2020-08-03,6877050,24609894900
2020-07-31,1152000,24688335300
2020-07-30,21984200,24691430400
2020-07-29,13757850,24833093400
2020-07-28,1933050,24650377900
2020-07-27,1759900,24276022500
2020-07-24,1131000,24947500500
2020-07-23,43667200,24843659400
2020-07-22,49360050,24728180400
2020-07-21,3689800,24526735200
2020-07-20,1319700,23642585400
2020-07-17,906800,23231549750
2020-07-16,4134450,23244443600
2020-07-15,1626800,23532759600
2020-07-14,12366550,24190857550
2020-07-13,34540000,23814060000
2020-07-10,20538400,23565945700
2020-07-09,1995000,23562584000
2020-07-08,4205750,21316283250
2020-07-07,1031400,21494092000
2020-07-06,291000,22127615100
2020-07-03,58200,22631768400
2020-07-02,17925500,21887326800
2020-07-01,16102500,22887614750
2020-06-30,15149500,24615708000
2020-06-29,14668400,24867736650
2020-06-26,12720300,26449063050
2020-06-25,37506800,25351746600
2020-06-24,74890600,23330201250
2020-06-23,19750750,23059606050
2020-06-22,1289100,22436872300
2020-06-19,3378500,22525346900
2020-06-18,3717050,22945011750
2020-06-17,25031150,23934713550
2020-06-16,2001600,25212111900
2020-06-15,12190650,24511188200
2020-06-12,56830600,24982845300
2020-06-11,42226600,24509478400
2020-06-10,153650,23380635150
2020-06-09,0,24107460850
2020-06-08,0,24133775400
2020-06-05,2276300,25478307500
2020-06-04,5529350,26033722000
2020-06-03,23618300,24414812800
2020-06-02,25344550,25313443500
2020-06-01,326250,26360434500
2020-05-29,18041550,26210757600
2020-05-28,13698400,26001577800
2020-05-27,19097100,26553009600
2020-05-26,9849600,26630834400
2020-05-25,221927500,26887663500
2020-05-22,85000,26777380000
2020-05-21,25260650,26582947200
2020-05-20,57259650,26224884600
2020-05-19,2746800,7707586200
2020-05-18,101733700,26798006850
2020-05-15,89810550,26785440000
2020-05-14,20461600,28232397300
2020-05-13,115354800,26550986000
2020-05-12,34056150,25997121150
