일자,공매도 수량(전체),공매도 수량(잔고수량)
2021-03-31,1929,1000662
2021-03-30,100,960226
2021-03-29,3404,966769
2021-03-26,95,982392
2021-03-25,92,979622
2021-03-24,115,961700
2021-03-23,1896,979246
2021-03-22,980,1018230
2021-03-19,5788,840931
2021-03-18,1122,857404
2021-03-17,4779,813265
2021-03-16,1869,813222
2021-03-15,3051,1153381
2021-03-12,4301,1132892
2021-03-11,211,1179306
2021-03-10,181,1141562
2021-03-09,0,1111129
2021-03-08,88,1137605
2021-03-05,2200,1114521
2021-03-04,916,1049679
2021-03-03,373,1035081
2021-03-02,1089,1127676
2021-02-26,4022,1144817
2021-02-25,756,1103693
2021-02-24,735,1151062
2021-02-23,1738,1149016
2021-02-22,2201,1136820
2021-02-19,1385,1107971
2021-02-18,3991,1197189
2021-02-17,3509,1148080
2021-02-16,244,1051619
2021-02-15,610,1008290
2021-02-10,1183,963065
2021-02-09,4053,876049
2021-02-08,4739,875754
2021-02-05,1731,944735
2021-02-04,3892,1001590
2021-02-03,2,924999
2021-02-02,1505,914183
2021-02-01,1692,931569
2021-01-29,502,895754
2021-01-28,1133,904642
2021-01-27,2234,834457
2021-01-26,2593,813457
2021-01-25,4537,769113
2021-01-22,2229,808509
2021-01-21,2372,818315
2021-01-20,647,803105
2021-01-19,824,786785
2021-01-18,1572,831854
2021-01-15,603,938726
2021-01-14,45,909347
2021-01-13,301,877448
2021-01-12,575,951809
2021-01-11,18,903718
2021-01-08,1322,772877
2021-01-07,54,735695
2021-01-06,39,740142
2021-01-05,1644,703157
2021-01-04,5057,714616
2020-12-30,527,716868
2020-12-29,806,809633
2020-12-28,3340,674413
2020-12-24,0,716132
2020-12-23,157,798452
2020-12-22,1026,827157
2020-12-21,0,818371
2020-12-18,7,861621
2020-12-17,3,968559
2020-12-16,460,1065115
2020-12-15,227,1061791
2020-12-14,320,1058369
2020-12-11,4691,1064754
2020-12-10,11535,1072594
2020-12-09,681,915847
2020-12-08,2045,1023972
2020-12-07,722,1029352
2020-12-04,1987,906645
2020-12-03,1821,876411
2020-12-02,4707,894451
2020-12-01,2794,933371
2020-11-30,2049,772771
2020-11-27,2690,719803
2020-11-26,220,725273
2020-11-25,603,736053
2020-11-24,795,698513
2020-11-23,796,706053
2020-11-20,3757,707453
2020-11-19,72,718233
2020-11-18,919,769651
2020-11-17,856,723891
2020-11-16,0,798701
2020-11-13,213,805123
2020-11-12,531,802689
2020-11-11,1168,752999
2020-11-10,678,791999
2020-11-09,0,794359
2020-11-06,73,862260
2020-11-05,683,845170
2020-11-04,1825,879060
2020-11-03,656,888503
2020-11-02,2484,897201
2020-10-30,202,912581
2020-10-29,726,857336
