일자,공매도 금액(전체),공매도 금액(잔고금액)
2021-03-31,130903500,51002180000.0
2021-03-30,1480000,42512071500.0
2021-03-29,156864000,42737456000.0
2021-03-26,27748500,41872950000.0
2021-03-25,98778500,43010710000.0
2021-03-24,0,43437953000.0
2021-03-23,0,44582838000.0
2021-03-22,55366000,47057844000.0
2021-03-19,224566000,57255000000.0
2021-03-18,114271500,58004221500.0
2021-03-17,196037000,58579584000.0
2021-03-16,2127000,61724312500.0
2021-03-15,87023500,62804826000.0
2021-03-12,90746500,60340352500.0
2021-03-11,1176000,59677002000.0
2021-03-10,1502500,55939840000.0
2021-03-09,1200000,56649883000.0
2021-03-08,904500,57431529000.0
2021-03-05,569490500,58512115000.0
2021-03-04,426682500,57943336500.0
2021-03-03,313500,62121906000.0
2021-03-02,62080000,64571209500.0
2021-02-26,398705000,66848163000.0
2021-02-25,310060000,66676201500.0
2021-02-24,0,68639270000.0
2021-02-23,1300000,72107750000.0
2021-02-22,2585000,72498319000.0
2021-02-19,324043500,69621146500.0
2021-02-18,322500000,71596746000.0
2021-02-17,328767000,70315812000.0
2021-02-16,0,66403876000.0
2021-02-15,0,64062207000.0
2021-02-10,652000,62038236000.0
2021-02-09,17847500,62517808500.0
2021-02-08,648000,61885824000.0
2021-02-05,705000,68207692500.0
2021-02-04,1074000,69488158000.0
2021-02-03,83901000,64270125000.0
2021-02-02,23796000,61819279500.0
2021-02-01,732665500,61833321000.0
2021-01-29,891898000,59542997500.0
2021-01-28,2979000,63726437000.0
2021-01-27,517862000,60202881000.0
2021-01-26,0,61739080000.0
2021-01-25,16332500,59391225000.0
2021-01-22,26778000,59245900000.0
2021-01-21,0,60770018000.0
2021-01-20,0,57386916000.0
2021-01-19,984421000,56532735000.0
2021-01-18,4529000,52754762500.0
2021-01-15,0,53209857500.0
2021-01-14,69978500,54173436000.0
2021-01-13,4244500,50279610500.0
2021-01-12,1705000,49193436000.0
2021-01-11,709000,52257420000.0
2021-01-08,228920000,53282573500.0
2021-01-07,2659000,48043401000.0
2021-01-06,5780000,45603243000.0
2021-01-05,4046000,44113272000.0
2021-01-04,1063088500,43729903000.0
2020-12-30,69005000,39632649000.0
2020-12-29,94306000,39036273000.0
2020-12-28,9000000,34797000000.0
