일자,공매도 수량(전체),공매도 수량(잔고수량)
2021-03-31,446,174665
2021-03-30,5,142419
2021-03-29,553,150484
2021-03-26,98,147700
2021-03-25,347,151180
2021-03-24,0,153491
2021-03-23,0,155612
2021-03-22,188,161157
2021-03-19,752,190850
2021-03-18,379,194319
2021-03-17,658,197904
2021-03-16,7,203375
2021-03-15,285,207963
2021-03-12,299,198815
2021-03-11,4,202983
2021-03-10,5,192896
2021-03-09,4,191062
2021-03-08,3,190486
2021-03-05,1876,191843
2021-03-04,1377,186613
2021-03-03,1,198156
2021-03-02,200,209307
2021-02-26,1286,220621
2021-02-25,1000,212007
2021-02-24,0,221417
2021-02-23,4,221870
2021-02-22,8,224453
2021-02-19,1005,216551
2021-02-18,1000,225147
2021-02-17,1004,216024
2021-02-16,0,198814
2021-02-15,0,192379
2021-02-10,2,187144
2021-02-09,55,192067
2021-02-08,2,192192
2021-02-05,2,193497
2021-02-04,3,194101
2021-02-03,232,184950
2021-02-02,71,184811
2021-02-01,2243,184302
2021-01-29,2788,187537
2021-01-28,9,192527
2021-01-27,1539,183266
2021-01-26,0,182660
2021-01-25,47,170910
2021-01-22,75,169274
2021-01-21,0,168338
2021-01-20,0,167798
2021-01-19,2882,163863
2021-01-18,14,163075
2021-01-15,0,165505
2021-01-14,215,165668
2021-01-13,13,148099
2021-01-12,5,148173
2021-01-11,2,148248
2021-01-08,590,148213
2021-01-07,9,157778
2021-01-06,20,160858
2021-01-05,14,151592
2021-01-04,3671,152369
2020-12-30,270,155118
2020-12-29,376,155523
2020-12-28,36,139188
2020-12-24,7,145642
2020-12-23,9,153845
2020-12-22,15,155495
2020-12-21,17,155275
2020-12-18,0,144717
2020-12-17,0,156695
2020-12-16,808,161975
2020-12-15,280,162908
2020-12-14,1834,145142
2020-12-11,1184,138506
2020-12-10,367,141107
2020-12-09,5,129940
2020-12-08,14,137146
2020-12-07,0,137257
2020-12-04,2,137923
2020-12-03,4,139255
2020-12-02,0,139966
2020-12-01,0,141964
2020-11-30,0,141187
2020-11-27,9,145714
2020-11-26,0,145234
2020-11-25,0,143482
2020-11-24,0,143009
2020-11-23,26,143120
2020-11-20,11,142305
2020-11-19,126,141658
2020-11-18,288,141273
2020-11-17,16,139440
2020-11-16,0,139228
2020-11-13,0,138228
2020-11-12,0,140954
2020-11-11,0,136522
2020-11-10,0,138542
2020-11-09,0,135979
2020-11-06,99,142084
2020-11-05,437,141085
2020-11-04,13,144748
2020-11-03,0,147970
2020-11-02,54,153627
2020-10-30,72,153727
2020-10-29,0,148074
2020-10-28,91,147741
2020-10-27,709,147766
2020-10-26,216,146207
2020-10-23,1,146207
2020-10-22,80,145541
2020-10-21,0,144931
2020-10-20,862,146038
2020-10-19,5,148036
2020-10-16,2,148036
2020-10-15,132,148212
2020-10-14,176,146744
2020-10-13,320,146660
