일자,공매도 수량(전체),공매도 수량(잔고수량),공매도 금액(전체),공매도 금액(잔고금액)
2021-03-31,895,935711,196578000,203985000000.0
2021-03-30,44,871336,9661000,191258000000.0
2021-03-29,1042,877706,222200000,189146000000.0
2021-03-26,106,863065,22693000,185991000000.0
2021-03-25,88,858710,19140000,187199000000.0
2021-03-24,0,874508,0,193266000000.0
2021-03-23,0,878100,0,198890000000.0
2021-03-22,410,888603,93787500,203490000000.0
2021-03-19,1707,959825,393396500,220280000000.0
2021-03-18,659,964067,155089000,225592000000.0
2021-03-17,1435,968070,330972500,224592000000.0
2021-03-16,13,967541,3040000,226405000000.0
2021-03-15,618,972455,144304500,225610000000.0
2021-03-12,454,978662,105555000,227539000000.0
2021-03-11,0,977883,0,223446000000.0
2021-03-10,25,942944,5770000,214520000000.0
2021-03-09,3,937128,697500,216945000000.0
2021-03-08,0,957186,0,220631000000.0
2021-03-05,820,957186,190240000,224939000000.0
2021-03-04,621,921686,145826500,216596000000.0
2021-03-03,26,892342,6236000,214162000000.0
2021-03-02,420,893470,102577500,213539000000.0
2021-02-26,621,897937,147074500,212811000000.0
2021-02-25,13,886797,3185000,217265000000.0
2021-02-24,0,904979,0,212670000000.0
2021-02-23,69,872218,16836500,213257000000.0
2021-02-22,58,835514,14011000,201777000000.0
2021-02-19,0,850775,0,205888000000.0
2021-02-18,0,869360,0,204734000000.0
2021-02-17,11,847875,2678500,206458000000.0
2021-02-16,0,819355,0,202790000000.0
2021-02-15,0,809976,0,200469000000.0
2021-02-10,69,810025,16422000,198456000000.0
2021-02-09,0,841091,0,198918000000.0
2021-02-08,67,842055,15812000,197041000000.0
2021-02-05,7,850910,1746500,212302000000.0
2021-02-04,37,846736,9194500,210414000000.0
2021-02-03,326,795607,80696000,195322000000.0
2021-02-02,204,768998,49047000,184944000000.0
2021-02-01,70,769074,16579500,183424000000.0
2021-01-29,40,780327,9450000,178695000000.0
2021-01-28,41,816906,9778500,194832000000.0
2021-01-27,132,824360,33193000,202380000000.0
2021-01-26,8,827140,2012000,208026000000.0
2021-01-25,8,817547,2080000,212562000000.0
2021-01-22,57,824734,14817000,211957000000.0
2021-01-21,0,820415,0,217000000000.0
2021-01-20,0,827897,0,214425000000.0
2021-01-19,4428,816709,1131447000,213569000000.0
2021-01-18,62,821057,14914500,197875000000.0
2021-01-15,62,805019,15469000,193205000000.0
2021-01-14,484,805461,121606500,201768000000.0
2021-01-13,30,791520,7680000,205004000000.0
