일자,공매도 금액(전체),공매도 금액(잔고금액)
2021-03-31,196578000,203985000000.0
2021-03-30,9661000,191258000000.0
2021-03-29,222200000,189146000000.0
2021-03-26,22693000,185991000000.0
2021-03-25,19140000,187199000000.0
2021-03-24,0,193266000000.0
2021-03-23,0,198890000000.0
2021-03-22,93787500,203490000000.0
2021-03-19,393396500,220280000000.0
2021-03-18,155089000,225592000000.0
2021-03-17,330972500,224592000000.0
2021-03-16,3040000,226405000000.0
2021-03-15,144304500,225610000000.0
2021-03-12,105555000,227539000000.0
2021-03-11,0,223446000000.0
2021-03-10,5770000,214520000000.0
2021-03-09,697500,216945000000.0
2021-03-08,0,220631000000.0
2021-03-05,190240000,224939000000.0
2021-03-04,145826500,216596000000.0
2021-03-03,6236000,214162000000.0
2021-03-02,102577500,213539000000.0
2021-02-26,147074500,212811000000.0
2021-02-25,3185000,217265000000.0
2021-02-24,0,212670000000.0
2021-02-23,16836500,213257000000.0
2021-02-22,14011000,201777000000.0
2021-02-19,0,205888000000.0
2021-02-18,0,204734000000.0
2021-02-17,2678500,206458000000.0
2021-02-16,0,202790000000.0
2021-02-15,0,200469000000.0
2021-02-10,16422000,198456000000.0
2021-02-09,0,198918000000.0
2021-02-08,15812000,197041000000.0
2021-02-05,1746500,212302000000.0
2021-02-04,9194500,210414000000.0
2021-02-03,80696000,195322000000.0
2021-02-02,49047000,184944000000.0
2021-02-01,16579500,183424000000.0
2021-01-29,9450000,178695000000.0
2021-01-28,9778500,194832000000.0
2021-01-27,33193000,202380000000.0
2021-01-26,2012000,208026000000.0
2021-01-25,2080000,212562000000.0
2021-01-22,14817000,211957000000.0
2021-01-21,0,217000000000.0
2021-01-20,0,214425000000.0
2021-01-19,1131447000,213569000000.0
2021-01-18,14914500,197875000000.0
2021-01-15,15469000,193205000000.0
2021-01-14,121606500,201768000000.0
2021-01-13,7680000,205004000000.0
2021-01-12,6028500,203689000000.0
2021-01-11,1608000,205505000000.0
2021-01-08,244011000,181950000000.0
2021-01-07,4548000,150938000000.0
2021-01-06,14093000,152415000000.0
2021-01-05,166859000,155863000000.0
2021-01-04,1505479500,155302000000.0
2020-12-30,108105000,144097000000.0
2020-12-29,160811000,142907000000.0
2020-12-28,110933000,132624000000.0
2020-12-24,15708000,133310000000.0
2020-12-23,1291500,134232000000.0
2020-12-22,15077000,134219000000.0
