일자,공매도 수량(전체),공매도 수량(잔고수량)
2021-03-31,895,935711
2021-03-30,44,871336
2021-03-29,1042,877706
2021-03-26,106,863065
2021-03-25,88,858710
2021-03-24,0,874508
2021-03-23,0,878100
2021-03-22,410,888603
2021-03-19,1707,959825
2021-03-18,659,964067
2021-03-17,1435,968070
2021-03-16,13,967541
2021-03-15,618,972455
2021-03-12,454,978662
2021-03-11,0,977883
2021-03-10,25,942944
2021-03-09,3,937128
2021-03-08,0,957186
2021-03-05,820,957186
2021-03-04,621,921686
2021-03-03,26,892342
2021-03-02,420,893470
2021-02-26,621,897937
2021-02-25,13,886797
2021-02-24,0,904979
2021-02-23,69,872218
2021-02-22,58,835514
2021-02-19,0,850775
2021-02-18,0,869360
2021-02-17,11,847875
2021-02-16,0,819355
2021-02-15,0,809976
2021-02-10,69,810025
2021-02-09,0,841091
2021-02-08,67,842055
2021-02-05,7,850910
2021-02-04,37,846736
2021-02-03,326,795607
2021-02-02,204,768998
2021-02-01,70,769074
2021-01-29,40,780327
2021-01-28,41,816906
2021-01-27,132,824360
2021-01-26,8,827140
2021-01-25,8,817547
2021-01-22,57,824734
2021-01-21,0,820415
2021-01-20,0,827897
2021-01-19,4428,816709
2021-01-18,62,821057
2021-01-15,62,805019
2021-01-14,484,805461
2021-01-13,30,791520
2021-01-12,23,780416
2021-01-11,6,768244
2021-01-08,998,739636
2021-01-07,22,732710
2021-01-06,68,750813
2021-01-05,808,743975
2021-01-04,7220,748442
2020-12-30,563,750507
2020-12-29,845,750166
2020-12-28,584,699865
2020-12-24,84,712887
2020-12-23,7,725577
2020-12-22,82,729449
2020-12-21,0,732032
2020-12-18,0,710049
2020-12-17,0,728950
2020-12-16,2,740151
2020-12-15,532,725893
2020-12-14,236,686577
2020-12-11,121,644665
2020-12-10,34,644347
2020-12-09,0,655061
2020-12-08,37,655687
2020-12-07,0,683526
2020-12-04,0,718755
2020-12-03,0,733628
2020-12-02,1,749203
2020-12-01,0,756336
2020-11-30,291,758171
2020-11-27,7,788701
2020-11-26,0,793007
2020-11-25,0,798961
2020-11-24,0,788700
2020-11-23,0,783745
2020-11-20,102,811694
2020-11-19,550,799267
2020-11-18,1188,802614
2020-11-17,176,794303
2020-11-16,40,785459
2020-11-13,519,786656
2020-11-12,0,762567
2020-11-11,0,754324
2020-11-10,0,775115
2020-11-09,0,789791
2020-11-06,391,803749
2020-11-05,0,797447
2020-11-04,31,817069
2020-11-03,0,808828
2020-11-02,121,812346
2020-10-30,0,810574
2020-10-29,28,792566
2020-10-28,270,784123
2020-10-27,1027,746167
2020-10-26,79,750911
2020-10-23,3,780517
2020-10-22,16,785311
2020-10-21,0,784810
2020-10-20,1167,783810
2020-10-19,0,827300
2020-10-16,30,822742
2020-10-15,328,826143
2020-10-14,318,830519
2020-10-13,386,812246
2020-10-12,701,842435
2020-10-08,679,829045
2020-10-07,0,789825
2020-10-06,114,800297
2020-10-05,789,804953
2020-09-29,0,810488
2020-09-28,196,811338
2020-09-25,1333,803880
2020-09-24,1653,827924
2020-09-23,282,834187
2020-09-22,337,821185
2020-09-21,53,787078
2020-09-18,44,798902
2020-09-17,0,797944
2020-09-16,629,792729
2020-09-15,327,788428
2020-09-14,347,780714
2020-09-11,245,778362
2020-09-10,293,775204
2020-09-09,0,782716
2020-09-08,0,779917
2020-09-07,13,797384
2020-09-04,0,812613
2020-09-03,0,844121
2020-09-02,0,801660
2020-09-01,597,772655
2020-08-31,420,760395
2020-08-28,342,793628
2020-08-27,0,781227
2020-08-26,0,783082
2020-08-25,129,768804
2020-08-24,39,743624
2020-08-21,259,768380
2020-08-20,0,741506
2020-08-19,32,737268
2020-08-18,34,710932
2020-08-14,44,750057
2020-08-13,3,756233
2020-08-12,0,725806
2020-08-11,0,729212
2020-08-10,134,770682
2020-08-07,0,738511
2020-08-06,6241,719470
2020-08-05,0,725494
2020-08-04,13,731837
2020-08-03,56,732962
2020-07-31,0,765941
2020-07-30,0,714641
2020-07-29,44,755978
2020-07-28,22,807786
2020-07-27,1,801824
2020-07-24,1591,807311
2020-07-23,66,814442
2020-07-22,20,797070
2020-07-21,21,859817
2020-07-20,273,829549
2020-07-17,0,812087
2020-07-16,0,781468
2020-07-15,15,753794
2020-07-14,40,765650
2020-07-13,0,830379
2020-07-10,4,823589
2020-07-09,0,806356
2020-07-08,43,931892
2020-07-07,0,935157
2020-07-06,6,937487
2020-07-03,0,948701
2020-07-02,25,929577
2020-07-01,391,947846
2020-06-30,263,984821
2020-06-29,158,1010073
2020-06-26,283,1009472
2020-06-25,205,976584
2020-06-24,78,925049
2020-06-23,416,856641
2020-06-22,13,852746
2020-06-19,89,817639
2020-06-18,0,839614
2020-06-17,433,823069
2020-06-16,839,839076
2020-06-15,77,808356
2020-06-12,1661,666092
2020-06-11,1335,635058
2020-06-10,1,621743
2020-06-09,35,651773
2020-06-08,0,785914
2020-06-05,0,833590
2020-06-04,33,910329
2020-06-03,0,976596
2020-06-02,372,968480
2020-06-01,1100,978075
2020-05-29,2128,1026463
2020-05-28,0,1095775
2020-05-27,0,1077875
2020-05-26,118,1087628
2020-05-25,336,1111326
2020-05-22,294,1117400
2020-05-21,889,1059914
2020-05-20,2,1099522
2020-05-19,288,889349
2020-05-18,753,1167694
2020-05-15,288,1169588
2020-05-14,367,1150791
2020-05-13,177,1158468
2020-05-12,232,1127502
2020-05-11,508,1067930
2020-05-08,987,1006314
2020-05-07,327,1068725
2020-05-06,324,1043971
2020-05-04,319,1039770
2020-04-29,175,1025218
2020-04-28,17,1067208
2020-04-27,368,991419
2020-04-24,56,1012167
2020-04-23,362,1314299
2020-04-22,0,1311154
2020-04-21,35,1110053
2020-04-20,0,1277979
2020-04-17,182,1243760
2020-04-16,267,1238725
2020-04-14,581,1220548
2020-04-13,833,1166214
2020-04-10,413,1151350
2020-04-09,32,1150310
2020-04-08,297,1158837
2020-04-07,490,1133706
2020-04-06,307,1078805
2020-04-03,1241,1102222
2020-04-02,932,1109692
2020-04-01,746,1106851
2020-03-31,125,1053013
2020-03-30,119,1015534
2020-03-27,52,1129873
2020-03-26,120,1089888
2020-03-25,23,1004733
2020-03-24,1451,951263
2020-03-23,206,951955
2020-03-20,0,943920
2020-03-19,290,967242
2020-03-18,0,926105
2020-03-17,3129,974460
2020-03-16,71066,1010265
2020-03-13,184689,929321
2020-03-12,70459,945164
2020-03-11,54139,952761
2020-03-10,15669,968880
2020-03-09,79777,1027033
2020-03-06,92208,984779
2020-03-05,77137,906155
2020-03-04,43028,842698
2020-03-03,104583,821806
2020-03-02,37748,717299
2020-02-28,63543,638607
2020-02-27,89749,609725
2020-02-26,110935,564070
2020-02-25,104096,516539
2020-02-24,20440,542395
2020-02-21,92245,541028
2020-02-20,85745,531767
2020-02-19,82957,517031
2020-02-18,66512,513627
2020-02-17,148305,490136
2020-02-14,122485,497320
2020-02-13,15208,488261
2020-02-12,67532,488837
2020-02-11,19300,501098
2020-02-10,38558,527739
2020-02-07,32019,535565
2020-02-06,30891,543403
2020-02-05,72121,566399
2020-02-04,52132,511505
2020-02-03,20476,480418
2020-01-31,36940,480948
2020-01-30,30419,468912
2020-01-29,39340,483236
2020-01-28,22452,466330
2020-01-23,48314,525822
2020-01-22,10034,515370
2020-01-21,12410,597788
2020-01-20,9565,604421
2020-01-17,7716,609147
2020-01-16,20825,618994
2020-01-15,9970,599510
2020-01-14,21676,601397
2020-01-13,43833,626883
2020-01-10,21227,627291
2020-01-09,20070,580622
2020-01-08,27681,574479
2020-01-07,8577,560944
2020-01-06,19444,583033
2020-01-03,53636,584305
2020-01-02,3110,523835
2019-12-30,13928,533467
2019-12-27,25478,584871
2019-12-26,5135,585171
2019-12-24,4417,585766
2019-12-23,7162,751546
2019-12-20,11087,1252112
2019-12-19,6400,1272063
2019-12-18,19369,1502239
2019-12-17,6026,1742924
2019-12-16,10666,2311534
2019-12-13,10847,2436905
2019-12-12,3464,2517363
2019-12-11,7532,2538774
2019-12-10,31585,2510152
2019-12-09,80118,2563613
2019-12-06,5705,2586880
2019-12-05,26585,2737615
2019-12-04,44725,2977969
2019-12-03,27440,3305983
2019-12-02,10187,3520715
2019-11-29,9156,3750688
2019-11-28,721,3997225
2019-11-27,843,4236274
2019-11-26,7614,4474613
2019-11-25,14043,5158777
2019-11-22,62041,5346802
2019-11-21,34443,5493075
2019-11-20,35632,5667401
2019-11-19,12407,5783983
2019-11-18,3624,5929794
2019-11-15,10857,6111163
2019-11-14,1375,6106967
2019-11-13,16856,6136122
2019-11-12,8031,6132664
2019-11-11,5464,6136202
2019-11-08,20405,6077908
2019-11-07,13761,6099902
2019-11-06,7601,6106965
2019-11-05,11673,6104005
2019-11-04,3850,6036010
2019-11-01,22174,6044020
2019-10-31,8456,6045478
2019-10-30,15814,6037829
2019-10-29,10541,6048245
2019-10-28,9687,6070542
2019-10-25,3917,6061053
2019-10-24,16349,6074982
2019-10-23,8515,6065347
2019-10-22,5911,6078888
2019-10-21,7922,6090456
2019-10-18,17209,6094974
2019-10-17,9404,6091985
2019-10-16,738,6053572
2019-10-15,77330,6051593
2019-10-14,46340,6063062
2019-10-11,21477,6040988
2019-10-10,39146,6010893
2019-10-08,10393,5976809
2019-10-07,14744,5970713
2019-10-04,22361,5970481
2019-10-02,9684,5968165
2019-10-01,3578,5955566
2019-09-30,5984,5980408
2019-09-27,8987,5962787
2019-09-26,9190,5953751
2019-09-25,3499,6070625
2019-09-24,17910,6072643
2019-09-23,23612,6084243
2019-09-20,12102,6086048
2019-09-19,15928,6098853
2019-09-18,5118,6099648
2019-09-17,94510,6104490
2019-09-16,113572,5975559
2019-09-11,127691,5887264
2019-09-10,90003,5811107
2019-09-09,55723,5748528
2019-09-06,72745,5711242
2019-09-05,73386,5656166
2019-09-04,63758,5617129
2019-09-03,65786,5575920
2019-09-02,4634,5499062
2019-08-30,15549,5504644
2019-08-29,60733,5544889
2019-08-28,158082,5524249
2019-08-27,542729,5420376
2019-08-26,112739,5463971
2019-08-23,62337,5393695
2019-08-22,73991,5352145
2019-08-21,45330,5319100
2019-08-20,34717,5242259
2019-08-19,56145,5244382
2019-08-16,77761,5216290
2019-08-14,110209,5166140
2019-08-13,84282,5112989
2019-08-12,65225,5031275
2019-08-09,79560,4960594
2019-08-08,277160,4873191
2019-08-07,155241,4785397
2019-08-06,66354,4692143
2019-08-05,5344,4701445
2019-08-02,30707,4720364
2019-08-01,13239,4703493
2019-07-31,10408,4677214
2019-07-30,4657,4681432
2019-07-29,3941,4693962
2019-07-26,14027,4703924
2019-07-25,3496,4747131
2019-07-24,817,4743214
2019-07-23,7756,4723256
2019-07-22,38752,4746822
2019-07-19,27494,4722075
2019-07-18,42631,4683152
