결산년도,주가,자본총계,매출액,영업이익,당기순익,BPS,PER,EPS,부채율,영익률
21년03월(1Q),"56,200","440,654","36,249","17,468","12,852","106,555","5.85","3,054","1,309.13","9.93"
20년12월(4Q),"43,400","433,615","36,852","7,699","5,766","104,952","5.22","1,388","1,308.33","5.08"
20년09월(3Q),"37,550","421,079","35,788","14,165","11,942","101,844","4.58","2,806","1,337.99","13.45"
20년06월(2Q),"33,950","403,041","36,018","13,905","9,925","97,884","4.44","2,361","1,312.95","12.97"
20년03월(1Q),"34,550","388,095","36,200","10,391","7,389","94,660","4.51","1,754","1,303.99","5.39"
19년12월(4Q),"47,650","391,193","36,272","7,731","5,351","95,405","6.01","1,280","1,225.53","8.38"
19년09월(3Q),"42,700","387,403","36,716","12,482","9,407","94,212","6.01","2,249","1,206.64","9.59"
19년06월(2Q),"45,850","372,023","36,939","13,102","9,915","91,909","6.43","2,371","1,239.11","10.41"
19년03월(1Q),"41,850","358,273","36,464","11,592","8,459","88,284","5.95","2,023","1,269.62","9.40"
18년12월(4Q),"46,500","357,130","36,615","3,881","1,928","87,710","6.35","460","1,242.89","3.52"
18년09월(3Q),"54,200","355,892","35,151","13,282","9,540","87,338","6.62","2,281","1,242.30","14.11"
18년06월(2Q),"52,800","345,935","33,632","13,240","9,468","84,961","6.56","2,264","1,239.38","11.67"
18년03월(1Q),"60,700","336,305","31,948","12,272","9,684","82,659","7.44","2,316","1,242.88","11.98"
17년12월(4Q),"63,400","340,448","31,465","8,469","5,537","83,219","8.01","1,324","1,182.97","7.01"
17년09월(3Q),"56,100","337,272","30,820","11,654","8,974","82,172","7.28","2,147","1,183.26","12.30"
17년06월(2Q),"57,700","328,780","29,641","11,161","10,047","79,817","8.19","2,368","1,184.29","13.90"
17년03월(1Q),"49,000","316,023","27,264","8,868","8,876","76,836","7.95","2,081","1,105.26","9.20"
16년12월(4Q),"42,800","312,614","26,094","-3,374","4,631","75,865","7.84","1,102","1,101.72","-5.54"
16년09월(3Q),"37,850","299,366","24,816","7,214","5,774","78,059","7.18","1,461","1,075.28","10.50"
16년06월(2Q),"32,600","295,837","24,646","6,250","5,954","76,724","6.67","1,502","1,060.09","11.59"
16년03월(1Q),"31,850","291,179","24,663","6,679","5,542","75,111","7.51","1,411","1,053.76","9.53"
15년12월(4Q),"33,150","289,027","25,236","3,460","3,517","74,234","7.54","898","1,038.53","7.51"
15년09월(3Q),"35,250","285,904","25,547","5,413","4,239","73,439","8.76","1,073","1,035.47","7.77"
15년06월(2Q),"36,900","281,965","25,858","3,979","3,385","72,444","8.99","859","1,025.43","7.36"
15년03월(1Q),"39,300","279,301","27,117","5,359","6,132","71,772","9.22","1,566","1,030.52","10.21"
14년12월(4Q),"36,150","275,127","28,654","3,657","2,070","70,700","9.97","525","1,020.78","6.55"
14년09월(3Q),"38,550","271,215","29,221","5,843","4,499","69,695","10.15","1,155","1,012.29","11.29"
14년06월(2Q),"35,200","264,343","29,493","5,254","3,989","67,925","9.39","1,015","1,031.48","9.21"
14년03월(1Q),"37,250","260,146","28,985","4,837","3,592","66,856","11.80","930","1,044.74","9.70"
13년12월(4Q),"42,250","259,823","30,541","4,581","2,700","67,250","12.84","699","1,024.49","8.54"
13년09월(3Q),"37,600","253,599","30,205","5,845","4,266","65,639","13.07","1,104","1,070.98","11.56"
13년06월(2Q),"34,200","249,456","30,803","4,515","1,653","64,567","11.50","423","1,076.87","7.55"
13년03월(1Q),"37,500","250,833","32,020","5,329","4,129","64,390","9.42","1,065","1,042.87","8.59"
12년12월(4Q),"37,900","247,631","34,400","2,737","1,150","63,591","8.46","285","1,053.94","4.55"
12년09월(3Q),"39,700","246,080","35,675","6,018","4,631","63,176","8.34","1,201","1,083.42","9.50"
12년06월(2Q),"36,900","239,935","35,899","7,473","5,534","61,611","7.29","1,428","1,105.46","12.19"
12년03월(1Q),"41,350","234,166","36,127","8,094","6,086","60,133","7.19","1,566","1,116.43","11.69"
11년12월(4Q),"36,300","230,998","36,585","4,351","2,275","59,319","5.91","567","1,101.75","4.21"
11년09월(3Q),"40,350","235,423","35,936","7,875","5,907","58,926","8.60","1,499","1,088.85","14.08"
11년06월(2Q),"50,500","211,914","34,438","11,652","8,309","58,013","14.73","2,116","1,182.52","21.41"
11년03월(1Q),"57,500","209,970","32,603","10,106","7,795","56,484","76.68","1,961","1,168.73","19.72"
10년12월(4Q),"60,000","196,659","33,198","-2,003","-3,254","54,286","158.12","-883","1,215.83","-4.10"
10년09월(3Q),"49,000","","31,892","2,553","1,102","","","235","","5.00"
10년06월(2Q),"47,500","","32,258","-2,913","-1,981","","","-563","","-5.82"
10년03월(1Q),"54,600","","33,171","6,243","6,332","","","1,590","","11.60"
09년12월(4Q),"59,700","178,516","97","201","178","46,206","41.13","46","4.55","31.88"
09년09월(3Q),"60,500","174,348","46","1,737","1,737","45,127","39.18","468","4.66","81.01"
09년06월(2Q),"42,800","160,378","16","1,097","1,099","43,967","15.89","301","6.50","69.51"
09년03월(1Q),"32,950","159,061","35","2,384","2,383","43,606","","653","5.59","91.18"
08년12월(4Q),"33,700","158,286","13","439","439","43,394","","120","4.67","66.13"
