결산년도,주가,자본총계,매출액,영업이익,당기순익,BPS,PER,EPS,부채율,영익률
21년03월(1Q),"1,570,000","49,331","20,367","3,706","2,588","276,933","33.84","14,390","42.86","18.20"
20년12월(4Q),"1,620,000","48,492","20,944","2,563","1,426","272,428","35.99","7,897","40.26","12.24"
20년09월(3Q),"1,448,000","47,569","20,706","3,276","2,317","267,349","32.44","12,823","43.32","15.82"
20년06월(2Q),"1,346,000","45,301","17,832","3,033","2,046","254,796","30.70","11,282","46.13","17.01"
20년03월(1Q),"1,120,000","43,493","18,964","3,337","2,342","244,160","25.27","13,016","50.42","17.60"
19년12월(4Q),"1,261,000","42,371","20,133","2,410","1,338","238,042","28.71","7,512","53.26","11.97"
19년09월(3Q),"1,307,000","41,550","19,649","3,118","2,171","233,402","31.06","12,039","54.98","15.87"
19년06월(2Q),"1,313,000","39,129","18,325","3,015","2,115","219,960","31.61","11,751","47.00","16.45"
19년03월(1Q),"1,417,000","36,831","18,748","3,221","2,258","206,995","35.24","12,614","56.71","17.18"
18년12월(4Q),"1,101,000","35,940","16,985","2,108","1,013","202,222","28.57","5,672","46.80","12.41"
18년09월(3Q),"1,276,000","34,986","17,372","2,775","2,072","196,868","34.11","11,504","48.57","15.98"
18년06월(2Q),"1,396,000","33,130","16,526","2,673","1,874","186,551","38.44","10,422","48.43","16.17"
18년03월(1Q),"1,208,000","31,225","16,592","2,837","1,964","175,820","34.35","10,935","57.04","17.10"
17년12월(4Q),"1,189,000","30,818","14,876","1,851","820","173,108","34.74","4,546","55.06","12.45"
17년09월(3Q),"936,000","30,094","15,708","2,528","1,876","169,062","28.08","10,410","56.08","16.09"
17년06월(2Q),"994,000","28,198","14,881","2,322","1,682","158,507","29.60","9,280","59.48","15.61"
17년03월(1Q),"811,000","26,484","15,586","2,598","1,805","148,599","24.48","9,990","77.60","16.67"
16년12월(4Q),"857,000","26,208","14,573","1,779","671","146,927","26.72","3,656","71.78","12.21"
16년09월(3Q),"955,000","25,733","15,635","2,442","1,921","144,475","28.44","10,657","75.58","15.62"
16년06월(2Q),"1,117,000","24,080","15,539","2,254","1,594","135,284","36.82","8,821","80.78","14.51"
16년03월(1Q),"945,000","22,053","15,194","2,335","1,606","123,974","33.76","8,937","92.42","15.37"
15년12월(4Q),"1,050,000","21,153","13,287","1,474","931","118,986","40.41","5,166","99.24","11.10"
15년09월(3Q),"854,000","20,587","13,868","1,902","1,360","115,889","34.02","7,415","103.79","13.71"
15년06월(2Q),"774,000","18,680","13,110","1,680","1,169","105,402","32.92","6,470","118.69","12.82"
15년03월(1Q),"841,000","17,543","13,019","1,785","1,244","98,920","38.88","6,931","132.84","13.71"
14년12월(4Q),"623,000","17,085","11,759","1,111","765","96,417","31.59","4,286","124.08","9.45"
14년09월(3Q),"507,000","16,637","12,304","1,502","1,047","93,933","27.07","5,822","128.51","12.21"
14년06월(2Q),"455,500","15,779","11,423","1,215","831","89,205","23.54","4,590","138.60","10.63"
14년03월(1Q),"459,500","15,172","11,284","1,283","904","85,806","23.61","5,025","136.27","11.37"
13년12월(4Q),"548,000","14,754","10,266","848","597","83,516","27.17","3,296","132.83","8.26"
13년09월(3Q),"545,000","14,822","11,518","1,455","1,171","83,033","27.48","6,443","140.29","12.64"
13년06월(2Q),"558,000","13,889","10,755","1,202","857","78,086","30.41","4,700","155.45","11.17"
13년03월(1Q),"616,000","13,032","10,723","1,459","1,032","73,504","34.58","5,727","172.52","13.60"
12년12월(4Q),"657,000","12,716","8,897","793","536","71,816","38.30","2,960","117.38","8.91"
12년09월(3Q),"635,000","12,477","10,539","1,313","905","70,509","37.72","4,961","129.26","12.46"
12년06월(2Q),"617,000","11,649","9,809","1,050","763","65,959","38.34","4,167","137.94","10.71"
12년03월(1Q),"595,000","10,801","9,718","1,299","916","61,313","37.97","5,066","160.45","13.37"
11년12월(4Q),"487,500","10,606","8,338","823","478","60,295","32.63","2,641","123.36","9.88"
11년09월(3Q),"533,000","10,256","9,268","1,062","771","58,356","35.69","4,219","130.29","11.46"
11년06월(2Q),"459,000","9,446","8,660","918","684","53,964","31.98","3,744","141.33","10.60"
11년03월(1Q),"411,500","8,771","8,296","899","782","50,254","29.82","4,337","158.74","10.83"
10년12월(4Q),"390,000","8,447","6,905","681","479","48,483","29.96","2,634","130.26","9.86"
10년09월(3Q),"421,000","7,979","7,593","913","664","45,920","35.11","3,638","146.37","12.02"
10년06월(2Q),"348,000","7,375","7,058","782","586","42,573","31.89","3,190","157.70","11.07"
10년03월(1Q),"302,500","6,763","6,710","899","640","39,260","30.92","3,554","171.51","13.40"
09년12월(4Q),"291,000","6,544","5,247","385","293","38,052","33.61","1,609","98.47","7.34"
09년09월(3Q),"264,000","","6,007","735","467","","","2,558","","12.23"
09년06월(2Q),"216,000","","5,489","614","379","","","2,061","","11.19"
09년03월(1Q),"150,500","","5,422","688","441","","","2,428","","12.68"
08년12월(4Q),"190,000","4,847","3,228","248","225","31,355","27.92","1,271","114.60","7.68"
08년09월(3Q),"199,500","4,605","3,563","466","353","29,993","31.80","1,993","136.22","13.08"
08년06월(2Q),"205,000","4,222","3,245","317","250","27,832","36.45","1,413","137.74","9.76"
08년03월(1Q),"170,500","3,956","3,510","504","377","26,331","33.53","2,128","149.10","14.37"
07년12월(4Q),"194,000","3,818","2,952","213","131","25,549","42.82","739","158.41","7.20"
07년09월(3Q),"165,000","3,684","3,020","386","238","24,795","35.23","1,344","91.42","12.79"
07년06월(2Q),"134,000","3,439","2,724","260","155","23,410","36.16","874","86.94","9.56"
07년03월(1Q),"116,000","3,290","3,029","405","279","22,570","34.03","1,574","99.31","13.37"
06년12월(4Q),"123,500","3,185","2,417","153","158","21,977","41.36","892","97.01","6.32"
06년09월(3Q),"74,600","3,022","2,767","287","65","21,058","20.94","366","122.54","10.38"
06년06월(2Q),"81,900","3,652","2,446","184","102","20,687","19.71","577","71.03","7.54"
06년03월(1Q),"68,000","3,555","2,699","311","204","20,104","16.34","1,151","82.98","11.53"
05년12월(4Q),"55,000","3,537","2,144","98","260","20,001","13.56","1,470","74.89","4.56"
05년09월(3Q),"59,900","3,287","2,569","205","170","18,588","23.36","958","100.33","7.98"
05년06월(2Q),"41,000","3,102","2,347","145","103","17,546","17.93","582","104.98","6.17"
05년03월(1Q),"33,100","2,997","2,618","256","186","16,958","15.24","1,048","113.96","9.79"
04년12월(4Q),"27,450","2,934","2,007","26","-4","16,601","13.32","-23","104.90","1.29"
04년09월(3Q),"30,800","2,958","2,468","164","121","16,735","12.42","681","129.71","6.64"
04년06월(2Q),"32,950","2,840","2,468","122","83","16,071","12.77","467","129.72","4.93"
04년03월(1Q),"32,100","2,755","2,727","231","166","15,593","12.03","936","136.23","8.48"
03년12월(4Q),"31,100","2,866","2,379","96","70","16,220","11.42","395","124.57","4.05"
03년09월(3Q),"25,400","2,826","2,725","213","139","15,995","22.07","783","142.27","7.80"
03년06월(2Q),"30,850","2,698","2,608","138","98","15,270","17.23","555","148.08","5.30"
03년03월(1Q),"25,500","2,614","2,859","247","176","14,797","11.64","991","160.14","8.63"
02년12월(4Q),"37,600","2,712","1,770","26","-209","15,349","15.12","-1,178","150.06","1.44"
02년09월(3Q),"40,000","2,933","3,146","374","252","16,599","9.00","1,423","145.47","11.88"
02년06월(2Q),"36,150","2,664","2,959","251","169","15,080","8.52","955","152.85","8.49"
02년03월(1Q),"45,000","2,640","3,077","332","228","14,909","","1,286","162.81","10.79"
01년12월(4Q),"28,900","2,503","2,045","228","138","14,136","9.20","780","158.34","11.14"
01년09월(3Q),"28,000","2,267","2,993","361","216","12,806","","1,220","200.03","12.07"
01년06월(2Q),"29,450","2,070","-11,684","-1,204","-628","11,695","","-3,544","209.77","10.30"
