결산년도,주가,자본총계,매출액,영업이익,당기순익,BPS,PER,EPS,부채율,영익률
21년03월(1Q),"805,000","196,481","96,500","14,081","13,710","240,356","35.04","16,692","127.57","14.59"
20년12월(4Q),"824,000","187,904","89,049","1,186","-3,434","230,896","125.83","-5,148","120.27","1.33"
20년09월(3Q),"654,000","188,206","75,073","9,021","5,704","234,960","61.10","6,544","112.63","12.02"
20년06월(2Q),"490,500","178,424","69,352","5,716","4,191","226,392","84.55","4,883","116.21","8.24"
20년03월(1Q),"305,000","174,161","67,292","2,059","363","221,772","170.60","269","113.14","3.06"
19년12월(4Q),"317,500","173,838","70,541","-513","-568","221,764","79.31","-993","95.73","-0.73"
19년09월(3Q),"299,500","174,908","68,989","3,488","1,372","223,948","45.86","1,642","91.71","5.06"
19년06월(2Q),"354,500","172,789","67,784","2,470","838","221,979","38.22","870","87.72","3.64"
19년03월(1Q),"366,000","171,993","66,217","2,810","2,119","220,843","25.23","2,484","81.47","4.24"
18년12월(4Q),"347,000","173,221","73,427","2,896","1,266","222,761","18.45","1,535","67.09","3.94"
18년09월(3Q),"365,500","172,573","72,349","6,024","3,466","222,034","17.15","4,387","64.68","8.33"
18년06월(2Q),"333,500","170,087","70,519","7,033","4,934","219,069","14.14","6,103","61.09","9.97"
18년03월(1Q),"385,500","165,102","65,536","6,508","5,527","212,898","15.51","6,788","59.99","9.93"
17년12월(4Q),"405,000","163,386","64,322","6,150","3,381","211,079","16.30","4,034","53.26","9.56"
17년09월(3Q),"392,000","161,218","63,971","7,897","5,455","208,486","15.93","6,655","47.05","12.34"
17년06월(2Q),"291,000","155,346","63,821","7,269","5,903","201,428","13.23","7,372","45.94","11.39"
17년03월(1Q),"294,000","149,058","64,867","7,969","5,481","193,393","14.96","6,794","48.74","12.29"
16년12월(4Q),"261,000","140,510","55,117","4,617","2,700","188,807","15.06","3,638","45.81","8.38"
16년09월(3Q),"241,500","136,723","50,543","4,600","2,974","184,077","14.60","4,000","46.57","9.10"
16년06월(2Q),"260,000","134,638","52,192","6,125","3,755","181,305","15.04","5,100","47.26","11.73"
16년03월(1Q),"327,500","131,063","48,741","4,577","3,381","175,999","19.36","4,598","43.90","9.39"
15년12월(4Q),"328,500","131,035","50,406","3,520","2,070","176,007","21.06","2,846","41.78","6.98"
15년09월(3Q),"285,500","129,795","51,777","5,463","3,424","174,257","20.04","4,742","42.13","10.55"
15년06월(2Q),"278,500","126,123","50,732","5,634","3,530","169,038","21.79","4,729","45.46","11.11"
15년03월(1Q),"226,000","122,255","49,150","3,618","2,462","163,883","20.30","3,285","48.44","7.36"
14년12월(4Q),"181,000","122,659","53,723","2,316","1,093","164,485","15.41","1,490","47.79","4.31"
14년09월(3Q),"255,500","120,959","56,639","3,575","2,319","162,443","20.20","3,279","50.97","6.31"
14년06월(2Q),"296,000","118,337","58,688","3,596","2,267","158,813","20.95","3,076","49.27","6.13"
14년03월(1Q),"254,000","116,937","56,728","3,621","2,860","156,750","15.45","3,899","56.39","6.38"
13년12월(4Q),"299,500","117,257","56,406","3,164","1,769","157,137","17.48","2,392","48.79","5.61"
13년09월(3Q),"307,500","115,677","58,651","5,163","3,523","154,985","16.48","4,760","52.13","8.80"
13년06월(2Q),"253,000","113,132","59,172","5,015","4,010","151,232","12.63","5,390","58.74","8.48"
13년03월(1Q),"268,000","108,689","57,206","4,089","3,404","145,352","13.58","4,589","61.11","7.15"
12년12월(4Q),"330,000","107,654","56,808","3,639","2,923","144,043","16.32","3,922","54.02","6.41"
12년09월(3Q),"331,500","105,425","58,335","6,005","4,593","141,002","15.50","6,125","60.49","10.29"
12년06월(2Q),"292,000","101,394","59,956","4,991","3,739","135,599","13.18","5,096","57.52","8.32"
12년03월(1Q),"370,000","97,858","57,531","4,469","3,809","130,492","14.58","5,080","67.49","7.77"
11년12월(4Q),"317,500","97,077","55,989","5,101","3,770","129,485","10.97","5,080","57.46","9.11"
11년09월(3Q),"321,000","93,894","58,859","7,164","5,116","125,179","10.87","6,902","59.13","12.17"
11년06월(2Q),"488,000","87,655","57,000","7,613","6,245","116,952","15.95","8,308","62.08","13.36"
11년03월(1Q),"460,000","81,848","54,909","8,308","6,566","108,862","14.87","8,640","70.15","15.13"
10년12월(4Q),"391,000","78,438","49,989","5,908","4,373","104,451","13.39","5,681","61.57","11.82"
10년09월(3Q),"333,500","73,972","50,214","7,744","5,991","98,453","12.57","7,964","62.96","15.42"
10년06월(2Q),"309,500","68,459","50,280","8,300","6,456","91,282","11.99","8,644","75.15","16.51"
10년03월(1Q),"240,500","61,633","44,231","6,447","5,177","81,771","10.27","6,916","82.63","14.58"
09년12월(4Q),"228,500","59,267","40,464","3,576","2,231","78,819","11.57","3,016","77.68","8.84"
09년09월(3Q),"219,000","","42,946","7,328","5,422","","","7,240","","17.06"
09년06월(2Q),"139,500","","38,296","6,611","4,747","","","6,248","","17.26"
09년03월(1Q),"90,000","","33,503","4,899","2,992","","","3,435","","14.62"
08년12월(4Q),"71,000","48,897","13,941","413","616","58,459","8.45","734","64.35","2.96"
08년09월(3Q),"91,900","47,764","40,648","4,429","2,970","57,112","10.16","3,540","78.18","10.90"
08년06월(2Q),"100,000","44,068","37,380","4,814","3,855","52,804","11.64","4,595","72.80","12.88"
08년03월(1Q),"74,000","39,948","34,481","3,788","2,584","47,893","9.81","3,080","80.64","10.99"
07년12월(4Q),"89,600","38,782","30,031","2,213","1,259","46,504","13.90","1,571","81.78","7.37"
07년09월(3Q),"96,000","31,609","27,666","2,525","2,107","43,565","15.44","2,883","97.45","9.13"
07년06월(2Q),"78,100","29,484","26,449","1,629","2,366","40,657","14.58","3,237","106.21","6.16"
07년03월(1Q),"47,350","26,706","23,807","1,269","1,130","36,857","13.47","1,546","122.51","5.33"
06년12월(4Q),"43,100","26,172","24,270","1,128","861","36,127","14.05","1,178","121.86","4.65"
06년09월(3Q),"37,600","25,504","24,825","1,071","1,210","35,212","11.37","1,656","129.29","4.31"
06년06월(2Q),"33,000","24,289","22,678","482","453","33,550","11.21","620","127.72","2.13"
06년03월(1Q),"44,150","23,955","21,251","658","664","33,093","13.17","908","136.57","3.10"
05년12월(4Q),"57,000","24,385","19,108","1,026","1,111","33,681","14.80","1,521","129.38","5.37"
05년09월(3Q),"44,900","23,362","18,498","921","833","32,281","11.23","1,140","143.17","4.98"
05년06월(2Q),"37,800","22,438","17,957","856","876","31,017","7.99","1,198","152.07","4.77"
05년03월(1Q),"41,000","21,949","18,689","1,414","1,182","30,055","8.49","1,618","163.52","7.57"
04년12월(4Q),"41,250","21,951","19,028","849","1,265","30,068","7.99","1,731","158.73","4.46"
04년09월(3Q),"43,700","20,881","18,614","1,350","1,594","28,603","9.11","2,181","163.03","7.25"
04년06월(2Q),"39,100","19,301","17,541","1,339","977","26,442","9.11","1,336","173.23","7.63"
04년03월(1Q),"53,700","18,299","16,091","1,691","1,528","25,114","13.54","2,091","177.18","10.51"
03년12월(4Q),"55,000","18,146","15,170","1,198","887","24,905","15.79","1,213","162.41","7.90"
03년09월(3Q),"45,800","17,173","13,498","1,081","1,071","23,511","15.17","1,465","162.15","8.01"
03년06월(2Q),"48,000","16,180","14,341","954","637","22,153","16.31","871","170.63","6.65"
03년03월(1Q),"38,500","15,654","13,715","1,561","1,027","21,424","11.31","1,405","161.68","11.38"
02년12월(4Q),"40,600","15,672","11,042","701","404","21,449","12.22","553","145.41","6.35"
02년09월(3Q),"32,500","15,422","13,909","1,578","991","21,107","9.73","1,357","156.40","11.34"
02년06월(2Q),"43,500","14,393","13,558","1,427","1,116","19,699","14.97","1,527","165.14","10.52"
02년03월(1Q),"43,700","14,085","12,638","1,458","941","19,274","31.63","1,288","173.54","11.54"
01년12월(4Q),"21,750","12,723","11,753","856","423","17,410","17.07","578","185.81","7.28"
01년09월(3Q),"14,000","12,378","12,088","1,012","540","16,939","","739","221.01","8.37"
01년06월(2Q),"17,300","12,048","-2,050","-576","-468","16,487","","-640","230.76","28.12"
