결산년도,주가,자본총계,매출액,영업이익,당기순익,BPS,PER,EPS,부채율,영익률
21년03월(1Q),"377,000","224,332","14,991","2,888","153,145","141,557","3.84","93,207","35.65","19.27"
20년12월(4Q),"292,500","82,551","8,862","4,012","3,841","52,245","47.97","2,585","106.10","45.28"
20년09월(3Q),"296,500","74,117","13,608","2,917","2,353","47,886","59.03","1,494","108.49","21.44"
20년06월(2Q),"267,000","79,579","19,025","2,306","907","50,405","62.24","897","84.41","12.12"
20년03월(1Q),"170,000","74,552","11,547","2,918","1,349","48,743","43.89","1,123","84.65","25.27"
19년12월(4Q),"186,500","65,039","1,192","5,340","1,962","43,659","52.72","1,509","89.11","447.77"
19년09월(3Q),"157,000","64,375","10,959","2,865","853","42,911","56.90","761","83.40","26.14"
19년06월(2Q),"114,000","62,696","16,303","1,283","278","41,759","43.87","481","82.41","7.87"
19년03월(1Q),"124,000","60,485","15,109","2,062","876","40,487","33.32","787","80.15","13.65"
18년12월(4Q),"122,000","59,491","15,165","2,133","1,240","39,663","30.99","731","66.09","14.06"
18년09월(3Q),"716,000","58,760","13,977","2,217","684","39,201","33.35","600","68.73","15.86"
18년06월(2Q),"763,000","56,834","13,636","2,506","2,818","30,774","30.58","1,603","50.07","18.38"
18년03월(1Q),"792,000","53,779","13,091","2,570","1,538","37,040","35.68","1,002","55.59","19.63"
17년12월(4Q),"870,000","53,052","12,659","2,911","1,720","36,008","37.16","1,093","51.16","22.99"
17년09월(3Q),"745,000","51,438","12,007","3,121","2,158","34,857","31.96","1,299","48.14","25.99"
17년06월(2Q),"838,000","49,479","11,296","2,852","1,714","33,895","36.89","1,051","45.55","25.25"
17년03월(1Q),"855,000","42,699","10,822","2,908","2,109","30,921","35.75","1,247","50.86","26.87"
16년12월(4Q),"775,000","41,296","10,850","2,903","1,828","30,038","34.14","1,072","54.27","26.75"
16년09월(3Q),"883,000","42,276","10,131","2,823","1,980","29,155","40.80","1,180","41.81","27.87"
16년06월(2Q),"710,000","26,341","9,873","2,727","2,132","21,439","36.78","1,290","87.06","27.62"
16년03월(1Q),"637,000","23,886","9,373","2,568","1,650","20,125","38.30","1,004","89.45","27.40"
15년12월(4Q),"658,000","22,696","8,914","2,252","1,415","19,305","41.87","861","93.25","25.27"
15년09월(3Q),"513,000","22,708","8,405","2,213","1,168","19,181","33.37","712","83.07","26.32"
15년06월(2Q),"634,000","20,837","7,814","1,894","1,241","18,045","38.44","755","82.63","24.23"
15년03월(1Q),"671,000","19,209","7,406","1,944","1,346","17,054","48.14","820","85.76","26.25"
14년12월(4Q),"712,000","17,974","7,468","1,939","1,297","16,310","51.72","793","88.85","25.96"
14년09월(3Q),"807,000","18,893","7,000","1,890","1,537","15,354","70.52","936","77.95","27.00"
14년06월(2Q),"835,000","17,109","6,859","1,891","394","14,268","16.05","244","78.90","27.57"
14년03월(1Q),"774,000","15,928","6,257","1,863","1,289","13,549","15.77","785","80.50","29.77"
13년12월(4Q),"724,000","14,753","6,006","1,418","541","12,833","15.96","327","82.86","23.62"
13년09월(3Q),"557,000","14,284","5,724","1,005","15,612","12,573","12.64","8,203","74.16","17.57"
13년06월(2Q),"290,500","-2,790","5,710","1,380","1,230","2,659","37.99","519","","24.18"
13년03월(1Q),"277,000","20,269","5,151","1,261","1,570","12,238","36.89","653","54.79","24.48"
12년12월(4Q),"227,000","19,036","3,374","1,009","1,676","11,727","31.40","700","53.78","29.91"
12년09월(3Q),"290,500","19,384","4,438","1,185","1,268","11,403","44.89","529","49.05","26.71"
12년06월(2Q),"250,000","18,129","4,446","1,289","1,142","10,885","40.73","476","52.68","28.99"
