통계표,4.1.1 시장금리(일별),
항목명1,국고채(3년),
단위,연%,
변환,원자료,
2016-04-01,1.448,
2016-04-04,1.44,
2016-04-05,1.453,
2016-04-06,1.458,
2016-04-07,1.468,
2016-04-08,1.463,
2016-04-11,1.466,
2016-04-12,1.465,
2016-04-14,1.502,
2016-04-15,1.494,
2016-04-18,1.507,
2016-04-19,1.501,
2016-04-20,1.474,
2016-04-21,1.483,
2016-04-22,1.472,
2016-04-25,1.455,
2016-04-26,1.452,
2016-04-27,1.456,
2016-04-28,1.45,
2016-04-29,1.453,
2016-05-02,1.465,
2016-05-03,1.445,
2016-05-04,1.434,
2016-05-09,1.413,
2016-05-10,1.412,
2016-05-11,1.417,
2016-05-12,1.422,
2016-05-13,1.442,
2016-05-16,1.443,
2016-05-17,1.455,
2016-05-18,1.472,
2016-05-19,1.492,
2016-05-20,1.471,
2016-05-23,1.467,
2016-05-24,1.444,
2016-05-25,1.461,
2016-05-26,1.468,
2016-05-27,1.468,
2016-05-30,1.503,
2016-05-31,1.496,
2016-06-01,1.438,
2016-06-02,1.443,
2016-06-03,1.423,
2016-06-07,1.405,
2016-06-08,1.378,
2016-06-09,1.345,
2016-06-10,1.322,
2016-06-13,1.311,
2016-06-14,1.337,
2016-06-15,1.339,
2016-06-16,1.318,
2016-06-17,1.334,
2016-06-20,1.359,
2016-06-21,1.343,
2016-06-22,1.355,
2016-06-23,1.337,
2016-06-24,1.249,
2016-06-27,1.236,
2016-06-28,1.248,
2016-06-29,1.238,
2016-06-30,1.247,
2016-07-01,1.21,
2016-07-04,1.224,
2016-07-05,1.217,
2016-07-06,1.203,
2016-07-07,1.208,
2016-07-08,1.216,
2016-07-11,1.213,
2016-07-12,1.217,
2016-07-13,1.211,
2016-07-14,1.205,
2016-07-15,1.221,
2016-07-18,1.229,
2016-07-19,1.227,
2016-07-20,1.221,
2016-07-21,1.233,
2016-07-22,1.227,
2016-07-25,1.225,
2016-07-26,1.22,
2016-07-27,1.222,
2016-07-28,1.203,
2016-07-29,1.216,
2016-08-01,1.212,
2016-08-02,1.212,
2016-08-03,1.247,
2016-08-04,1.238,
2016-08-05,1.225,
2016-08-08,1.246,
2016-08-09,1.247,
2016-08-10,1.215,
2016-08-11,1.222,
2016-08-12,1.23,
2016-08-16,1.219,
2016-08-17,1.233,
2016-08-18,1.228,
2016-08-19,1.231,
2016-08-22,1.232,
2016-08-23,1.228,
2016-08-24,1.229,
2016-08-25,1.236,
2016-08-26,1.241,
2016-08-29,1.272,
2016-08-30,1.283,
2016-08-31,1.308,
2016-09-01,1.333,
2016-09-02,1.326,
2016-09-05,1.307,
2016-09-06,1.3,
2016-09-07,1.278,
2016-09-08,1.288,
2016-09-09,1.328,
2016-09-12,1.356,
2016-09-13,1.35,
2016-09-19,1.345,
2016-09-20,1.336,
2016-09-21,1.327,
2016-09-22,1.296,
2016-09-23,1.303,
2016-09-26,1.308,
2016-09-27,1.305,
2016-09-28,1.304,
2016-09-29,1.297,
2016-09-30,1.247,
2016-10-04,1.276,
2016-10-05,1.316,
2016-10-06,1.321,
2016-10-07,1.326,
2016-10-10,1.335,
2016-10-11,1.373,
2016-10-12,1.353,
2016-10-13,1.323,
2016-10-14,1.319,
2016-10-17,1.35,
2016-10-18,1.353,
2016-10-19,1.352,
2016-10-20,1.354,
2016-10-21,1.381,
2016-10-24,1.385,
2016-10-25,1.398,
2016-10-26,1.405,
2016-10-27,1.418,
2016-10-28,1.438,
2016-10-31,1.438,
2016-11-01,1.451,
2016-11-02,1.436,
2016-11-03,1.428,
2016-11-04,1.431,
2016-11-07,1.426,
2016-11-08,1.425,
2016-11-09,1.402,
2016-11-10,1.465,
2016-11-11,1.508,
2016-11-14,1.61,
2016-11-15,1.635,
2016-11-16,1.689,
2016-11-17,1.713,
2016-11-18,1.736,
2016-11-21,1.725,
2016-11-22,1.735,
2016-11-23,1.775,
2016-11-24,1.811,
2016-11-25,1.811,
2016-11-28,1.764,
2016-11-29,1.709,
2016-11-30,1.71,
2016-12-01,1.726,
2016-12-02,1.745,
2016-12-05,1.727,
2016-12-06,1.737,
2016-12-07,1.736,
2016-12-08,1.714,
2016-12-09,1.735,
2016-12-12,1.734,
2016-12-13,1.676,
2016-12-14,1.644,
2016-12-15,1.697,
2016-12-16,1.688,
2016-12-19,1.694,
2016-12-20,1.714,
2016-12-21,1.687,
2016-12-22,1.657,
2016-12-23,1.665,
2016-12-26,1.669,
2016-12-27,1.654,
2016-12-28,1.643,
2016-12-29,1.638,
2016-12-30,1.638,
2017-01-02,1.638,
2017-01-03,1.617,
2017-01-04,1.63,
2017-01-05,1.607,
2017-01-06,1.626,
2017-01-09,1.663,
2017-01-10,1.647,
2017-01-11,1.653,
2017-01-12,1.624,
2017-01-13,1.635,
2017-01-16,1.633,
2017-01-17,1.628,
2017-01-18,1.649,
2017-01-19,1.677,
2017-01-20,1.655,
2017-01-23,1.64,
2017-01-24,1.628,
2017-01-25,1.647,
