결산년도,주가,자본총계,매출액,영업이익,당기순익,BPS,PER,EPS,부채율,영익률
21년03월(1Q),"124,500","337,062","78,396","3,026","8,867","173,173","14.83","4,621","64.99","3.86"
20년12월(4Q),"138,000","329,455","81,823","2,564","2,699","169,260","25.24","1,244","64.91","3.13"
20년09월(3Q),"105,000","271,016","78,503","2,155","3,234","138,420","17.59","1,539","72.25","2.75"
20년06월(2Q),"116,000","252,494","72,233","2,381","2,207","128,712","20.27","997","77.63","3.30"
20년03월(1Q),"89,600","235,870","69,601","1,470","3,466","119,304","15.26","1,685","79.79","2.11"
19년12월(4Q),"108,500","266,921","76,979","3,247","3,531","135,945","19.77","1,744","71.98","4.22"
19년09월(3Q),"89,700","248,278","77,346","2,163","2,650","126,263","12.41","1,293","74.59","2.80"
19년06월(2Q),"95,700","246,626","79,720","2,207","2,074","125,512","12.92","1,149","80.27","2.77"
19년03월(1Q),"107,000","241,157","73,571","1,052","2,224","122,586","13.14","1,303","85.82","1.43"
18년12월(4Q),"105,500","225,489","79,711","2,428","8,046","114,256","11.78","3,481","88.06","3.05"
18년09월(3Q),"129,500","242,155","77,805","2,738","2,357","123,671","20.61","1,472","90.42","3.52"
18년06월(2Q),"116,500","237,600","79,277","3,781","3,321","121,021","20.80","1,887","95.69","4.77"
18년03월(1Q),"140,000","250,195","74,763","2,092","3,759","127,485","32.28","2,113","93.48","2.80"
17년12월(4Q),"126,000","251,513","77,649","2,832","524","127,899","37.68","813","95.02","3.65"
17년09월(3Q),"135,000","251,711","74,926","2,101","1,314","127,342","35.97","789","90.18","2.80"
17년06월(2Q),"148,000","244,374","73,192","2,506","1,097","123,409","38.46","622","93.06","3.42"
17년03월(1Q),"127,500","220,717","67,023","1,374","1,876","111,019","31.60","1,119","99.44","2.05"
16년12월(4Q),"125,500","211,057","79,434","2,108","2,583","105,657","223.65","1,223","110.65","2.65"
16년09월(3Q),"149,000","181,069","66,215","1,867","1,446","96,028","","883","122.90","2.82"
16년06월(2Q),"123,000","171,315","70,507","1,768","1,346","90,669","9.06","810","136.83","2.51"
16년03월(1Q),"143,000","173,218","64,870","-4,348","-5,166","89,151","10.49","-2,355","136.28","-6.70"
15년12월(4Q),"140,000","183,139","72,211","-891","-1,617","93,863","7.83","-732","131.31","-1.23"
15년09월(3Q),"146,500","174,312","35,392","812","28,623","91,946","6.90","18,994","125.27","2.29"
15년06월(2Q),"177,500","50,077","13,115","391","-264","42,213","724.96","-193","75.18","2.98"
15년03월(1Q),"149,500","47,119","12,728","60","114","40,020","228.06","86","78.05","0.47"
14년12월(4Q),"158,000","52,853","15,146","820","287","44,266","43.50","227","79.96","5.41"
