결산년도,주가,자본총계,매출액,영업이익,당기순익,BPS,PER,EPS,부채율,영익률
21년03월(1Q),"748,000","46,599","2,608","743","610","70,428","186.55","922","39.04","28.49"
20년12월(4Q),"826,000","45,988","3,753","926","962","69,505","226.80","1,454","39.69","24.67"
20년09월(3Q),"690,000","44,988","2,746","565","561","67,994","128.47","848","36.42","20.59"
20년06월(2Q),"775,000","44,432","3,077","811","520","67,153","149.31","786","35.78","26.36"
20년03월(1Q),"482,000","43,916","2,072","626","367","66,373","114.71","554","35.37","30.20"
19년12월(4Q),"433,000","27,377","3,133","1,070","776","41,377","577.17","1,172","39.69","34.14"
19년09월(3Q),"307,500","41,474","1,848","236","214","62,682","70.31","323","39.49","12.77"
19년06월(2Q),"320,000","41,031","781","-154","-124","62,014","87.85","-188","42.00","-19.76"
19년03월(1Q),"319,500","41,165","1,254","-234","-368","62,215","90.37","-557","43.03","-18.66"
18년12월(4Q),"386,500","41,555","1,783","115","3,173","62,805","114.11","4,795","43.92","6.45"
18년09월(3Q),"534,000","38,424","1,011","105","-270","58,073","","-408","93.09","10.35"
18년06월(2Q),"417,000","38,700","1,254","237","-195","58,490","","-295","92.55","18.91"
18년03월(1Q),"487,000","38,876","1,310","100","-467","58,757","","-705","86.52","7.63"
17년12월(4Q),"371,000","39,765","1,663","506","-101","60,099","","-153","80.64","30.42"
17년09월(3Q),"337,500","39,912","1,275","205","-317","60,321","","-479","78.10","16.06"
17년06월(2Q),"292,000","40,228","632","-85","-221","60,799","","-334","76.87","-13.42"
17년03월(1Q),"173,000","40,437","1,076","34","-331","61,115","","-500","78.52","3.17"
16년12월(4Q),"151,000","40,824","1,056","-7","-570","61,700","","-925","84.53","-0.67"
,"","","","","","","","","",""
,"","","","","","","","","",""
