결산년도,주가,자본총계,매출액,영업이익,당기순익,BPS,PER,EPS,부채율,영익률
21년03월(1Q),"81,400","2,742,686","653,885","93,829","71,417","39,126","19.54","1,044","43.23","14.35"
20년12월(4Q),"81,000","2,759,480","615,515","90,470","66,071","39,406","21.09","949","37.07","14.70"
20년09월(3Q),"58,200","2,761,362","669,642","123,532","93,607","39,446","15.89","1,364","36.09","18.45"
20년06월(2Q),"52,800","2,698,078","529,661","81,463","55,551","38,534","16.52","808","32.67","15.38"
20년03월(1Q),"47,750","2,663,877","553,252","64,473","48,849","38,053","15.24","720","34.19","11.65"
19년12월(4Q),"55,800","2,628,804","598,848","71,603","52,270","37,528","17.63","770","34.12","11.96"
19년09월(3Q),"49,050","2,634,422","620,035","77,779","62,877","37,600","13.73","899","34.14","12.54"
19년06월(2Q),"47,000","2,577,470","561,271","65,971","51,806","36,789","10.48","746","33.05","11.75"
19년03월(1Q),"44,650","2,532,152","523,855","62,333","50,436","36,142","8.54","752","36.27","11.90"
18년12월(4Q),"38,700","2,477,532","592,651","108,006","84,622","35,342","6.42","1,163","36.97","18.22"
18년09월(3Q),"46,450","2,421,032","654,600","175,749","131,507","32,685","7.17","1,771","39.28","26.85"
18년06월(2Q),"46,650","2,331,248","584,827","148,690","110,434","31,483","7.53","1,500","36.70","25.42"
18년03월(1Q),"2,461,000","2,232,599","605,637","156,422","116,885","30,146","8.06","1,583","39.96","25.83"
17년12월(4Q),"2,548,000","2,144,914","659,784","151,470","122,551","28,971","9.40","1,629","40.68","22.96"
17년09월(3Q),"2,564,000","2,106,913","620,489","145,332","111,934","28,305","11.03","1,487","40.76","23.42"
17년06월(2Q),"2,377,000","2,007,057","610,005","140,665","110,539","26,828","12.81","1,411","38.31","23.06"
17년03월(1Q),"2,060,000","1,898,180","505,475","98,984","76,844","24,184","13.58","929","39.20","19.58"
16년12월(4Q),"1,802,000","1,929,630","533,317","92,208","70,880","24,340","13.18","858","35.87","17.29"
16년09월(3Q),"1,598,000","1,795,364","478,156","52,001","45,379","22,708","14.17","542","36.17","10.88"
16년06월(2Q),"1,425,000","1,818,425","509,371","81,440","58,474","22,806","12.19","708","34.16","15.99"
16년03월(1Q),"1,312,000","1,783,262","497,823","66,758","52,528","22,106","11.43","630","35.28","13.41"
15년12월(4Q),"1,260,000","1,790,598","533,155","61,428","32,235","21,903","11.47","381","35.25","11.52"
15년09월(3Q),"1,134,000","1,807,286","516,826","73,934","54,586","21,647","9.30","624","36.43","14.31"
15년06월(2Q),"1,268,000","1,739,366","485,375","68,979","57,523","20,873","11.02","661","33.20","14.21"
15년03월(1Q),"1,441,000","1,676,193","471,179","59,794","46,258","20,143","12.19","531","35.58","12.69"
14년12월(4Q),"1,327,000","1,680,882","527,301","52,884","53,468","20,056","9.78","621","37.08","10.03"
14년09월(3Q),"1,184,000","1,634,677","474,473","40,605","42,223","19,399","8.05","486","41.77","8.56"
14년06월(2Q),"1,322,000","1,595,135","523,532","71,873","62,508","18,941","7.77","726","40.88","13.73"
14년03월(1Q),"1,343,000","1,555,617","536,753","84,888","75,744","18,479","7.53","880","44.83","15.82"
13년12월(4Q),"1,372,000","1,500,160","592,766","83,113","73,013","17,841","7.83","849","42.70","14.02"
13년09월(3Q),"1,367,000","1,444,388","590,835","101,636","82,447","17,226","7.90","946","45.95","17.20"
13년06월(2Q),"1,342,000","1,383,795","574,644","95,307","77,738","16,526","8.20","890","47.25","16.59"
13년03월(1Q),"1,527,000","1,288,056","528,681","87,795","71,549","15,456","10.27","820","48.16","16.61"
12년12월(4Q),"1,522,000","1,214,802","560,588","88,373","70,385","14,629","11.17","805","49.05","15.76"
