결산년도,주가,자본총계,매출액,영업이익,당기순익,BPS,PER,EPS,부채율,영익률
21년03월(1Q),"155,000","23,337","4,672","341","398","29,588","192.71","533","47.76","7.31"
20년12월(4Q),"104,000","10,236","4,499","209","158","14,962","235.21","238","103.99","4.64"
20년09월(3Q),"83,800","10,099","3,887","194","69","14,747","184.06","102","104.31","4.99"
20년06월(2Q),"75,100","9,895","3,402","41","-72","14,659","91.19","-109","114.53","1.20"
20년03월(1Q),"43,800","9,977","3,875","160","142","14,778","33.38","211","68.39","4.12"
19년12월(4Q),"49,250","10,063","3,869","232","149","14,914","30.32","223","71.93","6.01"
19년09월(3Q),"44,150","9,924","3,717","280","300","14,702","23.14","447","32.81","7.52"
19년06월(2Q),"53,600","9,617","3,698","167","234","14,248","26.26","350","30.25","4.52"
19년03월(1Q),"60,200","7,682","3,553","219","329","11,724","27.39","508","32.96","6.17"
18년12월(4Q),"63,700","7,581","3,659","292","320","11,572","29.31","488","25.00","7.99"
18년09월(3Q),"73,000","7,323","3,462","331","372","11,177","33.28","574","26.23","9.55"
18년06월(2Q),"44,050","6,959","3,346","209","321","10,615","21.18","494","28.13","6.25"
18년03월(1Q),"47,450","6,636","3,369","231","315","10,124","25.75","485","27.52","6.85"
17년12월(4Q),"39,800","6,522","3,100","204","330","9,949","23.37","507","28.16","6.57"
17년09월(3Q),"29,650","6,224","3,072","260","303","9,483","19.42","467","26.19","8.48"
17년06월(2Q),"15,350","5,904","2,941","270","176","9,013","11.58","271","23.41","9.18"
17년03월(1Q),"15,350","5,716","2,859","305","230","8,725","14.65","354","29.23","10.68"
16년12월(4Q),"12,000","5,694","2,867","311","221","8,684","16.70","341","27.13","10.86"
16년09월(3Q),"11,650","5,426","2,818","232","183","8,280","19.65","278","25.45","8.25"
16년06월(2Q),"10,350","5,281","2,712","187","12","8,020","20.60","9","29.37","6.90"
16년03월(1Q),"11,200","5,286","2,780","123","30","8,037","25.59","46","33.91","4.41"
15년12월(4Q),"13,700","5,382","2,930","187","142","8,185","24.09","223","33.31","6.40"
15년09월(3Q),"11,950","5,223","2,988","251","122","7,934","20.03","194","34.36","8.38"
15년06월(2Q),"11,600","5,087","3,031","-35","-38","7,726","16.13","-51","36.33","-1.16"
15년03월(1Q),"140,700","5,124","3,263","157","95","7,779","13.31","169","40.91","4.82"
14년12월(4Q),"140,100","5,148","3,514","209","169","7,795","11.74","249","40.17","5.96"
14년09월(3Q),"143,900","4,966","3,412","262","202","7,534","12.33","309","41.21","7.68"
14년06월(2Q),"159,000","4,765","3,412","240","172","7,231","14.10","266","42.53","7.03"
14년03월(1Q),"128,100","4,632","3,373","238","190","7,017","11.55","297","42.51","7.07"
13년12월(4Q),"125,300","4,524","3,901","196","142","6,848","12.98","224","39.34","5.03"
13년09월(3Q),"136,600","4,388","3,265","228","176","6,632","13.58","272","36.63","6.99"
13년06월(2Q),"117,600","4,235","3,010","186","158","6,388","11.44","249","45.44","6.19"
13년03월(1Q),"125,000","4,033","3,123","132","104","6,107","11.28","162","49.79","4.22"
12년12월(4Q),"132,500","3,983","3,216","230","170","6,078","10.68","263","35.69","7.16"
12년09월(3Q),"153,600","3,798","3,197","233","194","5,864","11.10","300","44.69","7.30"
12년06월(2Q),"135,200","3,616","3,270","268","218","5,582","9.24","336","46.80","8.20"
12년03월(1Q),"143,000","3,403","3,249","197","188","5,253","9.39","291","43.66","6.07"
11년12월(4Q),"183,500","3,289","","","","5,047","","","49.72",""
11년09월(3Q),"193,900","3,024","2,943","306","243","4,668","14.21","375","46.12","10.41"
11년06월(2Q),"165,000","2,785","2,946","334","254","4,300","13.38","392","51.57","11.35"
11년03월(1Q),"142,500","2,545","2,796","240","185","3,929","13.51","286","55.62","8.58"
10년12월(4Q),"149,500","2,454","","","","3,751","","","54.62",""
10년09월(3Q),"139,900","","1,976","210","163","","","252","","10.63"
10년06월(2Q),"92,500","","1,663","182","145","","","225","","10.96"
10년03월(1Q),"59,000","","1,608","138","115","","","178","","8.56"
09년12월(4Q),"50,100","1,831","1,585","124","100","2,826","9.21","155","40.62","7.83"
09년09월(3Q),"41,500","1,731","1,523","138","110","2,672","8.50","171","34.90","9.07"
09년06월(2Q),"46,700","1,624","1,327","97","73","2,507","10.42","112","40.43","7.34"
09년03월(1Q),"39,750","1,559","1,309","55","47","2,406","9.25","73","39.81","4.22"
08년12월(4Q),"35,900","1,547","1,522","103","66","2,389","8.67","103","50.85","6.77"
08년09월(3Q),"38,850","1,479","1,085","95","86","2,283","10.77","133","42.62","8.72"
