결산년도,주가,자본총계,매출액,영업이익,당기순익,BPS,PER,EPS,부채율,영익률
21년03월(1Q),"23,150","702,130","150,753","5,716","1,184","107,203","7.24","134","190.14","3.79"
20년12월(4Q),"27,400","706,668","146,923","9,337","5,847","107,945","8.83","881","187.46","6.36"
20년09월(3Q),"20,400","701,356","157,114","23,322","12,513","107,071","141.47","1,926","187.70","14.84"
20년06월(2Q),"19,500","689,600","130,725","3,898","2,029","105,207","","259","191.80","2.98"
20년03월(1Q),"19,250","688,221","150,931","4,306","536","105,049","","36","189.29","2.85"
19년12월(4Q),"27,800","688,896","149,412","-15,872","-13,313","105,140","","-2,076","186.83","-10.62"
19년09월(3Q),"25,900","700,245","159,123","12,393","2,411","106,907","","347","176.87","7.79"
19년06월(2Q),"25,550","697,912","130,710","-2,987","-4,122","106,578","","-697","176.10","-2.28"
19년03월(1Q),"29,900","702,656","152,484","-6,299","-7,612","107,375","","-1,227","172.62","-4.13"
18년12월(4Q),"33,100","710,928","151,746","-7,885","-7,427","108,641","","-1,241","160.57","-5.20"
18년09월(3Q),"29,350","719,374","164,098","13,952","7,373","110,017","","1,104","159.64","8.50"
18년06월(2Q),"32,000","712,784","133,372","-6,871","-9,186","108,998","","-1,479","160.65","-5.15"
18년03월(1Q),"32,850","721,980","157,060","-1,276","-2,505","110,478","136.46","-432","154.89","-0.81"
17년12월(4Q),"38,150","729,646","155,550","-1,294","-13,468","111,660","18.86","-2,163","149.15","-0.83"
17년09월(3Q),"39,000","744,446","161,877","27,729","15,292","113,841","8.46","2,326","140.79","17.13"
17년06월(2Q),"40,800","728,700","129,255","8,465","3,589","111,423","5.98","510","146.93","6.55"
17년03월(1Q),"46,450","724,301","151,466","14,632","9,000","110,782","5.16","1,350","145.01","9.66"
16년12월(4Q),"44,050","730,505","152,861","12,676","2,795","111,725","4.01","426","143.44","8.29"
16년09월(3Q),"54,000","723,045","159,435","44,242","29,382","110,607","4.16","4,538","143.75","27.75"
16년06월(2Q),"60,400","696,396","132,754","27,045","17,678","106,451","2.65","2,689","151.57","20.37"
16년03월(1Q),"60,200","679,782","156,853","36,053","21,628","103,919","2.72","3,326","160.07","22.99"
15년12월(4Q),"50,000","679,425","146,921","26,788","15,750","103,798","2.42","2,421","157.95","18.23"
15년09월(3Q),"49,000","663,851","154,700","43,401","92,764","101,419","2.58","14,377","163.58","28.05"
15년06월(2Q),"45,800","570,533","136,718","20,880","13,419","86,951","6.53","2,033","198.11","15.27"
15년03월(1Q),"46,000","555,252","151,239","22,399","12,231","84,660","8.80","1,869","200.44","14.81"
14년12월(4Q),"42,700","548,250","149,054","8,696","4,771","83,496","10.20","705","198.60","5.83"
14년09월(3Q),"48,200","535,243","149,075","28,616","15,690","82,720","10.94","2,410","201.15","19.20"
14년06월(2Q),"37,300","517,280","128,893","8,292","1,915","79,941","10.75","241","207.13","6.43"
14년03월(1Q),"36,450","518,939","147,726","12,271","5,613","80,126","50.98","829","202.62","8.31"
13년12월(4Q),"34,750","514,507","142,744","4,080","6,251","79,446","371.74","927","202.28","2.86"
13년09월(3Q),"30,050","505,560","142,880","15,473","9,737","78,159","","1,473","201.54","10.83"
13년06월(2Q),"26,500","499,432","116,763","-10,941","-15,849","76,962","","-2,514","204.63","-9.37"
