결산년도,주가,자본총계,매출액,영업이익,당기순익,BPS,PER,EPS,부채율,영익률
21년03월(1Q),"292,000","335,737","98,158","4,904","6,033","359,842","15.58","6,321","46.74","5.00"
20년12월(4Q),"255,500","333,281","106,764","7,023","5,520","355,702","15.89","5,857","45.52","6.58"
20년09월(3Q),"230,000","332,080","99,916","5,983","3,913","352,071","14.03","4,100","45.33","5.99"
20년06월(2Q),"192,000","328,607","75,355","1,687","2,347","348,434","10.46","2,464","42.23","2.24"
20년03월(1Q),"169,500","326,264","84,230","3,609","3,488","345,972","7.50","3,662","44.40","4.28"
19년12월(4Q),"256,000","324,096","104,037","6,344","5,821","343,330","10.73","6,167","43.80","6.10"
19년09월(3Q),"252,000","324,494","94,449","6,039","5,819","340,438","11.45","6,056","40.40","6.39"
19년06월(2Q),"235,500","318,585","94,623","6,273","6,446","334,224","11.45","6,698","40.80","6.63"
19년03월(1Q),"208,500","310,586","87,378","4,937","4,858","321,762","10.65","4,961","42.66","5.65"
18년12월(4Q),"190,000","307,034","96,440","5,817","4,198","318,131","9.79","4,319","40.28","6.03"
18년09월(3Q),"228,000","304,141","84,273","4,622","4,496","315,153","16.92","4,611","39.50","5.49"
18년06월(2Q),"212,000","301,687","88,835","5,312","5,529","312,638","15.34","5,681","41.12","5.98"
18년03월(1Q),"239,500","294,852","81,943","4,498","4,659","305,621","18.31","4,792","43.21","5.49"
17년12월(4Q),"263,000","293,590","88,216","3,194","-1,686","304,416","16.33","-1,607","42.16","3.62"
17년09월(3Q),"240,000","299,446","87,728","5,444","4,822","310,300","9.66","4,953","40.34","6.21"
17년06월(2Q),"250,000","293,371","82,824","4,924","4,822","304,064","9.21","4,944","39.05","5.95"
17년03월(1Q),"240,500","285,179","92,677","6,687","7,619","295,795","7.79","7,819","43.54","7.22"
16년12월(4Q),"264,000","285,580","102,901","6,799","6,974","296,189","8.46","7,131","46.06","6.61"
16년09월(3Q),"275,000","273,458","87,781","7,217","7,058","283,821","8.37","7,237","43.22","8.22"
16년06월(2Q),"252,000","269,200","98,541","7,847","8,488","279,457","7.88","8,691","45.78","7.96"
16년03월(1Q),"249,000","261,242","93,395","7,184","7,952","271,312","7.75","8,147","47.14","7.69"
15년12월(4Q),"246,500","256,762","99,888","8,672","8,504","266,859","7.85","8,781","47.12","8.68"
15년09월(3Q),"231,500","253,920","84,811","6,702","6,176","261,163","7.45","6,360","65.49","7.90"
15년06월(2Q),"212,000","246,162","88,023","6,944","8,581","253,184","6.50","8,858","66.47","7.89"
15년03월(1Q),"246,500","236,978","87,475","7,028","7,140","243,425","7.23","7,387","67.27","8.03"
14년12월(4Q),"236,000","232,861","92,889","9,278","8,078","239,187","6.71","8,455","67.96","9.99"
14년09월(3Q),"257,000","224,875","82,424","7,309","7,657","230,916","7.12","7,900","63.59","8.87"
14년06월(2Q),"284,000","216,278","86,774","7,615","10,014","222,112","7.74","10,330","65.53","8.78"
14년03월(1Q),"315,000","207,731","89,180","7,210","8,177","213,733","8.85","8,470","70.12","8.09"
13년12월(4Q),"293,500","201,932","91,990","8,707","9,052","207,676","8.35","9,373","70.50","9.47"
13년09월(3Q),"286,000","192,850","81,816","6,860","8,209","198,219","8.15","8,505","68.82","8.38"
13년06월(2Q),"273,000","186,152","87,082","7,332","8,936","191,249","7.80","9,235","73.07","8.42"
13년03월(1Q),"307,500","177,038","81,098","6,345","7,767","181,693","8.78","8,027","77.65","7.82"
12년12월(4Q),"288,000","170,397","82,831","8,277","9,003","174,861","7.88","9,311","76.34","9.99"
12년09월(3Q),"310,500","163,291","74,672","6,435","8,195","167,878","9.24","8,448","75.94","8.62"
12년06월(2Q),"274,500","154,835","76,973","7,167","8,839","159,334","8.47","9,245","77.71","9.31"
