결산년도,주가,자본총계,매출액,영업이익,당기순익,BPS,PER,EPS,부채율,영익률
21년03월(1Q),"218,000","775,237","273,909","16,566","15,222","261,076","26.38","4,793","178.82","6.05"
20년12월(4Q),"192,000","763,410","292,434","12,544","11,834","257,028","37.33","3,863","174.22","4.29"
20년09월(3Q),"178,500","758,501","275,758","-3,138","-1,888","255,485","42.65","-1,213","173.03","-1.14"
20년06월(2Q),"97,700","760,481","218,590","5,903","3,773","257,656","14.08","821","165.36","2.70"
20년03월(1Q),"88,700","759,266","253,194","8,638","5,527","256,878","9.40","1,673","161.90","3.41"
19년12월(4Q),"120,500","763,658","278,241","11,644","7,721","258,478","11.20","2,905","154.71","4.18"
19년09월(3Q),"134,000","760,252","269,689","3,785","4,605","257,204","18.14","1,542","152.11","1.40"
19년06월(2Q),"140,000","756,826","269,664","12,377","9,993","256,125","20.58","3,319","149.05","4.59"
19년03월(1Q),"119,500","742,079","239,871","8,249","9,538","251,226","20.02","2,995","146.15","3.44"
18년12월(4Q),"118,500","738,960","252,305","5,011","-2,033","249,619","22.14","-469","144.47","1.99"
18년09월(3Q),"129,500","749,240","244,337","2,889","3,060","252,762","13.77","964","139.94","1.18"
18년06월(2Q),"125,500","749,532","247,118","9,508","8,107","249,658","11.01","2,454","139.26","3.85"
18년03월(1Q),"143,500","744,801","224,366","6,813","7,316","247,114","12.16","2,340","135.73","3.04"
17년12월(4Q),"156,000","747,574","245,008","7,752","12,879","247,807","11.04","3,619","138.37","3.16"
17년09월(3Q),"150,500","745,984","242,013","12,042","9,392","247,936","10.74","2,986","143.29","4.98"
17년06월(2Q),"159,500","736,780","243,080","13,445","9,136","245,191","10.82","2,861","142.62","5.53"
17년03월(1Q),"157,500","717,746","233,660","12,508","14,057","239,045","8.90","4,661","141.37","5.35"
16년12월(4Q),"146,000","723,446","245,380","10,212","10,688","241,103","7.71","3,503","147.20","4.16"
16년09월(3Q),"135,500","692,473","220,837","10,681","11,188","230,803","6.41","3,718","141.28","4.84"
16년06월(2Q),"135,500","691,758","246,767","17,618","17,639","230,680","6.29","5,808","145.34","7.14"
16년03월(1Q),"152,500","675,012","223,506","13,424","17,681","225,276","7.03","5,909","144.63","6.01"
15년12월(4Q),"149,000","668,814","247,648","15,151","15,294","222,828","6.63","5,715","147.26","6.12"
15년09월(3Q),"164,000","665,753","234,296","15,039","12,060","220,979","7.27","4,113","140.31","6.42"
15년06월(2Q),"136,000","653,579","228,216","17,509","17,904","216,467","5.72","5,964","135.04","7.67"
15년03월(1Q),"168,500","630,934","209,428","15,880","19,833","208,963","6.57","6,687","133.99","7.58"
14년12월(4Q),"169,000","626,206","235,742","18,757","16,564","206,420","6.57","5,805","135.11","7.96"
14년09월(3Q),"190,500","615,048","212,804","16,487","16,151","201,935","7.02","5,311","129.78","7.75"
14년06월(2Q),"229,500","597,097","227,526","20,872","23,499","196,000","7.83","7,863","131.57","9.17"
14년03월(1Q),"251,000","579,377","216,490","19,384","20,281","190,327","8.41","6,756","136.95","8.95"
13년12월(4Q),"236,500","565,828","219,377","20,304","21,298","185,863","7.90","7,201","135.80","9.26"
13년09월(3Q),"251,000","539,206","208,194","20,101","22,524","178,496","8.66","7,496","139.66","9.66"
13년06월(2Q),"225,500","522,993","231,834","24,065","25,235","173,192","7.89","8,410","148.00","10.38"
13년03월(1Q),"224,000","497,064","213,671","18,685","20,878","163,978","7.79","6,814","151.58","8.74"
12년12월(4Q),"218,500","479,176","227,190","18,328","18,937","158,218","7.28","6,275","153.64","8.07"
12년09월(3Q),"252,000","469,629","196,456","19,772","21,668","155,003","8.25","7,098","153.56","10.06"
12년06월(2Q),"232,500","449,018","219,402","25,381","25,480","148,239","7.80","8,572","159.89","11.57"
12년03월(1Q),"233,000","424,373","201,649","20,925","24,527","140,570","8.11","8,063","168.73","10.38"
11년12월(4Q),"213,000","403,277","205,190","21,108","20,025","133,957","7.94","6,831","171.48","10.29"
11년09월(3Q),"211,000","385,762","189,540","20,956","19,183","128,011","8.43","6,354","176.94","11.06"
11년06월(2Q),"237,000","366,953","200,916","20,999","23,073","121,121","10.05","7,497","179.20","10.45"
11년03월(1Q),"203,000","345,061","182,334","17,226","18,768","113,935","9.40","6,135","183.45","9.45"
10년12월(4Q),"173,500","328,880","185,397","13,243","14,507","108,646","8.90","5,037","187.99","7.14"
10년09월(3Q),"153,000","","165,534","16,819","15,889","","","4,920","","10.16"
10년06월(2Q),"144,500","","168,707","16,862","16,803","","","5,509","","9.99"
10년03월(1Q),"115,500","","150,214","11,921","12,813","","","4,035","","7.94"
09년12월(4Q),"121,000","220,290","96,490","8,372","9,455","79,771","11.66","3,312","60.91","8.68"
09년09월(3Q),"111,500","211,841","80,984","5,868","9,792","76,722","14.08","3,430","61.72","7.25"
09년06월(2Q),"74,100","205,184","80,799","6,573","8,119","74,399","13.68","2,844","61.24","8.13"
09년03월(1Q),"55,500","198,953","60,320","1,538","2,250","72,214","12.36","788","63.43","2.55"
08년12월(4Q),"39,500","196,523","88,306","5,810","2,435","71,361","7.78","854","63.68","6.58"
08년09월(3Q),"73,500","195,410","60,546","1,045","2,648","71,083","13.58","929","56.93","1.73"
08년06월(2Q),"71,000","192,686","91,068","6,625","5,469","70,129","11.88","1,919","64.57","7.28"
08년03월(1Q),"78,900","185,016","81,978","5,291","3,927","67,439","12.71","1,377","66.23","6.45"
07년12월(4Q),"71,600","182,026","87,375","6,378","3,380","66,390","12.12","1,187","62.54","7.30"
07년09월(3Q),"73,900","177,651","70,839","3,562","4,255","64,887","11.49","1,495","59.86","5.03"
07년06월(2Q),"73,000","171,952","80,769","6,228","6,115","62,912","12.22","2,148","65.40","7.71"
07년03월(1Q),"66,100","162,301","67,213","3,287","3,074","59,529","12.61","1,080","63.39","4.89"
06년12월(4Q),"67,400","160,508","75,841","3,067","4,868","58,901","12.56","1,712","64.66","4.04"
06년09월(3Q),"81,000","154,443","58,869","1,833","2,938","56,862","13.30","1,033","62.87","3.11"
06년06월(2Q),"80,600","151,362","70,028","4,091","4,031","55,779","11.62","1,418","69.09","5.84"
06년03월(1Q),"81,700","147,982","68,615","3,353","3,424","54,591","10.64","1,204","78.76","4.89"
05년12월(4Q),"97,300","150,530","81,173","3,355","6,909","55,544","11.76","2,433","77.12","4.13"
05년09월(3Q),"81,500","142,974","61,497","2,681","5,349","52,946","11.32","1,885","71.62","4.36"
05년06월(2Q),"57,500","137,018","69,465","4,579","6,132","50,814","8.46","2,160","76.10","6.59"
05년03월(1Q),"55,000","132,944","61,702","3,227","5,098","48,818","8.62","1,796","81.96","5.23"
04년12월(4Q),"55,500","130,848","75,417","3,438","3,846","46,419","9.03","1,357","86.63","4.56"
04년09월(3Q),"53,100","135,205","65,401","4,637","4,210","48,028","8.21","1,485","80.75","7.09"
