통계표,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율
항목명1,원/미국달러(매매기준율),원/위안(매매기준율),원/일본엔(100엔),원/유로,원/독일마르크,원/프랑스프랑,원/이태리리라(100리라),원/벨기에프랑,원/오스트리아실링,원/네덜란드길더,원/스페인페세타(100페세타),원/핀란드마르카,원/영국파운드,원/캐나다달러,원/스위스프랑,원/호주달러,원/뉴질랜드달러,원/중국위안,원/홍콩위안,원/홍콩달러,원/대만달러,원/몽골투그릭,원/카자흐스탄텡게,원/태국바트,원/싱가폴달러,원/인도네시아루피아(100루피아),원/말레이지아링기트,원/필리핀페소,원/베트남동(100동),원/브루나이달러,원/인도루피,원/파키스탄루피,원/방글라데시타카,원/멕시코 페소,원/브라질 헤알,원/아르헨티나페소,원/스웨덴크로나,원/덴마크크로네,원/노르웨이크로네,원/러시아루블,원/헝가리포린트,원/폴란트즈워티,원/체코코루나,원/사우디아라비아리알,원/카타르리얄,원/이스라엘셰켈,원/요르단디나르,원/쿠웨이트디나르,원/바레인디나르,원/아랍연방토후국 더히람,원/터키리라,원/남아프리카공화국랜드,원/이집트파운드
단위,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 ,원 
변환,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료
2016-04-01,"1,144.50",176.81,"1,016.84","1,302.15",,,,,,,,,"1,644.19",881.33,"1,190.45",877.6,791.77,,,147.55,35.53,0.56,3.32,32.58,848.88,8.63,293.16,24.92,5.13,848.85,17.27,10.93,14.61,66.33,318.76,77.87,140.95,174.75,138.28,17.08,4.15,306.97,48.15,305.15,314.35,304.95,"1,612.99","3,790.36","3,035.65",311.6,406.04,77.87,128.89
2016-04-04,"1,148.90",177.44,"1,028.51","1,308.94",,,,,,,,,"1,634.20",881.19,"1,198.08",881.21,791.71,,,148.17,35.57,0.56,3.36,32.67,851.29,8.73,295.2,24.92,5.15,851.29,17.31,10.97,14.67,66.28,323.32,77.69,141.34,175.73,138.16,16.98,4.17,307.99,48.42,306.32,315.56,304.68,"1,621.59","3,804.93","3,047.32",312.8,406.79,78.1,129.38
2016-04-05,"1,147.80",177.43,"1,031.87","1,307.23",,,,,,,,,"1,637.16",878.03,"1,196.62",872.96,781.65,,,148.02,35.38,0.56,3.33,32.56,848.68,8.72,293.89,24.84,5.14,848.65,17.36,10.95,14.66,65.63,316.98,77.98,141.21,175.68,137.77,16.73,4.18,308.21,48.35,306.04,315.2,303.55,"1,620.39","3,804.44","3,044.40",312.49,408.11,77.65,129.26
2016-04-06,"1,155.00",178.38,"1,047.24","1,314.74",,,,,,,,,"1,635.08",879,"1,207.40",871.51,785.69,,,148.91,35.6,0.56,3.35,32.73,852.3,8.74,294.27,24.92,5.17,852.27,17.37,11.03,14.72,65.28,313.95,78.65,142.05,176.65,138.55,16.83,4.2,308.28,48.63,307.98,317.16,302.73,"1,630.20","3,827.04","3,063.50",314.45,407.72,76.52,130.07
2016-04-07,"1,155.90",178.29,"1,053.45","1,317.26",,,,,,,,,"1,633.23",883.11,"1,208.85",878.66,789.36,,,149.03,35.68,0.57,3.35,32.8,858.03,8.74,295.1,25.03,5.18,858,17.37,11.04,14.74,65.55,317.52,79.14,141.74,176.98,138.97,17.08,4.22,308.52,48.74,308.22,317.41,304.42,"1,632.28","3,830.65","3,065.89",314.71,406.46,76.51,130.17
2016-04-08,"1,154.50",178.12,"1,065.48","1,313.01",,,,,,,,,"1,623.11",878.35,"1,206.88",867.09,782.98,,,148.79,35.59,0.57,3.39,32.81,853.51,8.77,294.93,24.95,5.18,853.48,17.29,11.03,14.73,64.56,312.97,79.76,141.38,176.45,138.65,16.92,4.21,305.58,48.57,307.85,317.04,304.69,"1,630.53","3,827.92","3,062.33",314.32,403.08,75.64,130.01
2016-04-11,"1,156.50",178.44,"1,068.61","1,319.22",,,,,,,,,"1,633.44",890.92,"1,213.09",875.18,788.39,,,149.06,35.63,0.57,3.4,32.97,857.49,8.8,296.35,25.1,5.19,857.49,17.38,11.05,14.76,65.05,322.19,79.95,141.92,177.25,140.63,17.17,4.22,306.95,48.82,308.4,317.58,306.36,"1,631.98","3,835.82","3,067.48",314.87,405.62,77.32,130.24
