일자,금리,달러환율
2016-07-01,1.21,1152.6
2016-07-04,1.224,1147.5
2016-07-05,1.217,1148.1
2016-07-06,1.203,1153.0
2016-07-07,1.208,1165.8
2016-07-08,1.216,1156.6
2016-07-11,1.213,1159.2
2016-07-12,1.217,1147.8
2016-07-13,1.211,1149.3
2016-07-14,1.205,1145.7
2016-07-15,1.221,1141.8
2016-07-18,1.229,1132.7
2016-07-19,1.227,1136.3
2016-07-20,1.221,1138.4
2016-07-21,1.233,1140.8
2016-07-22,1.227,1140.2
2016-07-25,1.225,1135.0
2016-07-26,1.22,1136.9
2016-07-27,1.222,1138.4
2016-07-28,1.203,1134.1
2016-07-29,1.216,1125.7
2016-08-01,1.212,1122.4
2016-08-02,1.212,1111.0
2016-08-03,1.247,1108.9
2016-08-04,1.238,1114.0
2016-08-05,1.225,1113.8
2016-08-08,1.246,1111.3
2016-08-09,1.247,1112.7
2016-08-10,1.215,1107.2
2016-08-11,1.222,1096.1
2016-08-12,1.23,1098.6
2016-08-16,1.219,1101.1
2016-08-17,1.233,1095.0
2016-08-18,1.228,1102.3
2016-08-19,1.231,1106.4
2016-08-22,1.232,1115.2
2016-08-23,1.228,1125.3
2016-08-24,1.229,1117.4
2016-08-25,1.236,1121.6
2016-08-26,1.241,1119.0
2016-08-29,1.272,1113.9
2016-08-30,1.283,1125.2
2016-08-31,1.308,1118.5
2016-09-01,1.333,1117.4
2016-09-02,1.326,1119.3
2016-09-05,1.307,1117.6
2016-09-06,1.3,1108.2
2016-09-07,1.278,1105.0
2016-09-08,1.288,1093.2
2016-09-09,1.328,1093.2
2016-09-12,1.356,1099.5
2016-09-13,1.35,1110.6
2016-09-19,1.345,1112.3
2016-09-20,1.336,1120.0
2016-09-21,1.327,1119.5
2016-09-22,1.296,1116.8
2016-09-23,1.303,1103.1
2016-09-26,1.308,1104.2
2016-09-27,1.305,1106.9
2016-09-28,1.304,1103.5
2016-09-29,1.297,1095.7
2016-09-30,1.247,1096.3
2016-10-04,1.276,1102.0
2016-10-05,1.316,1105.1
2016-10-06,1.321,1113.8
2016-10-07,1.326,1111.3
2016-10-10,1.335,1115.7
2016-10-11,1.373,1111.0
