결산년도,KB 금융,LG 생활건강,LG 화학,NAVER,SK 텔레콤,삼성물산,삼성바이오로직스,삼성전자,포스코 케미칼,한국전력,현대 모비스,현대차
16년09월(3Q),5774.0,1921.0,2974.0,1980.0,3221.0,1446.0,,45379.0,183.0,29382.0,7058.0,11188.0
16년12월(4Q),4631.0,671.0,2700.0,1828.0,4747.0,2583.0,-570.0,70880.0,221.0,2795.0,6974.0,10688.0
17년03월(1Q),8876.0,1805.0,5481.0,2109.0,5835.0,1876.0,-331.0,76844.0,230.0,9000.0,7619.0,14057.0
17년06월(2Q),10047.0,1682.0,5903.0,1714.0,6205.0,1097.0,-221.0,110539.0,176.0,3589.0,4822.0,9136.0
17년09월(3Q),8974.0,1876.0,5455.0,2158.0,7930.0,1314.0,-317.0,111934.0,303.0,15292.0,4822.0,9392.0
17년12월(4Q),5537.0,820.0,3381.0,1720.0,6606.0,524.0,-101.0,122551.0,330.0,-13468.0,-1686.0,12879.0
18년03월(1Q),9684.0,1964.0,5527.0,1538.0,6934.0,3759.0,-467.0,116885.0,315.0,-2505.0,4659.0,7316.0
18년06월(2Q),9468.0,1874.0,4934.0,2818.0,9143.0,3321.0,-195.0,110434.0,321.0,-9186.0,5529.0,8107.0
18년09월(3Q),9540.0,2072.0,3466.0,684.0,10498.0,2357.0,-270.0,131507.0,372.0,7373.0,4496.0,3060.0
18년12월(4Q),1928.0,1013.0,1266.0,1240.0,4745.0,8046.0,3173.0,84622.0,320.0,-7427.0,4198.0,-2033.0
19년03월(1Q),8459.0,2258.0,2119.0,876.0,3736.0,2224.0,-368.0,50436.0,329.0,-7612.0,4858.0,9538.0
19년06월(2Q),9915.0,2115.0,838.0,278.0,2591.0,2074.0,-124.0,51806.0,234.0,-4122.0,6446.0,9993.0
19년09월(3Q),9407.0,2171.0,1372.0,853.0,2744.0,2650.0,214.0,62877.0,300.0,2411.0,5819.0,4605.0
19년12월(4Q),5351.0,1338.0,-568.0,1962.0,-464.0,3531.0,776.0,52270.0,149.0,-13313.0,5821.0,7721.0
20년03월(1Q),7389.0,2342.0,363.0,1349.0,3060.0,3466.0,367.0,48849.0,142.0,536.0,3488.0,5527.0
20년06월(2Q),9925.0,2046.0,4191.0,907.0,4322.0,2207.0,520.0,55551.0,-72.0,2029.0,2347.0,3773.0
20년09월(3Q),11942.0,2317.0,5704.0,2353.0,3957.0,3234.0,561.0,93607.0,69.0,12513.0,3913.0,-1888.0
20년12월(4Q),5766.0,1426.0,-3434.0,3841.0,3668.0,2699.0,962.0,66071.0,158.0,5847.0,5520.0,11834.0
21년03월(1Q),12852.0,2588.0,13710.0,153145.0,5720.0,8867.0,610.0,71417.0,398.0,1184.0,6033.0,15222.0
