date,open,high,low,close,volume
20210813,313500,313500,305000,306000,277943
20210812,307500,313000,301500,312500,687632
20210811,304000,305500,292000,293500,325250
20210810,302500,305000,300500,302500,121272
20210809,305000,305500,301000,302000,127992
20210806,305500,308000,303000,305500,125811
20210805,306000,309500,304500,306500,123696
20210804,303500,307500,301000,306500,140352
20210803,302500,307500,301500,306000,113019
20210802,302500,304000,296500,302000,206472
20210730,312000,312000,301000,301000,336238
20210729,311500,315000,311000,312500,145819
20210728,304000,311000,303000,311000,186753
20210727,308000,309500,303500,304000,139984
20210726,306000,309000,302000,308000,165489
20210723,310000,310000,303000,305000,370050
20210722,312000,316000,307000,309500,368544
20210721,321500,325000,309500,312000,420579
20210720,325000,326000,320000,324000,166743
20210719,320000,329000,320000,326500,145779
20210716,319000,323500,318000,322000,110230
20210715,321500,323500,318000,320000,167218
20210714,323000,325000,320000,320000,157658
20210713,326500,330000,324000,325500,202903
20210712,324000,328000,322500,326500,179022
20210709,319500,324500,317000,322000,366757
20210708,313000,317500,313000,317000,196903
20210707,315500,317000,313000,314500,165178
20210706,320000,321000,317000,317000,120097
20210705,319500,320500,317500,318000,97250
20210702,316500,320000,316000,318500,118821
20210701,320000,320500,314000,315000,189906
20210630,323000,324500,320000,320000,199277
20210629,325500,327000,323500,323500,161278
20210628,325500,329500,324000,329500,176880
20210625,325500,328000,324000,326500,151383
20210624,324500,331000,322000,327000,182211
20210623,321500,328500,319500,326000,184451
20210622,321500,323000,320000,321000,159110
20210621,323000,325500,319500,321000,315229
20210618,327000,328500,324000,326500,384764
20210617,326000,331500,326000,327500,235266
20210616,328000,330000,327000,328000,173586
20210615,334000,336000,328000,330000,140044
20210614,335000,336500,329500,333000,159207
20210611,334000,339500,333000,334000,347195
20210610,338000,339500,328000,328000,503399
20210609,327000,329000,322500,327500,273820
20210608,324500,329000,324000,328000,269955
20210607,322500,324500,320000,323500,250948
20210604,324000,327500,320000,320500,260563
20210603,329500,332000,325000,328500,253577
20210602,326000,332500,325000,330000,231793
20210601,319000,329500,317000,328000,315706
20210531,318500,322000,316500,317000,156331
20210528,323000,327000,316500,317000,257964
20210527,317500,320500,313000,320000,422200
20210526,313500,323000,312500,318500,318695
20210525,312000,317000,311500,314000,332704
20210524,306000,316000,306000,314500,301187
20210521,307000,315000,306500,309500,389789
20210520,303500,307500,301000,306000,248501
20210518,309000,311000,302500,306500,287557
20210517,316500,319000,304000,307000,281335
20210514,314500,323500,314500,317000,319487
