date,open,high,low,close,volume
20210813,152500,157500,152000,155000,477707
20210812,152500,154000,151500,153000,382692
20210811,153000,154500,152000,152000,232194
20210810,157500,158000,152500,154500,350131
20210809,156500,160000,154000,157500,422214
20210806,158000,160000,156000,157500,183165
20210805,154500,158000,154000,157500,236172
20210804,153000,154500,150000,154500,230649
20210803,154000,155000,152000,153000,181065
20210802,155000,155000,152500,154000,145115
20210730,155500,157000,154000,154000,224518
20210729,153500,156000,152500,155500,216769
20210728,151000,154000,151000,153000,245477
20210727,155500,157000,152000,152500,353996
20210726,158000,158500,154500,154500,430651
20210723,156000,162000,155000,158000,692861
20210722,156000,158500,153000,154500,452876
20210721,159000,159500,154000,154500,428605
20210720,163500,167000,154000,157500,1127735
20210719,164000,167000,162000,166500,481968
20210716,164500,167500,163000,165000,495198
20210715,166000,166500,162000,164500,613210
20210714,160500,168500,158500,165000,1016071
20210713,163000,165500,160500,161000,797955
20210712,161000,163000,156000,161500,665022
20210709,157000,160000,152500,158500,861500
20210708,150000,159500,149500,159000,1688538
20210707,146500,149500,145000,149000,367570
20210706,146000,147500,145500,147000,182253
20210705,146000,146500,145000,145500,118035
20210702,147500,149000,145000,145500,216263
20210701,144500,149000,144000,148000,432551
20210630,145500,146500,143500,144000,229747
20210629,144500,146000,144000,145000,159999
20210628,146500,146500,143500,144000,313626
20210625,148000,148500,146000,146500,199630
20210624,150500,151500,146500,146500,346354
20210623,146500,151000,145500,149500,370439
20210622,149000,149000,145500,145500,197849
20210621,148000,151500,146500,147500,297356
20210618,147000,151500,147000,149500,396306
20210617,145000,150000,144500,147000,484287
20210616,144000,144500,142500,144500,161015
20210615,147000,147500,143500,145000,243546
20210614,144500,147500,144000,147000,250034
20210611,144000,148500,143500,143500,574628
20210610,142000,145000,140500,144500,316510
20210609,142000,142500,141000,141500,154224
20210608,143000,143500,141500,141500,183997
20210607,144000,144500,142500,143500,203455
20210604,144000,144500,142500,143500,120530
20210603,143000,145500,141500,145000,283312
20210602,145500,145500,142000,143500,324081
20210601,144500,146000,143500,145500,161930
20210531,149000,149000,143500,145000,401254
20210528,151000,151500,148500,149000,152078
20210527,150000,150500,146000,150000,551016
20210526,148000,151000,147500,149000,175898
20210525,147000,149000,147000,148000,133557
20210524,148000,148000,144500,147000,168564
20210521,148500,151000,145500,147500,247141
20210520,144500,148500,144000,147000,228588
20210518,143000,145000,142500,144500,144784
20210517,147500,148000,142500,143000,206431
20210514,145000,148500,143000,146500,235159
20210513,143000,145000,141000,145000,571255
20210512,146000,150000,144000,146500,336547
20210511,150000,150500,144500,146000,359150
20210510,152000,153000,150000,151500,221639
20210507,149000,151500,148000,150000,177124
20210506,148000,150500,147000,149500,244119
20210504,141000,150000,141000,149500,354856
20210503,146000,149000,142500,143500,452409
20210430,151000,152500,147000,149000,395691
20210429,156000,157500,152000,152000,358291
20210428,159000,159000,155000,155500,372181
20210427,164000,164500,158500,159500,597019
20210426,162000,167500,158000,165500,486468
20210423,163500,164500,162000,162000,288156
20210422,168500,169000,165000,165000,270358
20210421,167000,168000,165000,167000,262170
20210420,166500,169500,164000,167000,339336
20210419,171500,172000,166000,167000,441235
20210416,170000,171500,169000,170000,202647
20210415,170000,172500,167500,169000,329745
20210414,167500,171500,165500,169000,417525
20210413,169500,170500,165000,166500,473494
20210412,164500,171000,161500,169000,867164
20210409,160500,161500,159000,161000,183337
20210408,162500,165000,160000,160000,439160
20210407,160500,164000,159000,163000,307304
20210406,165000,165500,159000,159500,347820
20210405,159500,165500,156500,162500,593031
20210402,158500,163000,157500,158500,478987
20210401,157000,159000,155000,155500,269281
20210331,155500,155500,151500,155000,312771
20210330,148000,156000,147000,154500,575359
20210329,145500,147500,143000,146000,221493
20210326,148000,148000,144500,146000,189933
20210325,147500,149500,145500,146500,243914
20210324,140500,149000,140000,148000,367205
20210323,148000,148500,141500,143000,336124
20210322,151000,151000,145500,146000,229404
20210319,144000,150500,143000,149500,334846
20210318,149500,152000,147000,148000,327649
20210317,150500,150500,144000,147000,617608
20210316,158500,160000,151500,153000,508128
20210315,157000,159500,154000,157500,219675
20210312,158000,160500,154000,157500,358174
20210311,144500,154000,144000,153000,714139
20210310,148500,148500,142000,145000,585696
20210309,147500,149000,138500,142000,1131607
20210308,161000,163000,151000,151000,555247
20210305,156000,164000,153000,161000,655354
20210304,172000,175500,159000,159000,1808550
20210303,154000,158000,152000,156500,462829
20210302,163500,164500,151500,155000,707018
20210226,158000,161000,155500,158000,626637
