date,open,high,low,close,volume
2016-07-01,1128000,1149000,1120000,1126000,19219
2016-07-04,1136000,1157000,1128000,1150000,24650
2016-07-05,1162000,1169000,1146000,1154000,26254
2016-07-06,1148000,1164000,1135000,1156000,24591
2016-07-07,1157000,1181000,1156000,1181000,18593
2016-07-08,1166000,1199000,1093000,1128000,95705
2016-07-11,1103000,1119000,1061000,1088000,109078
2016-07-12,1096000,1116000,1088000,1115000,50169
2016-07-13,1111000,1123000,1088000,1095000,44583
2016-07-14,1096000,1120000,1096000,1120000,39505
2016-07-15,1122000,1141000,1113000,1120000,35621
2016-07-18,1128000,1150000,1120000,1145000,26110
2016-07-19,1155000,1166000,1142000,1146000,39986
2016-07-20,1143000,1148000,1122000,1136000,21275
2016-07-21,1142000,1142000,1111000,1113000,27188
2016-07-22,1117000,1128000,1100000,1112000,24021
2016-07-25,1128000,1145000,1080000,1089000,38898
2016-07-26,1089000,1098000,1082000,1092000,40356
2016-07-27,1078000,1079000,1003000,1003000,203687
2016-07-28,1032000,1042000,1002000,1010000,164029
2016-07-29,1018000,1029000,1001000,1008000,96355
2016-08-01,990000,995000,942000,947000,148745
2016-08-02,949000,962000,938000,955000,71483
2016-08-03,950000,969000,945000,960000,62397
2016-08-04,960000,964000,946000,963000,37698
2016-08-05,955000,958000,912000,920000,106934
2016-08-08,925000,956000,901000,952000,130315
2016-08-09,960000,967000,939000,946000,55423
2016-08-10,946000,979000,945000,977000,55127
2016-08-11,983000,989000,967000,983000,41391
2016-08-12,986000,991000,978000,990000,48422
2016-08-16,994000,998000,972000,976000,39016
2016-08-17,971000,986000,960000,969000,30865
2016-08-18,970000,985000,936000,938000,52456
2016-08-19,950000,950000,934000,941000,65167
2016-08-22,943000,947000,921000,928000,38012
2016-08-23,938000,996000,938000,988000,100777
2016-08-24,1014000,1014000,960000,965000,70455
2016-08-25,965000,970000,925000,928000,110085
2016-08-26,933000,951000,929000,946000,77126
2016-08-29,946000,957000,943000,954000,43681
2016-08-30,950000,955000,936000,944000,46716
2016-08-31,948000,957000,940000,951000,45081
2016-09-01,955000,985000,952000,979000,62574
2016-09-02,992000,1014000,986000,995000,65741
2016-09-05,1018000,1018000,983000,991000,55414
2016-09-06,999000,1008000,981000,985000,31301
2016-09-07,997000,1003000,965000,972000,46671
2016-09-08,972000,996000,972000,986000,37299
2016-09-09,990000,992000,976000,979000,43772
2016-09-12,980000,996000,978000,982000,36392
2016-09-13,982000,983000,956000,973000,52967
2016-09-19,954000,983000,951000,970000,62904
2016-09-20,970000,977000,965000,973000,43500
2016-09-21,968000,981000,967000,980000,27778
2016-09-22,992000,1009000,990000,997000,50401
2016-09-23,997000,1008000,995000,1004000,31974
2016-09-26,1006000,1007000,999000,1007000,26309
2016-09-27,1015000,1015000,986000,1008000,30730
2016-09-28,1001000,1006000,994000,994000,17687
2016-09-29,997000,1004000,950000,950000,88348
2016-09-30,949000,968000,939000,955000,50357
2016-10-04,972000,973000,960000,973000,37008
2016-10-05,966000,972000,932000,937000,80915
2016-10-06,934000,943000,931000,942000,56237
2016-10-07,937000,937000,887000,891000,98516
2016-10-10,902000,906000,882000,900000,53818
2016-10-11,918000,920000,895000,903000,62429
2016-10-12,893000,915000,892000,912000,48715
2016-10-13,920000,926000,913000,924000,47032
2016-10-14,924000,930000,912000,916000,48554
2016-10-17,916000,923000,903000,912000,39287
2016-10-18,910000,911000,889000,903000,36154
2016-10-19,900000,905000,896000,904000,35691
2016-10-20,901000,907000,897000,906000,22843
2016-10-21,903000,909000,898000,903000,15331
2016-10-24,902000,928000,901000,923000,43131
2016-10-25,885000,888000,827000,846000,236944
2016-10-26,847000,872000,836000,846000,200492
2016-10-27,880000,880000,854000,858000,140301
2016-10-28,860000,868000,853000,858000,85228
2016-10-31,846000,852000,818000,820000,58560
2016-11-01,820000,845000,807000,844000,69311
2016-11-02,849000,849000,818000,820000,48827
2016-11-03,822000,858000,822000,852000,54462
2016-11-04,859000,878000,859000,866000,54133
2016-11-07,854000,863000,841000,842000,42577
2016-11-08,843000,863000,843000,858000,27672
2016-11-09,865000,878000,834000,868000,52165
2016-11-10,880000,894000,872000,888000,37235
2016-11-11,870000,886000,855000,855000,39157
2016-11-14,846000,861000,835000,839000,38551
2016-11-15,835000,840000,823000,832000,47087
2016-11-16,836000,843000,828000,829000,29754
2016-11-17,831000,835000,823000,826000,23021
2016-11-18,828000,830000,801000,807000,70174
2016-11-21,805000,808000,772000,782000,114802
2016-11-22,774000,783000,759000,760000,152547
2016-11-23,763000,768000,757000,764000,88255
2016-11-24,766000,773000,740000,741000,76183
2016-11-25,745000,774000,742000,770000,145507
2016-11-28,783000,788000,770000,784000,51215
2016-11-29,790000,816000,785000,812000,82994
2016-11-30,812000,819000,787000,787000,55962
2016-12-01,789000,805000,770000,800000,42593
2016-12-02,812000,812000,791000,802000,45714
2016-12-05,810000,810000,791000,801000,38243
2016-12-06,809000,818000,797000,812000,59640
2016-12-07,818000,818000,807000,812000,41330
2016-12-08,812000,838000,785000,838000,43954
2016-12-09,845000,859000,828000,846000,68596
2016-12-12,857000,862000,846000,851000,40584
2016-12-13,859000,859000,841000,846000,39810
2016-12-14,848000,872000,845000,866000,39405
2016-12-15,878000,880000,863000,880000,42773
2016-12-16,889000,889000,865000,869000,48206
2016-12-19,865000,868000,838000,863000,35397
2016-12-20,851000,863000,846000,851000,18398
2016-12-21,851000,860000,838000,838000,24586
2016-12-22,837000,847000,827000,839000,18633
2016-12-23,827000,854000,826000,848000,18706
2016-12-26,848000,867000,848000,858000,11077
2016-12-27,853000,860000,846000,854000,13176
2016-12-28,841000,863000,840000,851000,21912
2016-12-29,852000,869000,840000,857000,20686
2017-01-02,845000,848000,813000,817000,39687
2017-01-03,822000,852000,818000,836000,32460
