date,open,high,low,close,volume
2016-07-01,259000,259500,256000,258000,152999
2016-07-04,258000,263500,256500,262500,172075
2016-07-05,262500,265000,261000,261500,158091
2016-07-06,259500,259500,247500,248500,429129
2016-07-07,250000,252500,248000,249500,253246
2016-07-08,250000,252000,245500,247500,147738
2016-07-11,245000,257000,245000,255000,289664
2016-07-12,253000,255000,248500,252000,164395
2016-07-13,256000,257000,251500,253500,157337
2016-07-14,252500,256000,251000,256000,164915
2016-07-15,259000,260000,255500,258000,205077
2016-07-18,260500,262500,256500,257500,144360
2016-07-19,260500,262000,257500,259000,144119
2016-07-20,259500,260500,255000,256000,130951
2016-07-21,256500,259000,248000,249000,330939
2016-07-22,250500,250500,238500,240500,657471
2016-07-25,241000,243500,240000,243000,224512
2016-07-26,242500,247000,242000,246500,210022
2016-07-27,248000,248500,245000,246500,148775
2016-07-28,246500,247500,241500,242500,172604
2016-07-29,242500,249500,242500,243500,248177
2016-08-01,244000,257000,244000,257000,362747
2016-08-02,255500,258500,250500,251000,221254
2016-08-03,249000,250500,246000,249500,128706
2016-08-04,252500,253500,249500,251000,163442
2016-08-05,252000,253000,246500,246500,178401
2016-08-08,247500,249000,246000,248000,150119
2016-08-09,248000,258000,246000,257500,287596
2016-08-10,260000,268500,259500,265500,542350
2016-08-11,266000,267000,260000,261500,194226
2016-08-12,265000,269000,264500,265000,220552
2016-08-16,265000,265500,260500,261500,199852
2016-08-17,262000,263500,258500,262500,120690
2016-08-18,263500,264500,258000,259000,152561
2016-08-19,260000,263000,258000,262000,199995
2016-08-22,269000,276000,267500,268500,449990
2016-08-23,270500,271500,263000,269000,268098
2016-08-24,269500,273000,267000,267000,190556
2016-08-25,265000,269500,261000,268000,165231
2016-08-26,268000,270500,267000,268500,122172
2016-08-29,265000,266000,262000,263500,206256
2016-08-30,265000,266500,263500,264000,102645
2016-08-31,264500,271000,263500,270500,247093
2016-09-01,271500,271500,267000,270000,149894
2016-09-02,267500,268500,262500,263000,241400
2016-09-05,265500,268000,265000,267000,131630
2016-09-06,261000,264500,250500,251500,773416
2016-09-07,252500,256000,249500,249500,505160
2016-09-08,252000,252500,247500,248000,266658
2016-09-09,248000,250000,247000,248500,159837
2016-09-12,245000,252500,244000,245500,244829
2016-09-13,248500,249500,237000,237500,589842
2016-09-19,234000,235000,227500,233000,696631
2016-09-20,233000,235000,230000,232500,408531
2016-09-21,233500,241000,232500,241000,376149
2016-09-22,244500,245000,238500,238500,272299
2016-09-23,240000,242000,238000,239000,238213
2016-09-26,242000,244000,241500,242500,227794
2016-09-27,242500,245000,242000,244000,238189
2016-09-28,246000,246000,242000,242000,185517
2016-09-29,245000,247500,243500,244000,253285
2016-09-30,242000,243000,239000,241500,242273
2016-10-04,243000,243000,237000,237500,252151
2016-10-05,237500,240000,237000,240000,172292
2016-10-06,238500,239500,233000,234000,430401
2016-10-07,235000,235500,232000,233500,262507
2016-10-10,234000,237000,231500,232500,257172
2016-10-11,235000,238000,232500,235000,302622
2016-10-12,233500,238500,233000,237000,248384
2016-10-13,236500,237000,230500,230500,299144
2016-10-14,231000,235500,230000,232500,256461
2016-10-17,234000,240000,232500,240000,283643
2016-10-18,240500,245500,240000,245000,419090
2016-10-19,242500,249500,242000,244500,415140
2016-10-20,248500,253000,248000,251000,403226
2016-10-21,252000,252500,249500,250500,203091
2016-10-24,252000,254500,250500,251000,211346
2016-10-25,252500,253000,246000,248500,297371
2016-10-26,246000,246500,239500,242000,291821
2016-10-27,242500,247000,242500,245500,166754
2016-10-28,243000,245000,240000,241500,195127
2016-10-31,240500,246500,240500,246500,188980
2016-11-01,245500,246000,240500,244500,149572
2016-11-02,243500,244500,241000,243000,133183
2016-11-03,243500,245500,242000,245000,170120
2016-11-04,243500,245000,242500,244500,104504
2016-11-07,245500,250000,245000,250000,228503
2016-11-08,253500,254500,250000,252500,185393
2016-11-09,254000,255000,237500,242000,472018
2016-11-10,247000,247500,240000,241000,404141
