date,open,high,low,close,volume
2016-07-01,142814,144817,142814,142814,382272
2016-07-04,143415,146019,142614,145618,588303
2016-07-05,146219,151427,146219,150225,634378
2016-07-06,150225,150225,146219,149224,611313
2016-07-07,150626,154231,149824,150826,342067
2016-07-08,150425,151427,149824,150225,368213
2016-07-11,149224,151827,148823,151026,540215
2016-07-12,152028,153830,149824,151227,634104
2016-07-13,152228,153830,149824,151827,774588
2016-07-14,150425,151026,147020,147020,825811
2016-07-15,150225,150826,141412,143415,1528128
2016-07-18,143615,143815,141412,142614,753510
2016-07-19,143815,144416,141612,143815,553160
2016-07-20,143215,143615,138407,139209,1007738
2016-07-21,139809,141412,139609,141011,540744
2016-07-22,141412,142614,141011,141212,450974
2016-07-25,141812,143014,141812,142213,256700
2016-07-26,142413,143014,140611,142213,288902
2016-07-27,142213,143815,142213,142614,292596
2016-07-28,143615,144016,141612,142213,490334
2016-07-29,142213,143615,141812,142213,530959
2016-08-01,142413,142814,135803,140410,728337
2016-08-02,140410,143215,140010,142814,244324
2016-08-03,142213,142814,140611,141212,248033
2016-08-04,142814,143014,140410,141612,255856
2016-08-05,142413,145218,141212,144817,275382
2016-08-08,145818,150025,145618,150025,583849
2016-08-09,151026,151627,150225,151227,842786
2016-08-10,153230,155433,152028,155233,800859
2016-08-11,156034,156034,154031,155833,380564
2016-08-12,155633,157035,155633,156635,255537
2016-08-16,157035,159839,156835,158237,563829
2016-08-17,155233,158638,155233,158237,348732
2016-08-18,158638,160440,158237,160440,461782
2016-08-19,161642,162443,159839,161242,685891
2016-08-22,160240,160841,158838,159239,399426
2016-08-23,160440,161842,159239,161442,346655
2016-08-24,161642,163044,160240,162644,358982
2016-08-25,162644,162644,160641,161041,484034
2016-08-26,159439,162043,159439,161242,374478
2016-08-29,161442,164046,160240,162243,419566
2016-08-30,162443,164446,161242,164446,352591
2016-08-31,168853,170255,165648,169254,790150
2016-09-01,169254,169654,164046,166049,450844
2016-09-02,166850,167251,164647,166449,327474
2016-09-05,168653,171257,168653,170255,258612
2016-09-06,171857,175263,166850,168853,603630
2016-09-07,168853,175062,167851,174662,435442
2016-09-08,174061,174662,170455,174061,391378
2016-09-09,170656,172258,168452,169654,416051
2016-09-12,167251,168853,166449,168252,347039
2016-09-13,170255,170455,166850,168452,347823
2016-09-19,170856,174261,169254,171457,585891
2016-09-20,171857,173660,167251,167451,546450
2016-09-21,167451,173059,167451,171257,542966
2016-09-22,173660,175062,171257,174862,561148
2016-09-23,176665,176665,172458,175863,369915
2016-09-26,176064,177065,174061,175463,209940
2016-09-27,175463,178267,173460,177065,402911
2016-09-28,177466,179269,177065,177666,273505
2016-09-29,178267,180871,177666,180270,385357
2016-09-30,177466,177866,172058,176865,861273
2016-10-04,176865,177065,170255,171857,545182
2016-10-05,170856,175263,170455,173660,332117
2016-10-06,174061,175062,170656,172458,273804
2016-10-07,172258,172458,167050,168853,379071
2016-10-10,170856,176264,169854,174662,345726
