date,open,high,low,close,volume
2016-07-01,215000,219000,215000,218500,129341
2016-07-04,216000,219500,215500,219000,109169
2016-07-05,217500,218500,215500,216500,73690
2016-07-06,216500,217000,212500,215000,83596
2016-07-07,216500,217500,212500,214500,80083
2016-07-08,213000,216000,213000,216000,57297
2016-07-11,218500,219000,217000,217000,82607
2016-07-12,216500,218000,216000,217000,56841
2016-07-13,218500,222000,217500,220000,170865
2016-07-14,220000,222500,219500,221000,151693
2016-07-15,223000,223500,220500,220500,134521
2016-07-18,221000,223500,220500,223000,92996
2016-07-19,223000,223500,218000,221000,133174
2016-07-20,222500,222500,216500,218000,133670
2016-07-21,218500,222500,218500,222500,102072
2016-07-22,223000,224000,220500,223500,108911
2016-07-25,225000,230500,224000,230000,242294
2016-07-26,230000,232500,227000,232000,168291
2016-07-27,232000,233500,230500,231000,145344
2016-07-28,231000,232500,229000,229500,132506
2016-07-29,231500,234000,228000,230000,157571
2016-08-01,228500,229500,225500,226500,178229
2016-08-02,225000,225500,221000,223500,194318
2016-08-03,221500,223500,220500,221000,169555
2016-08-04,222500,223500,218500,220500,156595
2016-08-05,220500,223000,220500,221000,120227
2016-08-08,222000,223500,219000,222000,100101
2016-08-09,222000,225500,222000,224500,125963
2016-08-10,223000,225000,223000,224000,142021
2016-08-11,223500,227000,223000,227000,172999
2016-08-12,227000,227500,225000,226500,92615
2016-08-16,226500,228000,226000,227000,125619
2016-08-17,226000,228500,225500,228000,71979
2016-08-18,229000,229000,226500,226500,77448
2016-08-19,228000,228000,222500,224000,155828
2016-08-22,222000,222500,220000,221000,99900
2016-08-23,221000,222000,218500,220000,97058
2016-08-24,220000,220500,218500,220500,84103
2016-08-25,220500,222500,219000,220500,136669
2016-08-26,220500,223000,219500,222500,82775
2016-08-29,222000,222500,220000,221000,78832
2016-08-30,221000,223000,220000,220500,70156
2016-08-31,220000,221500,218500,218500,88109
2016-09-01,218500,220000,216500,216500,120438
2016-09-02,217500,218000,216000,216000,95241
2016-09-05,218000,222500,218000,220500,116754
2016-09-06,221000,222000,218500,219500,80818
2016-09-07,219000,222500,218000,221000,106139
2016-09-08,220500,224500,219500,223500,178297
2016-09-09,221500,223000,219000,222000,91086
2016-09-12,221000,222000,218500,219000,102125
2016-09-13,221000,221500,217000,217500,104080
2016-09-19,215500,219500,215500,217000,126473
2016-09-20,220500,220500,215500,217000,151515
2016-09-21,215500,218000,215500,216000,91783
2016-09-22,216000,219000,216000,218000,114776
2016-09-23,220000,221000,218500,220500,142865
2016-09-26,221500,223500,220500,221000,86081
2016-09-27,221000,223500,219500,222000,148938
2016-09-28,221000,223500,220500,222500,121334
2016-09-29,224000,227500,223500,226000,169167
2016-09-30,226500,227000,223000,226000,167857
2016-10-04,225000,225500,224000,224500,152682
2016-10-05,222000,223500,220000,222500,160603
2016-10-06,218500,220000,217000,219000,123495
2016-10-07,218000,219000,215500,216000,188082
2016-10-10,218000,220500,217500,219500,156419
2016-10-11,221500,221500,218500,219500,101589
2016-10-12,220500,221000,219000,219000,104841
2016-10-13,218000,220000,216500,219500,137901
2016-10-14,220000,221500,219000,221000,103212
2016-10-17,221000,226500,219500,225500,203974
2016-10-18,225000,229000,224500,227500,171136
2016-10-19,227500,230000,227000,229000,135654
2016-10-20,227500,227500,222500,224500,105751
2016-10-21,224000,224500,221000,224000,203477
2016-10-24,225000,227500,224500,227500,131533
2016-10-25,229000,232500,228500,231500,220427
2016-10-26,229500,231500,227500,230000,115210
2016-10-27,230000,233000,229000,232500,131271
2016-10-28,228500,229500,223500,224500,212018
2016-10-31,222500,226500,222000,223500,158045
2016-11-01,224500,226500,223500,226000,102735
2016-11-02,224000,225000,222500,223500,115327
2016-11-03,220500,226000,220500,223500,103634
2016-11-04,225000,226000,224000,226000,91272
2016-11-07,226500,226500,222500,223500,121110
2016-11-08,223500,224500,219500,221000,160984
2016-11-09,222000,224000,216000,218500,276342
2016-11-10,220000,220500,218000,220000,192123
2016-11-11,220000,220500,218000,218500,130077
2016-11-14,218500,221000,216500,217000,209839
2016-11-15,219000,219000,216000,217500,112722
2016-11-16,220000,221500,216500,217000,204417
2016-11-17,218000,219000,215500,217000,165007
2016-11-18,218000,220500,216500,219500,174596
2016-11-21,220500,220500,218500,220000,118193
2016-11-22,221000,221000,218500,220000,136995
2016-11-23,221000,228000,220500,226000,340500
2016-11-24,225500,227500,224500,226500,133408
2016-11-25,228000,228500,225500,226000,66358
2016-11-28,224500,226000,221500,222500,98961
2016-11-29,222000,224000,222000,223500,123022
2016-11-30,225500,229000,225500,226000,282715
2016-12-01,226000,227500,224000,224500,120850
2016-12-02,225500,229000,225000,228000,128833
2016-12-05,228000,228500,226000,228000,73828
2016-12-06,229000,230500,228000,229000,149018
2016-12-07,230000,232000,228500,231500,171423
2016-12-08,232000,232500,227000,231500,254466
2016-12-09,231500,232000,229000,231000,94911
2016-12-12,231000,232500,228500,230500,84882
2016-12-13,232000,233500,230500,232500,186601
2016-12-14,233000,233000,229500,229500,116262
2016-12-15,231500,231500,228500,230000,67455
2016-12-16,229000,233000,228500,232000,139287
2016-12-19,232000,232000,228500,229000,85596
2016-12-20,229500,231000,228000,231000,102315
2016-12-21,232000,232500,229500,230000,89553
2016-12-22,229000,232000,229000,230500,110059
2016-12-23,232000,233000,229000,230500,204668
2016-12-26,230500,232000,229000,231000,110623
2016-12-27,231000,232500,229500,231000,199462
2016-12-28,224000,225500,222500,224500,174245
2016-12-29,225500,226000,223500,224000,105776
2017-01-02,224000,227500,224000,225500,69090
2017-01-03,225500,226000,221000,223000,157301
2017-01-04,223000,223500,220000,223000,193754
2017-01-05,222500,228000,221500,228000,157297
2017-01-06,228000,228500,226000,226500,91401
2017-01-09,225500,226000,223500,226000,82983
2017-01-10,227000,227500,223000,225000,117759
2017-01-11,226500,229500,225000,227500,215621
