date,open,high,low,close,volume
2016-07-01,121500,124000,121000,123000,467031
2016-07-04,123500,125000,122000,123500,320457
2016-07-05,123000,127500,123000,127000,634265
2016-07-06,127000,127000,123000,124000,390190
2016-07-07,125000,128500,125000,128000,484666
2016-07-08,128000,129500,125500,126000,351320
2016-07-11,128000,129500,126500,129500,457566
2016-07-12,130000,133000,129500,132000,679505
2016-07-13,132500,133000,130500,131500,305683
2016-07-14,132500,132500,130500,131500,316319
2016-07-15,132000,134000,131500,133000,371752
2016-07-18,133000,133500,131500,133000,286609
2016-07-19,133000,135500,133000,135000,502485
2016-07-20,135000,135500,133000,134500,280178
2016-07-21,134500,135000,132500,133000,257028
2016-07-22,131500,134500,130500,133500,230538
2016-07-25,133500,134500,133000,133500,196440
2016-07-26,133000,136000,133000,135500,294774
2016-07-27,135500,137500,135000,137500,414540
2016-07-28,138500,139000,135500,138000,430344
2016-07-29,136500,137500,135000,135500,300163
2016-08-01,134000,136500,134000,135500,265206
2016-08-02,135500,137000,134500,135500,310976
2016-08-03,135500,136000,133500,134500,267255
2016-08-04,135000,136500,134000,136500,232769
2016-08-05,137000,139500,136500,139500,460068
2016-08-08,139500,143000,139500,143000,513408
2016-08-09,143000,144000,141000,142500,294708
2016-08-10,142500,143000,141500,142000,252874
2016-08-11,143000,144000,141000,143500,275344
2016-08-12,143500,144500,143000,143000,222102
2016-08-16,144000,145000,143500,144000,260868
2016-08-17,144000,144000,140000,142000,266840
2016-08-18,142000,149500,140500,148500,1037609
2016-08-19,147500,153000,147000,152500,1182194
2016-08-22,152500,153500,151000,152500,497039
2016-08-23,152000,152500,149000,151500,379825
2016-08-24,151000,152500,146500,148000,553290
2016-08-25,149500,152500,148000,151000,413039
2016-08-26,151000,152000,148000,149500,258308
2016-08-29,148000,150000,147500,148500,196054
2016-08-30,150500,153000,150500,152500,428538
2016-08-31,152500,153000,150000,151500,296875
2016-09-01,150500,151500,148000,150500,387253
2016-09-02,150500,151500,149000,151000,202807
2016-09-05,151000,152500,151000,152500,232962
2016-09-06,152000,152500,151000,152000,257565
2016-09-07,151500,152500,150500,150500,188979
2016-09-08,150500,151000,147000,148500,355472
2016-09-09,147000,147500,144000,146000,531138
2016-09-12,141500,143000,139000,141500,577385
2016-09-13,145000,146500,142500,146000,843540
2016-09-19,145500,147000,143000,144500,325757
2016-09-20,143500,147500,143500,146000,343258
2016-09-21,146000,146500,145500,146500,174513
2016-09-22,147500,148500,146500,147000,244573
2016-09-23,147500,147500,144500,146000,280070
2016-09-26,146000,146000,143000,144000,206177
2016-09-27,143000,146500,142000,145500,234540
2016-09-28,145500,146500,145000,145500,139085
2016-09-29,145500,149500,145500,148500,410607
2016-09-30,148000,151500,147500,149000,419843
