date,open,high,low,close,volume
2016-07-01,9668,9902,9668,9808,73610
2016-07-04,9855,9902,9574,9668,79416
2016-07-05,9761,9761,9377,9386,170801
2016-07-06,9386,9480,9320,9386,118010
2016-07-07,9480,9574,9367,9433,94858
2016-07-08,9377,9574,9377,9433,88083
2016-07-11,9480,9902,9386,9902,220826
2016-07-12,9855,9949,9668,9949,127354
2016-07-13,9855,10043,9808,9949,182270
2016-07-14,9855,9949,9715,9855,78244
2016-07-15,9808,10137,9808,9996,200189
2016-07-18,9996,10184,9902,10184,176624
2016-07-19,10043,10231,10043,10184,120647
2016-07-20,10137,10184,9996,10137,73572
2016-07-21,10137,10278,10090,10278,190051
2016-07-22,10325,10372,10090,10278,128557
2016-07-25,10231,10278,10137,10231,162438
2016-07-26,10278,10418,10137,10372,202705
2016-07-27,10372,10700,10325,10559,173284
2016-07-28,10465,10653,10418,10512,87632
2016-07-29,10418,10559,10418,10465,122696
2016-08-01,10559,10700,10465,10653,111285
2016-08-02,10700,11029,10512,10935,194251
2016-08-03,10982,10982,10794,10888,131150
2016-08-04,10935,10982,10465,10653,186062
2016-08-05,10653,10653,10372,10606,115273
2016-08-08,10512,10606,10184,10325,159722
2016-08-09,10325,10512,10184,10418,93788
2016-08-10,10418,10465,10231,10465,74472
2016-08-11,10372,10512,10372,10418,72126
2016-08-12,10418,10653,10418,10606,77548
2016-08-16,10559,10653,10325,10325,86782
2016-08-17,10325,10372,9996,10090,130273
2016-08-18,10090,10278,10043,10184,97897
2016-08-19,10090,10372,10090,10325,75095
2016-08-22,10325,10325,10184,10231,36647
2016-08-23,10231,10325,10043,10090,59225
2016-08-24,10372,10559,10231,10465,145303
2016-08-25,10512,10653,10418,10418,129741
2016-08-26,10418,10747,10278,10653,104695
2016-08-29,10559,10606,10278,10325,102076
2016-08-30,10465,10606,10137,10231,99081
2016-08-31,10137,10278,9996,10231,130970
2016-09-01,10372,10465,10231,10372,81937
2016-09-02,10559,10606,10325,10418,105169
2016-09-05,10465,10653,10465,10653,95593
2016-09-06,10606,10653,10418,10559,80864
2016-09-07,10606,10700,10418,10700,140941
2016-09-08,10606,10794,10418,10747,195709
2016-09-09,10794,10794,10606,10700,81590
2016-09-12,10512,10841,10512,10653,146962
2016-09-13,10747,10841,10559,10700,113463
2016-09-19,10700,10841,10653,10794,71869
2016-09-20,10747,10841,10606,10700,49421
2016-09-21,10700,10794,10465,10653,63245
2016-09-22,10700,10794,10559,10559,72620
2016-09-23,10418,10794,10418,10700,105531
2016-09-26,10700,10794,10653,10747,70642
2016-09-27,10747,10982,10653,10982,108788
2016-09-28,10982,11263,10841,11075,177830
2016-09-29,11169,11216,10935,11075,143434
2016-09-30,11029,11075,10841,10935,70185
2016-10-04,10982,11029,10841,10982,79431
2016-10-05,10982,10982,10794,10935,61696
2016-10-06,10935,11122,10794,11075,112865
2016-10-07,10982,11122,10888,10888,68264
2016-10-10,10888,11310,10888,11169,124106
2016-10-11,11216,11310,11029,11169,166561
2016-10-12,11216,11639,11122,11263,372952
2016-10-13,11310,11357,11122,11122,108585
2016-10-14,11122,11263,10982,11216,129978
2016-10-17,11263,11310,11029,11169,139835
2016-10-18,11216,11216,10935,11216,173446
2016-10-19,11263,11263,10982,10982,158849
2016-10-20,10935,11216,10935,11216,92057
2016-10-21,11169,11263,10700,10794,343177
2016-10-24,10794,10888,10418,10606,183025
2016-10-25,10606,11122,10512,10841,251840
2016-10-26,10888,10888,10559,10841,91285
2016-10-27,10841,11122,10747,11122,247902
2016-10-28,11122,11216,10935,11122,98598
2016-10-31,11169,11216,10982,11169,207582
2016-11-01,11169,11404,11075,11357,260278
2016-11-02,11263,11310,10982,11263,187880
2016-11-03,11263,11357,11169,11169,109968
2016-11-04,11169,11310,11075,11075,84662
2016-11-07,11075,11310,10935,11075,192280
2016-11-08,11075,11122,10888,11029,119082
2016-11-09,11075,11169,10559,10794,175538
2016-11-10,10888,10982,10747,10888,193407
2016-11-11,10935,11075,10794,10935,146521
2016-11-14,10935,10935,10231,10325,305563
2016-11-15,10278,10653,10090,10559,178350
2016-11-16,10559,10653,10372,10512,127489
2016-11-17,10559,10700,10325,10653,137361
2016-11-18,10653,10747,10512,10559,109370
2016-11-21,10512,10653,10231,10278,146689
2016-11-22,10418,10888,10372,10888,235937
2016-11-23,10982,11216,10888,11169,273170
2016-11-24,11075,11357,10935,11122,189991
2016-11-25,11122,11216,11029,11169,97572
2016-11-28,11216,11263,10982,11122,88963
2016-11-29,11122,11357,11029,11263,288741
2016-11-30,11263,11639,11169,11498,421788
2016-12-01,11498,11639,11404,11498,111242
2016-12-02,11498,11592,11404,11545,122140
2016-12-05,11545,11545,11263,11404,58384
2016-12-06,11404,11733,11404,11686,168211
2016-12-07,11686,11779,11545,11592,107756
2016-12-08,11545,11873,11545,11686,192567
2016-12-09,11779,12061,11686,11779,332313
2016-12-12,11873,11967,11639,11826,172186
2016-12-13,12014,12014,11639,11639,228744
2016-12-14,11639,11920,11498,11545,209802
2016-12-15,11545,11826,11451,11686,147472
2016-12-16,11686,11873,11592,11686,48167
2016-12-19,11733,11826,11592,11639,79100
2016-12-20,11733,11826,11592,11639,237857
2016-12-21,11592,11686,11545,11592,35848
2016-12-22,11639,11639,11404,11451,60340
2016-12-23,11545,11826,11545,11686,107425
2016-12-26,11592,11779,11404,11451,141234
2016-12-27,11498,11686,11451,11592,80883
2016-12-28,11451,11498,11310,11451,69448
2016-12-29,11357,11451,11263,11263,56791
2017-01-02,11310,11310,10982,11263,57249
2017-01-03,11216,11216,10935,11029,104857
2017-01-04,11357,11545,11263,11357,143988
2017-01-05,11357,11404,11216,11357,94138
2017-01-06,11357,11545,11216,11545,102886
2017-01-09,11592,11592,11122,11263,163082
2017-01-10,11216,11263,11029,11075,119929
2017-01-11,11075,11357,11029,11263,97128
2017-01-12,11263,11404,11263,11357,58817
2017-01-13,11451,11451,11122,11310,74709
2017-01-16,11310,11451,11216,11310,84718
2017-01-17,11310,11498,11169,11310,172063
2017-01-18,11357,11357,11169,11357,99218
2017-01-19,11357,11451,11216,11357,158097
2017-01-20,11357,11826,11263,11310,301105
2017-01-23,11310,11451,11216,11310,125137
2017-01-24,11263,11404,11122,11310,108810
2017-01-25,11404,11451,11169,11357,227933
2017-01-26,11451,11498,11216,11310,141820
2017-01-31,11451,11451,11169,11357,102020
2017-02-01,11357,11404,11169,11263,189527
2017-02-02,11263,11686,11169,11216,561306
2017-02-03,11169,11263,11169,11263,147953
2017-02-06,11263,11310,11029,11310,164768
2017-02-07,11404,11498,11216,11404,207023
2017-02-08,11451,11451,11169,11216,129763
2017-02-09,11216,11404,11216,11404,124551
2017-02-10,11404,11592,11404,11592,104491
2017-02-13,11592,12155,11498,12014,480581
2017-02-14,11967,12249,11920,12202,312448
2017-02-15,12249,12343,12061,12202,253766
2017-02-16,12202,12296,12014,12108,93891
2017-02-17,12108,12530,12014,12343,184703
2017-02-20,12390,12390,12155,12249,141683
2017-02-21,12249,12530,12155,12436,201283
2017-02-22,12343,12390,12249,12296,79863
2017-02-23,12296,12577,12249,12436,149411
2017-02-24,12436,12671,12249,12343,177846
2017-02-27,12436,12906,12343,12436,449099
2017-02-28,12390,12436,12061,12296,130028
2017-03-02,12436,12436,12202,12436,98880
2017-03-03,12390,12671,12296,12483,244405
2017-03-06,12436,12624,12390,12624,133370
2017-03-07,12671,12906,12530,12624,207190
2017-03-08,12577,12671,12343,12530,141243
2017-03-09,12624,12624,12390,12624,109209
2017-03-10,12624,12718,12390,12671,103783
2017-03-13,12671,12812,12577,12812,180284
2017-03-14,12859,12906,12718,12859,184255
2017-03-15,12859,12859,12530,12530,246864
2017-03-16,12577,13000,12577,13000,279193
2017-03-17,13093,13187,12953,13187,167999
2017-03-20,13281,13891,13281,13750,622139
2017-03-21,13891,13938,13516,13750,197179
2017-03-22,13563,13985,13516,13891,317563
2017-03-23,13844,13891,13610,13891,181681
2017-03-24,13797,13938,13704,13891,97453
2017-03-27,13938,14079,13657,13891,155760
2017-03-28,13797,14079,13797,14032,218429
2017-03-29,14032,14408,13985,14314,408307
2017-03-30,14220,14314,13985,13985,231205
2017-03-31,14032,14408,13985,14408,302857
2017-04-03,14408,14689,14361,14595,323062
2017-04-04,14595,14642,14408,14548,126138
2017-04-05,14501,14595,13985,14032,281222
2017-04-06,13985,14126,13844,14079,241199
2017-04-07,14032,14079,13844,13938,159782
2017-04-10,13891,13891,13375,13422,368470
2017-04-11,13563,14079,13469,14032,303674
2017-04-12,14032,14267,13891,14220,213810
2017-04-13,14220,14267,13938,14173,142071
2017-04-14,14173,14173,13797,13938,114473
2017-04-17,13985,14314,13844,13938,179814
2017-04-18,13938,14361,13797,14220,292033
2017-04-19,14314,14361,13797,13844,153149
2017-04-20,13797,13891,13610,13750,164100
2017-04-21,13704,13938,13704,13750,124931
2017-04-24,13704,13938,13610,13657,208039
2017-04-25,13704,13891,13375,13891,221307
2017-04-26,13985,13985,13657,13797,174685
2017-04-27,13657,13891,13469,13797,139922
2017-04-28,13891,13938,13469,13516,140311
2017-05-02,13469,13563,13281,13516,239049
2017-05-04,13422,13985,13422,13985,214492
2017-05-08,14032,14032,13704,13797,158243
2017-05-10,13844,14032,13610,13657,158938
2017-05-11,13610,13704,13328,13657,352759
2017-05-12,13657,13657,13187,13281,314119
2017-05-15,13234,13375,13047,13234,171346
2017-05-16,13281,13375,13047,13187,183769
2017-05-17,13187,13234,12765,12953,326298
2017-05-18,12671,13000,12624,12859,388471
2017-05-19,12859,13328,12859,13047,264352
2017-05-22,13187,13563,13000,13328,309246
2017-05-23,13328,13563,13187,13375,185000
2017-05-24,13563,13610,13000,13469,201081
2017-05-25,13234,14079,13234,14032,401707
2017-05-26,14126,14126,13704,13938,201375
2017-05-29,13797,13938,13610,13797,181695
2017-05-30,13985,14032,13704,13844,183125
2017-05-31,13938,13985,13750,13750,154093
2017-06-01,13797,13938,13704,13938,87186
2017-06-02,13844,13938,13516,13750,197152
2017-06-05,13704,13750,13328,13563,117682
2017-06-07,13563,13563,13281,13516,115608
2017-06-08,13516,13985,13422,13985,261895
2017-06-09,14361,14830,14267,14595,525278
2017-06-12,14689,14924,14408,14689,314442
2017-06-13,14689,14783,14220,14267,257754
2017-06-14,14454,14830,14314,14361,190841
2017-06-15,14361,14642,14173,14595,182099
2017-06-16,14642,15158,14595,14924,368979
2017-06-19,14924,15018,14548,14548,213535
2017-06-20,14642,14642,14267,14267,158842
2017-06-21,14220,14454,13985,14314,200407
2017-06-22,14361,14361,13985,14079,160837
2017-06-23,14079,14267,14032,14173,71965
2017-06-26,14220,14642,14079,14454,202546
2017-06-27,14830,14877,14548,14783,205190
2017-06-28,14548,14924,14501,14595,189803
2017-06-29,14642,14877,14595,14736,173539
2017-06-30,14689,14689,14032,14408,440560
2017-07-03,14408,14595,14126,14126,235532
2017-07-04,14032,14173,13516,13516,394073
