date,open,high,low,close,volume
2016-07-01,253000,260500,251000,258500,219529
2016-07-04,257000,260500,253500,259500,154259
2016-07-05,257500,259000,254000,255000,96112
2016-07-06,255000,255000,246000,247500,185484
2016-07-07,248500,254000,248000,252500,106236
2016-07-08,252500,254000,247500,249500,119802
2016-07-11,251500,257000,251000,256500,120511
2016-07-12,258000,264000,257000,262000,189122
2016-07-13,265000,267500,258500,261000,144119
2016-07-14,263500,266000,261500,265000,163342
2016-07-15,263500,266000,261000,265500,110468
2016-07-18,264000,264000,256000,259500,136630
2016-07-19,258500,260500,254000,260500,114174
2016-07-20,258500,261500,256000,261500,70752
2016-07-21,262500,263000,256500,259000,77231
2016-07-22,261500,263500,259500,263000,97916
2016-07-25,265000,266000,259000,266000,126032
2016-07-26,267000,267000,261000,263500,94665
2016-07-27,264500,266500,263500,266000,70649
2016-07-28,265000,268500,261500,268500,153679
2016-07-29,265000,266500,255000,255000,249259
2016-08-01,256000,264500,256000,262000,186080
2016-08-02,260500,263500,255500,258000,138671
2016-08-03,255000,257000,250500,251500,147844
2016-08-04,253000,257000,250500,250500,120124
2016-08-05,253000,257500,251500,255500,132703
2016-08-08,254000,257500,253000,256500,92275
2016-08-09,257000,261500,255500,260000,129947
2016-08-10,259000,264000,258000,258000,142859
2016-08-11,258000,260500,257500,260000,105397
2016-08-12,261000,262000,258500,260000,105763
2016-08-16,262000,262500,257000,258000,153811
2016-08-17,257500,260000,257000,258500,73826
2016-08-18,258500,260500,253000,254000,105806
2016-08-19,254000,259000,252000,258000,111930
2016-08-22,255500,257500,253000,257500,81223
2016-08-23,255000,255000,252000,252000,132225
2016-08-24,248500,253000,242500,250000,227910
2016-08-25,252000,257500,250000,253500,265531
2016-08-26,254500,260000,254000,258500,184285
2016-08-29,255000,260000,255000,259000,105183
2016-08-30,259000,260500,257500,260000,63108
2016-08-31,256500,261000,256000,260500,188763
2016-09-01,258000,267500,257000,266500,157333
2016-09-02,265000,267000,259000,263500,151828
2016-09-05,267000,281000,265500,274000,255127
2016-09-06,273000,289000,272000,287000,297211
2016-09-07,284000,284500,278500,280500,219523
2016-09-08,280500,284500,279000,283000,257141
2016-09-09,279000,280500,273500,279500,185622
2016-09-12,279500,285500,275500,279500,196180
2016-09-13,283000,284500,276000,280000,215114
2016-09-19,280500,291000,277500,287000,251227
2016-09-20,283000,289000,278000,286500,275935
2016-09-21,283500,286500,280500,281500,146490
2016-09-22,283500,293500,283500,286000,202410
2016-09-23,285000,290500,285000,288000,146640
2016-09-26,288000,288000,281000,284000,126334
2016-09-27,285000,290500,282000,288000,128186
2016-09-28,288000,290000,284000,284000,119807
2016-09-29,284500,286500,280000,282000,127961
2016-09-30,278000,281500,273500,275000,219789
2016-10-04,280500,283000,278000,280000,178068
2016-10-05,276000,280000,274500,276500,132036
2016-10-06,274500,276500,270500,272500,156142
2016-10-07,270500,278500,268500,278000,218941
2016-10-10,279000,284000,273000,279000,159792
2016-10-11,284000,284000,270000,274500,219521
2016-10-12,276000,276000,272000,273500,152021
2016-10-13,272500,274500,269500,270500,137629
2016-10-14,270000,271500,265500,266500,148236
2016-10-17,267500,269000,264000,265500,126014
2016-10-18,267500,267500,263000,263500,195082
2016-10-19,263500,265500,258000,258500,211502
2016-10-20,259500,262500,257000,260000,178385
2016-10-21,259500,262500,259500,260500,130847
2016-10-24,262000,263500,260500,261500,180534
2016-10-25,261500,269000,261500,267000,390390
2016-10-26,265500,265500,257500,259500,192923
2016-10-27,260500,262000,254500,259000,179813
2016-10-28,256000,269000,256000,264500,375998
2016-10-31,264000,277000,263000,274000,494509
2016-11-01,273000,273500,269000,270000,292111
2016-11-02,269000,271500,265500,269000,135666
2016-11-03,270000,271500,265000,267000,180117
2016-11-04,267000,268000,264000,265000,116780
2016-11-07,268500,270500,265500,265500,131748
2016-11-08,267000,269500,264000,268000,100347
2016-11-09,268500,271000,259000,263500,222903
2016-11-10,264000,264500,244500,248000,547023
2016-11-11,249500,251500,244500,245000,360853
2016-11-14,246500,249500,242000,243000,219759
2016-11-15,241500,244500,237500,242500,219492
2016-11-16,244000,247000,242000,242500,209789
2016-11-17,241500,242500,239500,241500,186740
2016-11-18,240500,243500,238500,239500,147146
2016-11-21,239500,246000,239500,243500,174008
2016-11-22,244000,245000,239500,242000,144570
2016-11-23,241000,250500,240500,248000,244578
2016-11-24,250000,254000,247000,250000,161960
2016-11-25,253000,254500,251000,251500,106043
2016-11-28,251500,253500,249500,251500,111123
2016-11-29,251500,253000,247000,247000,126312
