date,open,high,low,close,volume
2016-07-01,136500,138000,136000,137000,388387
2016-07-04,138000,139500,137000,137000,518981
2016-07-05,136500,137000,134500,135000,389267
2016-07-06,134000,134500,129000,130000,1098353
2016-07-07,131500,132500,130500,131000,351312
2016-07-08,131000,133000,129000,130500,472095
2016-07-11,130500,132000,130500,131000,395952
2016-07-12,131500,133000,131000,132000,401323
2016-07-13,133000,135500,132500,135500,567236
2016-07-14,134000,134500,131000,131500,688220
2016-07-15,132000,134000,132000,133000,608594
2016-07-18,133000,134000,131000,132000,417748
2016-07-19,131500,132000,130000,130000,630163
2016-07-20,129500,131000,129000,129500,513880
2016-07-21,130000,131000,128500,130000,459440
2016-07-22,130000,130500,129000,129000,364418
2016-07-25,129500,136000,129500,135500,1182857
2016-07-26,135000,139500,134000,136000,1125762
2016-07-27,137000,137500,135000,137000,450182
2016-07-28,137500,138000,135000,136000,451570
2016-07-29,135000,136000,132000,132000,698032
2016-08-01,132500,136000,132500,135500,510753
2016-08-02,135500,135500,133000,134000,383193
2016-08-03,133000,134000,130500,132000,393748
2016-08-04,132500,133000,129500,130500,552854
2016-08-05,130500,133000,130500,133000,432472
2016-08-08,134000,134000,132000,133000,367241
2016-08-09,135000,137000,134500,136500,590729
2016-08-10,135500,137000,134000,134000,495316
2016-08-11,134000,135000,133500,134500,340296
2016-08-12,135000,136000,134500,136000,441448
2016-08-16,136000,137000,133000,133000,564040
2016-08-17,133500,135000,133000,135000,456621
2016-08-18,134500,135000,132000,132500,501557
2016-08-19,133000,134000,132000,132500,375138
2016-08-22,132500,133000,131000,132000,400250
2016-08-23,133000,134500,132000,132500,421660
2016-08-24,132000,135500,131500,135500,725511
2016-08-25,136000,138000,134000,136500,880226
2016-08-26,136500,137000,135000,135500,426273
2016-08-29,134000,134500,133000,134000,328229
2016-08-30,133500,135000,132500,132500,331306
2016-08-31,132000,133500,131000,133000,621524
2016-09-01,133000,133500,131500,131500,572941
2016-09-02,132500,136500,132000,135000,1129376
2016-09-05,136000,139000,136000,139000,681920
2016-09-06,138500,140000,138000,139500,455216
2016-09-07,139500,140500,138000,139000,515978
2016-09-08,139000,140000,136500,139000,604332
2016-09-09,138000,140000,137500,139500,430914
2016-09-12,138500,139500,137500,138500,447847
2016-09-13,140000,140500,138000,138500,560421
2016-09-19,137000,139500,136000,137000,536712
2016-09-20,137000,139500,136500,138500,517081
2016-09-21,137500,138500,136500,138000,464658
2016-09-22,138000,139500,137500,138000,360424
2016-09-23,139500,142000,139000,142000,595938
2016-09-26,140500,141500,139000,140500,444564
2016-09-27,140000,142000,138500,141500,451975
2016-09-28,141000,141500,138000,138500,513300
2016-09-29,138500,139500,138000,139500,473726
2016-09-30,138500,139500,135000,135500,617732
2016-10-04,138500,141000,137500,139000,707562
2016-10-05,137500,140500,136500,140000,549606
2016-10-06,139000,140000,138500,139000,271808
2016-10-07,138500,139000,135500,136500,449894
2016-10-10,134000,135000,131000,133500,687120
2016-10-11,135000,135500,133500,134500,355273
2016-10-12,134500,137000,133500,136500,418529
2016-10-13,136500,137000,133500,134000,444173
2016-10-14,133500,135000,133000,133000,385561
2016-10-17,134500,136500,133000,133000,552827
2016-10-18,133500,135500,132500,134500,357363
2016-10-19,134500,135500,132500,133000,474445
2016-10-20,133500,134000,131500,132000,411425
2016-10-21,132500,135000,132000,133500,375157
2016-10-24,134500,134500,133500,134500,256889
2016-10-25,135000,139500,134500,138000,863431
2016-10-26,137500,138500,135000,137500,551856
2016-10-27,139000,139500,135500,138000,503571
2016-10-28,138000,141500,137500,140500,708752
2016-10-31,139000,141000,139000,140000,394472
2016-11-01,141000,141500,140000,141500,436941
2016-11-02,141000,141500,139500,139500,655976
2016-11-03,139500,140000,136000,136500,520972
2016-11-04,136500,137000,135500,136000,345493
